URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Nueces-Grey-Cardigan-Top-3y-Nwt/113926904598?hash=item1a86929b16:g:HRAAAOSw4O9dqGtX,Nueces Grey Cardigan Top 3y Nwt,$26.00,$3.66,N/A,N/A,N/A
https://www.ebay.com/itm/Adorable-Thanksgiving-Top-Size-12-Months-Bu-Rare-Too/293278577059?hash=item4448c3f1a3:g:E2wAAOSwGn5dpIZZ,"Adorable Thanksgiving Top Size 12 Months Bu Rare, Too",$1.10,$4.25,Size: 12 Months,N/A,N/A
https://www.ebay.com/itm/TOCOTO-VINTAGE-BLUE-L-S-POLO-BACK-NECK-BUTTON-THE-SECRET-GARDEN-FRONT-SZ-12M/383209363512?hash=item59390ed838:g:XCcAAOSwPihdozBO,TOCOTO VINTAGE BLUE L/S POLO/BACK NECK BUTTON/THE SECRET GARDEN FRONT SZ.12M,$5.00,$8.00,Color: Blue,Size: 6-12 Months,Theme: Garden
https://www.ebay.com/itm/The-Ever-Co-Sweatshirt-Girls-2-3-Toddler-Guc/333358241715?hash=item4d9db317b3:g:VwIAAOSwcchdoUPb,The Ever Co Sweatshirt. Girls 2-3 Toddler. Guc! ,$18.99,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/Little-Giants-Giant-Shorties-Ol-Dirty-Oscar-Hoodie-Toddler-Clothes-18t/333366660033?hash=item4d9e338bc1:g:brYAAOSwZp5dqdqZ,Little Giants Giant Shorties Ol Dirty Oscar Hoodie Toddler Clothes 18t,$20.00,$4.00,N/A,N/A,N/A
https://www.ebay.com/itm/1-INTHE-FAMILY-VELOUR-L-S-ROUND-NECK-POLO-SHOULDER-SNAPS-DARK-STRIPES-S-12M/383209355801?hash=item59390eba19:g:DVUAAOSwKUZdoy7N,1 + INTHE FAMILY VELOUR L/S ROUND NECK POLO SHOULDER SNAPS DARK STRIPES S. 12M,$5.00,$8.00,Material: Velour,Size: 6-12 Months,N/A
https://www.ebay.com/itm/Girls-LS-shirt-Old-Navy-XS-5-gray-moon-mountain-roses-round-neck-light/233365578036?hash=item3655ac2134:g:a5kAAOSwIhhcwbG1,"Girls LS shirt, Old Navy XS 5, gray, moon, mountain, roses, round neck, light",$1.25,$4.49,Brand: Old Navy,Color: Gray,Material: Cotton Blend
https://www.ebay.com/itm/Kelly-s-Kids-Holiday-Top-Size-4-5/254388297012?hash=item3b3ab95d34:g:hf8AAOSwwMxdo5im,"Kelly’s Kids Holiday Top, Size 4-5",$0.99,$5.93,Brand: Kelly's Kids,Material: 100% Cotton,N/A
https://www.ebay.com/itm/Nueces-Grey-Cardigan-Top-12m-Nwt/123943176917?hash=item1cdb96cad5:g:HRAAAOSw4O9dqGtX,Nueces Grey Cardigan Top 12m Nwt,$20.00,$3.66,N/A,N/A,N/A
https://www.ebay.com/itm/Mabo-Kids-Navy-Blue-Cotton-Organic-Short-Sleeve-Tshirt-12m/264501183563?hash=item3d957fc44b:g:dK4AAOSw5Pldp6nS,Mabo Kids Navy Blue Cotton Organic Short Sleeve Tshirt 12m,$3.99,$4.06,N/A,N/A,N/A
https://www.ebay.com/itm/Polo-Ralph-Lauren-3-3t-shirt-long-sleeve-excellent-pre-owned-condition/223706138101?hash=item3415ecc5f5:g:Jo4AAOSwSv9cv6or,Polo Ralph Lauren 3 3t shirt long sleeve excellent pre owned condition,$2.99,$3.74,Brand: Polo Ralph Lauren,Size: 3T,N/A
https://www.ebay.com/itm/Two-Gymboree-boys-dress-shirts-one-red-black-plaid-and-one-flannel-orange-grey-s/293317496355?hash=item444b15ce23:g:u8MAAOSwLtZdofLK,New ListingTwo Gymboree boys dress shirts one red/black plaid and one flannel orange/grey s,$11.00,$4.75,Brand: Gymboree,Color: Multicolor,Gender: Boys
