URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/the-beaufort-bonnet-company-Dolls/174085159139?hash=item288848b8e3:g:7UwAAOSwfeddvvpB,the beaufort bonnet company Dolls,$80.00,$8.00,N/A,N/A,N/A
https://www.ebay.com/itm/the-beaufort-bonnet-company-Stuffed-Animal/174085184802?hash=item2888491d22:g:JsgAAOSwDCFdvvsO,the beaufort bonnet company Stuffed Animal,$40.00,$9.45,N/A,N/A,N/A
https://www.ebay.com/itm/LuLaRoe-Swing-Style-Dress-Black-W-Shimmery-Silver-Arrow-Print-2T-Super-Cute/283647369721?hash=item420ab361f9:g:jrsAAOSwxH1dqUhs,"LuLaRoe Swing Style Dress, Black W/ Shimmery Silver Arrow Print, 2T, Super Cute!",$5.99,$4.81,Brand: LuLaRoe,N/A,N/A
https://www.ebay.com/itm/Yellow-Pelota-Dress-18m-Nwt/113929918043?hash=item1a86c0965b:g:MQIAAOSwfopdq8t1,Yellow Pelota Dress 18m Nwt,$20.50,$5.00,N/A,N/A,N/A
https://www.ebay.com/itm/BAILY-BABIES-Boutique-Dress-Gown-White-W-Stitched-Bunnies-Size-Girls-Newborn/163933765410?hash=item262b36bf22:g:VKAAAOSwZL5dw2Ce,New ListingBAILY BABIES Boutique Dress/Gown-White W/Stitched Bunnies+-Size Girls Newborn!,$12.99,$4.95,Color: Pink,Gender: Girls,Material: Polyester
https://www.ebay.com/itm/the-beaufort-bonnet-company-Stuffed-Animal/174085154956?hash=item288848a88c:g:DckAAOSwzwBdvvlN,the beaufort bonnet company Stuffed Animal,$40.00,$7.00,N/A,N/A,N/A
https://www.ebay.com/itm/LITTLE-DARLINGS-SZ-3MONTHS-BOUTIQUE-3-PIECE-WHITE-EYELET-OUTFIT-WITH-BONNET-EUC/333373950931?hash=item4d9ea2cbd3:g:in0AAOSwhLRdsdOg,LITTLE DARLINGS SZ 3MONTHS BOUTIQUE 3 PIECE WHITE EYELET OUTFIT WITH BONNET EUC,$5.50,$3.95,Brand: Little Darlings,N/A,N/A
https://www.ebay.com/itm/Girls-Mini-Baby-Boden-jumper-Dress-tunic-top-Size-12-18-mo-corduroy-cttn-winter/283661233824?hash=item420b86eea0:g:xe0AAOSw8G1dvE5O,Girls Mini Baby Boden jumper Dress tunic top Size 12-18 mo corduroy cttn winter,$15.00,$4.00,Brand: Mini Boden,Color: Red,Gender: Girls
https://www.ebay.com/itm/Omi-Jo-Size-24-Months/254390058024?hash=item3b3ad43c28:g:KRUAAOSwFMRdpgxa,Omi Jo Size 24 Months ,$14.50,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/Girls-6-12m-Mustard-Pie-Dress-Remake/223708446261?hash=item34160ffe35:g:PSEAAOSwn~tdp1T9,Girls 6-12m Mustard Pie Dress Remake,$5.50,$4.57,N/A,N/A,N/A
https://www.ebay.com/itm/Janie-And-Jack-Dress-For-Girl-Size-5/223715750361?hash=item34167f71d9:g:N5AAAOSwTuVdrhYA,Janie And Jack Dress For Girl Size 5,$10.00,$4.39,Brand: Janie and Jack,N/A,N/A
https://www.ebay.com/itm/American-Princess-Party-Dress-White-W-Floral-Ribbon-Applique-Sz-4-Lovely/283642274851?hash=item420a65a423:g:msEAAOSww~Vdopfh,"American Princess Party Dress, White W/ Floral Ribbon Applique, Sz 4, Lovely!",$8.50,$4.81,Brand: American Princess,Color: White,N/A
https://www.ebay.com/itm/Girls-Dot-Dot-Smile-DDS-Twirly-Dress-Size-3-4-LuLaRoe-LLR-Black-Silver-holiday/323947988733?hash=item4b6cce06fd:g:2~4AAOSwQgldpNkJ,Girls Dot Dot Smile DDS Twirly Dress Size 3/4 LuLaRoe LLR Black & Silver holiday,$10.00,$4.50,Brand: Dot Dot Smile,Color: White,Material: Polyester
https://www.ebay.com/itm/Gymboree-2016-poppy-print-corduroy-dress-short-sleeves-size-4T/193183892288?hash=item2cfaa84340:g:VzsAAOSwWbVdsFgT,Gymboree 2016 poppy print corduroy dress short sleeves size 4T,$2.99,$4.53,Brand: Gymboree,Material: Corduroy,Size: 4T
https://www.ebay.com/itm/Girls-Matilda-Jane-Dress-3-6-Months/202803370360?hash=item2f3805d978:g:JWsAAOSwWzJdqyvD,Girls Matilda Jane Dress 3-6 Months,$5.70,$3.78,Brand: Matilda Jane,N/A,N/A
