URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Rags-to-Raches-Dress-3-4/254407446999?hash=item3b3bdd91d7:g:EvYAAOSwATpdvFA3,Rags to Raches Dress 3/4,$20.00,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/Rags-to-Raches-Dress-3-4/254407480184?hash=item3b3bde1378:g:4lEAAOSwhfNdvFhP,Rags to Raches Dress 3/4,$20.00,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/Kickee-Pants-Set-Of-3/283648244737?hash=item420ac0bc01:g:rRwAAOSw8o9dqywT,Kickee Pants Set Of 3,$30.00,$3.82,Brand: KicKee Pants,N/A,N/A
https://www.ebay.com/itm/Rags-to-Raches-Romper-3-4T/254411231411?hash=item3b3c1750b3:g:DCAAAOSwmxVdwKTE,Rags to Raches Romper 3/4T,$20.00,$3.78,Size: 4T,N/A,N/A
https://www.ebay.com/itm/Rags-to-Raches-Romper-2T/254391862035?hash=item3b3aefc313:g:Oo4AAOSwvfRdqHoV,Rags to Raches Romper 2T,$25.00,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/Vintage-OshKosh-Strawberry-Overalls-Size-24-Mths-Made-In-USA/202811988033?hash=item2f38895841:g:tXEAAOSwmXtdu0gq,Vintage OshKosh Strawberry Overalls Size 24 Mths Made In USA,$150.00,Free,Color: Red,Gender: Girls,Size: 24 Months
https://www.ebay.com/itm/NWOT-Angel-Dear-Sushi-Zip-Footie-3-6-Months/254413522871?hash=item3b3c3a47b7:g:kOEAAOSwUqJdw3rw,New ListingNWOT Angel Dear Sushi Zip Footie 3-6 Months,$10.00,$4.06,Brand: Angel Dear,Size: 3-6 Months,N/A
https://www.ebay.com/itm/Monica-and-Andy-Lemon-Lemonade-Long-Sleeve-One-Piece/223726654339?hash=item341725d383:g:VwYAAOSwf2ZduIt9,Monica and Andy Lemon Lemonade Long Sleeve One Piece,$9.50,$1.99,N/A,N/A,N/A
https://www.ebay.com/itm/Rags-To-Raches-Cardigan-2T/254409694638?hash=item3b3bffddae:g:maAAAOSwM0VdvvLw,Rags To Raches Cardigan 2T,$15.00,$3.78,Size: 2T,N/A,N/A
https://www.ebay.com/itm/Oshkosh-Overalls-18-Months-Floral-Snowflakes-Red-Corduroy-Ruffles-Winter-Print/401945400003?hash=item5d95d012c3:g:tEoAAOSwZ15dskVP,"Oshkosh Overalls 18 Months Floral Snowflakes Red Corduroy Ruffles, Winter Print",$9.99,$5.00,Color: Red,Material: Corduroy,Size: 18 Months
https://www.ebay.com/itm/Rags-to-Raches-Dress-3-4/254407450018?hash=item3b3bdd9da2:g:EP4AAOSw25hdvFDk,Rags to Raches Dress 3/4,$20.00,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/Fall-leaf-Thanksgiving-Longall-NWOT-Size-5/123956136918?hash=item1cdc5c8bd6:g:ebYAAOSwATpdkrQJ,Fall leaf Thanksgiving Longall NWOT Size 5,$5.00,$4.53,Color: Brown,Material: Cotton Blend,Theme: Holiday
https://www.ebay.com/itm/Rags-to-Raches-Romper-2T/254398909176?hash=item3b3b5b4af8:g:C10AAOSwC2ldsZx9,Rags to Raches Romper 2T,$20.00,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/VTG-USA-MADE-BRYAN-WHITE-EMBROIDERED-CHRISTMAS-ROMPER-ONE-PIECE-LAYETTE-NB/233368617163?hash=item3655da80cb:g:XLcAAOSwj95do8WW,VTG. USA MADE BRYAN WHITE EMBROIDERED CHRISTMAS ROMPER ONE PIECE LAYETTE NB,$11.99,$3.95,Color: White,Theme: Holiday,N/A
https://www.ebay.com/itm/OshKosh-B-gosh-Girls-Denim-Overalls-Size-5T-Dots-Used/254398130808?hash=item3b3b4f6a78:g:w9oAAOSwSpZdsIIq,"OshKosh B’gosh Girls Denim Overalls, Size 5T, Dots, Used",$5.00,$5.30,N/A,N/A,N/A
https://www.ebay.com/itm/Miniwear-Baby-One-Piece-Outfit-Little-Pumpkin-Halloween-Appliqued-6-9-Month/174059158856?hash=item2886bbfd48:g:bfYAAOSw--pdSueq,Miniwear Baby One Piece Outfit Little Pumpkin Halloween Appliqued 6-9 Month,$6.99,$3.95,Brand: Miniwear,Color: Orange,Material: 100% Cotton
https://www.ebay.com/itm/Vintage-OshKosh-BGosh-Rare-Floral-Shortalls-Romper-Vestbak-Floral-12-Months/303347744568?hash=item46a0ef3f38:g:PXUAAOSwf~Ndv107,Vintage OshKosh B'Gosh Rare Floral Shortalls Romper Vestbak Floral 12 Months,$90.00,$4.00,Size: 12 Months,Theme: Vintage,N/A
https://www.ebay.com/itm/Rags-to-Raches-Romper-18-24/254390956749?hash=item3b3ae1f2cd:g:Jd8AAOSw~QVdp0d7,Rags to Raches Romper 18-24,$25.00,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/NWT-Christmas-Snowman-Smocked-Longall-Size-12M/123956117968?hash=item1cdc5c41d0:g:yUAAAOSwc8ZdrQ9E,NWT Christmas Snowman Smocked Longall Size 12M,$5.00,$4.53,Color: Red,Gender: Boys,Material: Cotton Blend
https://www.ebay.com/itm/Set-Of-9-Body-Suits-Snap-Crotch-18month/163899253590?hash=item2629282356:g:ZUAAAOSw7Z5dnh2D,Set Of 9 Body Suits Snap Crotch 18month,$1.00,$8.00,Brand: Carter's,N/A,N/A
https://www.ebay.com/itm/Vintage-Baby-Guess-Denim-Overalls-Size-12M-With-Triangle-Patch-Girls-Floral/153691692325?hash=item23c8bd1d25:g:Z90AAOSwzSNdrG01,Vintage Baby Guess Denim Overalls Size 12M With Triangle Patch Girls Floral,$25.00,$5.55,Brand: GUESS,N/A,N/A
