URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Vineyard-Vines-Toddler-Boy-Blue-Vest-3T/383212919133?hash=item593945195d:g:btAAAOSwT~NdpclB,Vineyard Vines Toddler Boy Blue Vest (3T),$22.50,$4.50,N/A,N/A,N/A
https://www.ebay.com/itm/jl-Paper-Wings-Black-Wide-Cord-Drawstring-Cinch-Bustle-Coat-Jacket-5-EUC/143413439337?hash=item21641b6b69:g:JA0AAOSwAKxdYqbm,jl Paper Wings Black Wide Cord Drawstring Cinch Bustle Coat Jacket 5 EUC,$19.45,$7.85,N/A,N/A,N/A
https://www.ebay.com/itm/Patagonia-Baby-Reversible-Honey-Puff-Hoody-Size-2T-Color-AQUASTONE/163911769729?hash=item2629e71e81:g:SBUAAOSwf~Ndq1lk,Patagonia Baby Reversible Honey Puff Hoody Size:2T Color:AQUASTONE,$24.99,$7.85,Brand: Patagonia,N/A,N/A
https://www.ebay.com/itm/North-Face-Kids-Oso-Fleece-Hooded-jacket-Grey-Black-6-12-Months-EUC/123942357445?hash=item1cdb8a49c5:g:X-IAAOSwxORdp4fA,"North Face Kids Oso Fleece Hooded jacket, Grey/Black, 6-12 Months, EUC!!!",$31.00,$8.00,N/A,N/A,N/A
https://www.ebay.com/itm/Children-Place-3T-White-Furry-Girls-Coat-Jacket-Reduced/333376435768?hash=item4d9ec8b638:g:MSYAAOSwlnxds6yL,Children Place 3T White Furry Girls Coat Jacket Reduced!,$4.95,$9.45,Color: White,Gender: Girls,Size: 3T
https://www.ebay.com/itm/ADIDAS-Gray-Fleece-Lined-Hooded-Zip-Front-Sweatshirt-Boys-Size-3T/193182399545?hash=item2cfa917c39:g:62MAAOSwOeBdm26d,ADIDAS Gray Fleece Lined Hooded Zip Front Sweatshirt Boys Size 3T,$3.88,$4.32,Color: Gray,Gender: Boys,Material: Fleece
https://www.ebay.com/itm/Baby-Girls-Ralph-Lauren-Reversible-Puffer-Vest-12-Months/323950668015?hash=item4b6cf6e8ef:g:6sYAAOSw-uddqJGu,Baby Girls Ralph Lauren Reversible Puffer Vest 12 Months,$8.00,$4.44,N/A,N/A,N/A
https://www.ebay.com/itm/JANIE-AND-JACK-Tartan-Sophistication-Plaid-Blazer-Jacket-Size-18-24-Months/143410744384?hash=item2163f24c40:g:QEMAAOSwuh5doUK5,JANIE AND JACK Tartan Sophistication Plaid Blazer Jacket Size 18-24 Months,$14.95,$5.66,Brand: Janie and Jack,Color: Green,Season: Winter
https://www.ebay.com/itm/North-Face-Zippered-Fleece-With-Hood-Red-And-Black-Toddler-3T/163914014786?hash=item262a096042:g:i9oAAOSw2k5drfr5,North Face Zippered Fleece With Hood Red And Black Toddler 3T,$9.99,$7.35,Brand: The North Face,N/A,N/A
https://www.ebay.com/itm/North-Face-Toddler-girl-lightweight-hooded-Jacket-Reversible/283643232109?hash=item420a743f6d:g:8mkAAOSwtVhdpJjF,North Face Toddler girl lightweight hooded Jacket Reversible,$20.00,$9.45,Brand: The North Face,N/A,N/A
https://www.ebay.com/itm/jl-Paper-Wings-Red-Hooded-Valentine-Knit-Swing-Jacket-4-READ/133205486408?hash=item1f03aa6b48:g:wfYAAOSwrClcRlTv,jl Paper Wings Red Hooded Valentine Knit Swing Jacket 4 READ,$10.77,$7.85,N/A,N/A,N/A
https://www.ebay.com/itm/Northface-Jacket-12-18-Month-Navy-Blue/254391974247?hash=item3b3af17967:g:qSIAAOSwupVdqKb6,Northface Jacket 12-18 Month Navy Blue,$19.00,$9.30,Brand: The North Face,N/A,N/A
