URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Kickee-Pants-Sleeper-Lot-Girls-3-6-Months/293301448442?hash=item444a20eefa:g:RDYAAOSwf2Zdtxtx,Kickee Pants Sleeper Lot Girls 3-6 Months ,$20.00,$5.30,Brand: KicKee Pants,Gender: Girls,Size: 3-6 Months
https://www.ebay.com/itm/Kickee-Pants-9-12-Months/283649079444?hash=item420acd7894:g:5QkAAOSwmexdrGA9,Kickee Pants 9-12 Months,$13.50,$3.78,Brand: KicKee Pants,N/A,N/A
https://www.ebay.com/itm/BITTY-BABY-AMERICAN-GIRL-POLAR-BEAR-PAJAMAS-SIZE-3/352829468562?hash=item5226466f92:g:HeoAAOSwnI9drcqC,BITTY BABY AMERICAN GIRL POLAR BEAR PAJAMAS SIZE 3,$3.25,$4.65,N/A,N/A,N/A
https://www.ebay.com/itm/4T-15-piece-lot-of-pajamas/264504312637?hash=item3d95af833d:g:54IAAOSwa4xdj6cZ,"4T, 15 piece lot of pajamas",$10.00,$12.60,N/A,N/A,N/A
https://www.ebay.com/itm/Girls-Carters-One-Piece-Sleepers-Size-18-Months/153698433318?hash=item23c923f926:g:-DAAAOSwJBdds3b9,Girls Carters One Piece Sleepers Size 18 Months ,$0.99,$7.85,Brand: Carter's,Gender: Girls,Size: 18 Months
https://www.ebay.com/itm/CARTERS-HELLO-KITTY-GIRL-3-PAIR-PAJAMA-LOT-18-Months/163918538574?hash=item262a4e674e:g:NJMAAOSwFChdpIO9,CARTERS/HELLO KITTY GIRL 3 PAIR PAJAMA LOT - 18 Months,$8.99,Free,Brand: Carter's,Gender: Girls,Size: 18 Months
https://www.ebay.com/itm/CARTERS-SIZE-7-BOYS-SKELETON-BONES-2-PIECE-COTTON-PAJAMAS-CC905PJ/183996312893?hash=item2ad708ed3d:g:-qkAAOSw6D5dnJcS,CARTERS SIZE 7 BOYS SKELETON BONES 2-PIECE COTTON PAJAMAS CC905PJ,$3.49,$4.44,N/A,N/A,N/A
https://www.ebay.com/itm/JAMMIES-FOR-YOUR-FAMILES-GIRLS-FLEECE-REINDEER-NIGHTGOWN-SIZE-4T/372808726837?hash=item56cd21b935:g:g4UAAOSwndFdqdwS,JAMMIES FOR YOUR FAMILES GIRLS FLEECE REINDEER NIGHTGOWN SIZE 4T,$1.25,$3.95,N/A,N/A,N/A
https://www.ebay.com/itm/NEWBORN-FLEECE-HALO-SLEEP-SACK-SWADDLE-GRAY-BABY-WORDS-PRINT-EUC/352801648069?hash=item52249dedc5:g:GzcAAOSwR1FdlPFx,"NEWBORN FLEECE HALO SLEEP SACK SWADDLE, GRAY ""BABY WORDS"" PRINT, EUC",$5.99,Free,Brand: Halo,Color: Gray,Gender: Unisex
https://www.ebay.com/itm/BOYS-SIZE-24-MONTH-SCOOBY-DOO-SLEEPWEAR/184010396260?hash=item2ad7dfd264:g:Ue8AAOSw8q9dtOoQ,BOYS SIZE 24 MONTH SCOOBY DOO SLEEPWEAR,$1.49,$3.50,Gender: Boys,N/A,N/A
https://www.ebay.com/itm/Lot-Of-4-Toddler-Girls-Footed-Pajamas-Size-2T/223714006620?hash=item341664d65c:g:7FoAAOSwZwldrIIV,Lot Of 4 Toddler Girls Footed Pajamas Size 2T,$9.50,$10.40,N/A,N/A,N/A
https://www.ebay.com/itm/Kickee-Pants-Natural-Peonies-Muffin-Ruffle-Footie-9-12-Mos-Pajamas-Zipper/264494716787?hash=item3d951d1773:g:gwEAAOSws7Ndn7Td,Kickee Pants Natural Peonies Muffin Ruffle Footie 9-12 Mos Pajamas Zipper,$22.50,$4.81,Brand: KicKee Pants,Color: Beige,Size: 6-12 Months
https://www.ebay.com/itm/CARTER-S-Red-and-Green-Plaid-Reindeer-Fleece-Pajamas-Boys-Size-3T/193169929194?hash=item2cf9d333ea:g:5skAAOSwLwtdriRR,CARTER’S Red and Green Plaid Reindeer Fleece Pajamas Boys Size 3T,$3.88,$3.84,Brand: Carter's,N/A,N/A
https://www.ebay.com/itm/Stellybelly-Smocked-Gingham-Christmas-Santa-Pajamas-18m-Boys-Sister-Match-Avail/223708490149?hash=item341610a9a5:g:-aIAAOSwnCtdp2Au,Stellybelly Smocked Gingham Christmas Santa Pajamas 18m Boys Sister Match Avail,$16.99,Free,N/A,N/A,N/A
https://www.ebay.com/itm/Unisex-Infants-Halloween-Sleeper-Size-0-3-Months-By-Sleepwear/143414206029?hash=item2164271e4d:g:A2YAAOSwoNBdoh3K,Unisex Infants Halloween Sleeper Size 0-3 Months By Sleepwear,$0.99,$3.66,N/A,N/A,N/A
https://www.ebay.com/itm/Kate-Quinn-Bamboo-Vintage-Airplane-Print-One-Piece-Romper-Pajamas-6-12-Months/303337804778?hash=item46a05793ea:g:LvgAAOSwPbddtcf4,Kate Quinn Bamboo Vintage Airplane Print One Piece Romper Pajamas 6-12 Months,$5.00,$3.00,Size: 6-12 Months,N/A,N/A
https://www.ebay.com/itm/3t-girls-Fall-Winter-lot/392480133484?hash=item5b61a3916c:g:4JEAAOSwdzxdpIsU,3t girls Fall Winter lot,$5.74,$10.00,Brand: Gap,Material: Denim,Size: 3T
https://www.ebay.com/itm/Kickee-Pants-3-6m-Boats-Sleeper/223708478187?hash=item3416107aeb:g:5h4AAOSw54Ndp10B,Kickee Pants 3-6m Boats Sleeper,$13.50,$4.57,N/A,N/A,N/A
https://www.ebay.com/itm/Pottery-Barn-Kids-Toddler-Boys-L-S-Pajama-Set-Construction-Vehicles-Size-4/333359457059?hash=item4d9dc5a323:g:kngAAOSwZGBdook1,Pottery Barn Kids Toddler Boys L/S Pajama Set ~ Construction Vehicles ~ Size 4,$4.25,$3.39,Material: 100% Cotton,Theme: Vehicles,N/A
https://www.ebay.com/itm/2-Piece-Lot-Boys-5T-CARTERS-Fleece-Pajama-Set-Long-Sleeve-Top-Pants-Walrus/202804355415?hash=item2f3814e157:g:qHMAAOSwTYZdrO62,2 Piece Lot Boy's 5T CARTER'S Fleece Pajama Set Long Sleeve Top & Pants Walrus,$7.99,$3.25,Brand: Carter's,N/A,N/A
