URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Baby-Girl-Sock-Lot-of-24-Pairs-0-6-Months-Assorted-Pink-Whit-Lilac/283657788912?hash=item420b525df0:g:YG0AAOSwsAdduEvK,Baby Girl Sock Lot of 24 Pairs 0-6 Months Assorted Pink Whit Lilac ,$3.75,$5.00,Color: Purple,Gender: Girls,Size: 0-6 Months
https://www.ebay.com/itm/Lot-Of-Baby-Girl-Tights-Size-0-6-Months-White-Cream-Pink-Red-Black-Purple/184002282056?hash=item2ad7640248:g:BRkAAOSwpbhdrF8s,"Lot Of Baby Girl Tights, Size 0 - 6 Months, White Cream Pink Red Black Purple",$4.25,$3.75,Brand: Jefferies,N/A,N/A
https://www.ebay.com/itm/EUC-Matilda-Jane-Striped-Tights-Girls-Sz-XS-2-4/223710430184?hash=item34162e43e8:g:FOcAAOSwXXBdqTah,EUC Matilda Jane Striped Tights Girls Sz XS (2-4),$4.25,$4.00,N/A,N/A,N/A
https://www.ebay.com/itm/Baby-Boy-18M-Orange-Adidas-Long-Sleeve-Shirt/333379752342?hash=item4d9efb5196:g:nB8AAOSwpYxcB8eN,Baby Boy 18M Orange Adidas Long Sleeve Shirt,$2.00,$3.30,Color: Orange,Gender: Boys,N/A
https://www.ebay.com/itm/Tocoto-Vintage-Tights-12m-Nwt/113926198963?hash=item1a8687d6b3:g:YE0AAOSwTvNdp4Gx,Tocoto Vintage Tights 12m Nwt,$12.50,$3.66,N/A,N/A,N/A
https://www.ebay.com/itm/Buho-Lurex-Caramel-Girls-Tights-24m-New/113926190887?hash=item1a8687b727:g:ZtEAAOSwUYtdp3zk,Buho Lurex Caramel Girls Tights 24m New,$12.50,$3.66,N/A,N/A,N/A
https://www.ebay.com/itm/NWT-CUTIE-PIE-3-PACK-SOCK-BOX-SET-INFANT-BOYS-INCLUDES-1-RATTLE-SOCK-SET-0-12M/202810931989?hash=item2f38793b15:g:qkkAAOSw1B5duXsa,NWT CUTIE PIE 3 PACK SOCK BOX SET INFANT BOYS INCLUDES 1 RATTLE SOCK SET - 0-12M,$0.99,$4.53,Brand: Cutie Pie,Color: Multicolor,Gender: Boys
https://www.ebay.com/itm/Size-6-18-months-sock-lot-6-pairs-of-socks-NWT-infant-cuffed-socks/153693698603?hash=item23c8dbba2b:g:e98AAOSwHSxdrmrj,"Size 6-18 months sock lot 6 pairs of socks NWT,infant cuffed socks",$2.50,$3.99,N/A,N/A,N/A
https://www.ebay.com/itm/MATILDA-JANE-SLY-AS-A-FOX-TIGHTS-SMALL/264509774456?hash=item3d9602da78:g:vTsAAOSwyyZdsclu,MATILDA JANE SLY AS A FOX TIGHTS SMALL ,$7.99,$4.06,N/A,N/A,N/A
https://www.ebay.com/itm/Zutano-Booties-Cozie-Fleece-Hat-And-Booties-Gray/303339404403?hash=item46a06ffc73:g:7t4AAOSwGpBdt2gb,"Zutano Booties, Cozie Fleece, Hat And Booties Gray",$6.99,$4.50,Color: Gray,Gender: Unisex,Material: Fleece
https://www.ebay.com/itm/Nueces-Baby-Tights-24m-Nwt/113926858934?hash=item1a8691e8b6:g:GMIAAOSwnSJdqFoG,Nueces Baby Tights 24m Nwt,$5.00,$3.66,N/A,N/A,N/A
https://www.ebay.com/itm/Buho-Girls-Tights-2y-Nwt/123946167790?hash=item1cdbc46dee:g:sEQAAOSwPbddq8hi,Buho Girls Tights 2y Nwt,$6.50,$3.66,N/A,N/A,N/A
https://www.ebay.com/itm/Baby-Girl-Seamless-Cable-Knit-Tights-NB-6-months-Lot-of-6-Winter-Pink-Red-Black/153693018971?hash=item23c8d15b5b:g:nikAAOSwWl5drchM,Baby Girl Seamless Cable Knit Tights NB-6 months Lot of 6 Winter Pink Red Black ,$10.49,$4.57,Color: Red,Gender: Girls,Size: 6 Months
https://www.ebay.com/itm/Nueces-Grey-Baby-Tights-18m-Nwt/123943097510?hash=item1cdb9594a6:g:q4kAAOSwVTldqFfh,Nueces Grey Baby Tights 18m Nwt,$6.50,$3.66,N/A,N/A,N/A
https://www.ebay.com/itm/NEW-Gymboree-Girls-Pink-Tights-Size-XXS-3-NWT/293275467374?hash=item4448947e6e:g:6IQAAOSwctddaslQ,NEW Gymboree Girls Pink Tights Size XXS 3 NWT,$6.00,Free,Brand: Gymboree,Color: Pink,N/A
https://www.ebay.com/itm/Wolf-And-Rita-Dot-Tights-12-18m-Nwt/123942325181?hash=item1cdb89cbbd:g:ElwAAOSwyyZdp33s,Wolf And Rita Dot Tights 12/18m Nwt,$8.00,$3.66,N/A,N/A,N/A
https://www.ebay.com/itm/Size-0-12-months-cap-sock-set-Laura-Ashley-Baby-2-pc-set/153700892158?hash=item23c9497dfe:g:VcMAAOSwVb5dtirB,Size 0-12 months cap & sock set Laura Ashley Baby 2 pc.set,$3.25,$3.99,Brand: Laura Ashley,Color: Black,Size: 0-12 Months
https://www.ebay.com/itm/Zutano-Booties-Cozie-Fleece-12-Months-Fuchsia/153690901028?hash=item23c8b10a24:g:jUkAAOSw2Whdq2D5,"Zutano Booties, Cozie Fleece, 12 Months, Fuchsia",$9.50,$4.00,N/A,N/A,N/A
