URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Mayoral-Boys-Quilted-Jacket-12-Months-Blue/333369059413?hash=item4d9e582855:g:1gQAAOSwctddaqSs,Mayoral Boys Quilted Jacket 12 Months Blue,$3.00,$7.49,Brand: Mayoral,N/A,N/A
https://www.ebay.com/itm/Gioberti-Maroon-Velvet-Toddler-Boys-Blazer-Size-2T-Ring-Bearer/113919938029?hash=item1a86284ded:g:BWgAAOSwEDFdn6d0,Gioberti Maroon Velvet Toddler Boys Blazer Size 2T Ring Bearer,$16.40,$7.65,Color: Red,Material: Polyester,Size: 2T
https://www.ebay.com/itm/Kitestring-Toddler-Boy-Size-3t-Navy-Blue-Blazer-captins-Coat/264497840559?hash=item3d954cc1af:g:yTwAAOSwBgxdkSxb,Kitestring Toddler Boy Size 3t Navy Blue Blazer/captins Coat,$4.09,$7.55,Color: Blue,Size: 3T,N/A
https://www.ebay.com/itm/LITTLE-MAVEN-3T-3-Years-Boys-Black-Blazer-Jacket/323944746839?hash=item4b6c9c8f57:g:qwgAAOSw74ZdeSfZ,LITTLE MAVEN 3T 3 Years Boys Black Blazer Jacket,$6.90,$5.30,Color: Black,Material: 100% Cotton,Size: 3T
https://www.ebay.com/itm/Black-Toddler-Suit-Tuxedo-2T/143406717308?hash=item2163b4d97c:g:IlwAAOSwNw1dnd9Z,Black Toddler Suit Tuxedo 2T,$2.25,$7.35,Color: Black,Material: Polyester,Size: 2T
https://www.ebay.com/itm/RARE-Boys-Janie-and-Jack-Special-Occasion-Navy-Linen-5-pce-suit-set-Size-5-6-NWT/283657676286?hash=item420b50a5fe:g:hJMAAOSwJAxdqw22,RARE Boys Janie and Jack Special Occasion Navy Linen 5 pce suit set Size 5/6 NWT,$41.00,$8.99,Brand: Janie and Jack,Gender: Boys,Material: Linen
https://www.ebay.com/itm/RARE-Boys-Janie-and-Jack-Special-Occasion-Navy-Linen-5-pce-suit-set-Size-5-6-NWT/283648152701?hash=item420abf547d:g:hJMAAOSwJAxdqw22,RARE Boys Janie and Jack Special Occasion Navy Linen 5 pce suit set Size 5/6 NWT,$50.00,$8.99,Brand: Janie and Jack,N/A,N/A
https://www.ebay.com/itm/H-M-4T-5T-Used-Toddler-Baby-Boy-Suit-Smart-Jacket-Gray-Navy-Blue-Patch-Elbows/283652098982?hash=item420afb8ba6:g:w78AAOSwznZdo3Ge,H&M 4T-5T Used Toddler Baby Boy Suit Smart Jacket Gray Navy Blue Patch Elbows,$8.50,$9.50,Brand: H&M,N/A,N/A
https://www.ebay.com/itm/Janie-Jack-Cotton-Vest-And-Trouser-Set-Size-7/113934464628?hash=item1a8705f674:g:gqYAAOSwQG9dj9S0,Janie & Jack Cotton Vest And Trouser Set Size 7,$15.00,$14.20,Brand: Janie and Jack,N/A,N/A
https://www.ebay.com/itm/TFW-toddler-boys-blue-black-3-pc-suit-pants-shirt-vest-sz-2T-FORMAL/303345330067?hash=item46a0ca6793:g:FvUAAOSwem9djj0Y,TFW toddler boy's blue & black 3 pc suit pants shirt vest sz 2T FORMAL,$8.00,$4.53,Color: Blue,Gender: Boys,Size: 2T
https://www.ebay.com/itm/Boys-Size-4T-4-Piece-Suit-EUC/143424700988?hash=item2164c7423c:g:Y3UAAOSwsIJdftQp,Boys Size 4T 4 Piece Suit EUC,$3.80,$6.99,Gender: Boys,Size: 4T,N/A
