URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Polo-Ralph-Lauren-Toddler-Boys-Size-4T-American-Flag-Sweater/133221557550?hash=item1f049fa52e:g:tH0AAOSwsQJduHDC,"Polo, Ralph Lauren Toddler Boys Size 4T American Flag Sweater",$20.50,$4.75,Brand: Polo Ralph Lauren,Color: Blue,Gender: Boys
https://www.ebay.com/itm/Carters-Toddler-Girl-Unicorn-Sweater-Size-5T-Worn-Once/323963346743?hash=item4b6db85f37:g:4AAAAOSwh8pduKIw,Carters Toddler Girl Unicorn Sweater Size 5T Worn Once!,$10.50,$4.49,Brand: Carter's,Gender: Girls,Size: 5T
https://www.ebay.com/itm/Toddler-Girl-Holiday-Sweaters-2T/163914326594?hash=item262a0e2242:g:ceIAAOSwzCZdkNyi,Toddler Girl Holiday Sweaters 2T ,$1.70,$4.39,N/A,N/A,N/A
https://www.ebay.com/itm/Gymboree-Fox-Sweater-Gray-Navy-Blue-Size-5T-Vguc/202805082512?hash=item2f381ff990:g:sb0AAOSwxIldrkpF,Gymboree Fox Sweater Gray Navy Blue Size 5T Vguc ,$9.50,$4.81,Brand: Gymboree,N/A,N/A
https://www.ebay.com/itm/Polo-Ralph-Lauren-Toddler-Boys-Size-18-Months-Polo-Bear-Sweater/133204251039?hash=item1f0397919f:g:mo0AAOSw4cRdpj1t,"Polo, Ralph Lauren Toddler Boys Size 18 Months Polo Bear Sweater",$26.00,$4.75,N/A,N/A,N/A
https://www.ebay.com/itm/JANIE-AND-JACK-Gallery-Muse-Girls-Navy-Peplum-Riding-Vest-Size-12-18-Months/133209757835?hash=item1f03eb988b:g:CBAAAOSwRSBdrOXt,JANIE AND JACK Gallery Muse Girls Navy Peplum Riding Vest Size 12-18 Months,$15.45,$4.81,Brand: Janie and Jack,N/A,N/A
https://www.ebay.com/itm/EUC-Boys-VINEYARD-VINES-Red-Half-Zip-Sweater-3T/143410567576?hash=item2163ef9998:g:saUAAOSwIM5do4n~,EUC Boys’ VINEYARD VINES Red Half-Zip Sweater 3T,$20.49,$5.19,Color: Green,Size: 3T,Style: Pullover
https://www.ebay.com/itm/POLO-RALPH-LAUREN-GIRLS-PINK-CARDIGAN-SWEATER-SIZE-3-3T-LONG-SLEEVED/323954207219?hash=item4b6d2ce9f3:g:x3QAAOSwPc1dol-l,POLO RALPH LAUREN GIRLS PINK CARDIGAN SWEATER  SIZE 3/3T LONG SLEEVED ,$9.00,$5.40,Brand: Polo Ralph Lauren,N/A,N/A
https://www.ebay.com/itm/Toddler-boy-Sweater-Polo-Ralph-Lauren-2T/274058429141?hash=item3fcf27c2d5:g:jr4AAOSw9-ZdqnLU,Toddler boy Sweater Polo Ralph Lauren 2T,$6.00,$3.90,Brand: Polo Ralph Lauren,N/A,N/A
https://www.ebay.com/itm/Polo-Ralph-Lauren-Toddler-Boys-Size-4T-Polo-Bear-Sweater/383211194103?hash=item59392ac6f7:g:HgYAAOSwbY5dpJvo,"Polo, Ralph Lauren Toddler Boys Size 4T Polo Bear Sweater",$29.00,$4.75,Brand: Polo Ralph Lauren,Color: Blue,Material: 100% Cotton
