URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Arancrafts-Ireland-Merino-Wool-Boys-Girls-Sweater-Size-2-3yrs-Irish-Toddler/113927218592?hash=item1a869765a0:g:vgsAAOSwS1JdqM~t,Arancrafts Ireland Merino Wool Boys Girls Sweater Size 2-3yrs Irish Toddler,$9.99,$8.00,N/A,N/A,N/A
https://www.ebay.com/itm/3t-Swimsuit-lot-9-pieces-boys/264512870259?hash=item3d96321773:g:S70AAOSwGOJdkNWM,3t Swimsuit lot - 9 pieces - boys,$5.00,$7.35,Brand: Marvel,Gender: Boys,Size: 3T
https://www.ebay.com/itm/Posh-Pickle-swimsuit-Sz-5T/254387861986?hash=item3b3ab2b9e2:g:0DEAAOSwwGhdh3ee,Posh Pickle swimsuit Sz 5T,$15.00,$3.70,Size: 5T,N/A,N/A
https://www.ebay.com/itm/Baby-Girl-Minnow-Swim-Suit-Size-2T-Striped-Ruffles-Blue/163921654259?hash=item262a7df1f3:g:dnkAAOSwushdtzXS,Baby Girl Minnow Swim Suit Size  2T Striped Ruffles Blue ,$10.50,$4.06,Color: Blue,Gender: Girls,Size: 2T
https://www.ebay.com/itm/hanna-andersson-rash-guard-Swimsuit-Baby-Girl-80-18-24/372815612912?hash=item56cd8acbf0:g:Os0AAOSw4vRdaBx9,hanna andersson rash guard Swimsuit Baby Girl 80 18 24,$9.99,$4.44,Brand: Hanna Andersson,N/A,N/A
https://www.ebay.com/itm/Rufflebutts-Toddler-Girls-Pink-Polkadot-2-Piece-Swimsuit-Sunhat-Sz-2T/183991621025?hash=item2ad6c155a1:g:VPgAAOSwOTZdoMkP,Rufflebutts Toddler Girls Pink Polkadot 2 Piece Swimsuit & Sunhat Sz 2T,$5.99,$5.30,Color: Pink,Size: 2T,N/A
https://www.ebay.com/itm/Rylee-And-Cru-Boys-Trunks-Size-2-3Y/303341942277?hash=item46a096b605:g:ogIAAOSwk-Jdudod,Rylee And Cru Boys Trunks Size 2-3Y,$10.50,$3.78,Gender: Boys,N/A,N/A
https://www.ebay.com/itm/Cat-Jack-Swim-Suit-Size-4t/283648166269?hash=item420abf897d:g:~nMAAOSwlWZdfPAJ,Cat & Jack Swim Suit Size 4t,$1.00,$3.66,Brand: Cat & Jack,N/A,N/A
https://www.ebay.com/itm/Cat-Jack-brand-2T-Girls-swimsuit/223734229456?hash=item34179969d0:g:AusAAOSwiDRdo5Dn,Cat & Jack brand  2T Girls swimsuit,$3.00,$3.94,Brand: Cat & Jack,Color: Multicolor,Gender: Girls
https://www.ebay.com/itm/Mud-Pie-Baby-Toddler-Girls-Polka-Dot-Ruffle-Bikini-12-18-Months-NEW-with-tags/283642141846?hash=item420a639c96:g:TccAAOSwE~pdK3J-,Mud Pie Baby / Toddler Girls Polka Dot Ruffle Bikini 12 -18 Months NEW with tags,$15.00,Free,Brand: Mud Pie,Color: Pink,Material: Nylon
https://www.ebay.com/itm/The-Disney-Store-Boys-Bathing-Suit-Swim-Trunks-Mickey-Mouse-Size-M-7-8/113926387446?hash=item1a868ab6f6:g:Mo0AAOSw5YhdZycn,* The Disney Store * Boys Bathing Suit Swim Trunks Mickey Mouse  Size M 7/8,$7.99,$4.39,N/A,N/A,N/A
https://www.ebay.com/itm/NEW-DC-Comics-Boys-Batman-Small-2T-Rash-Guard/223711915804?hash=item341644ef1c:g:DL4AAOSwWZVdqpEh,NEW DC Comics Boys' Batman Small 2T Rash Guard,$6.95,$2.95,Brand: DC Comics,N/A,N/A
https://www.ebay.com/itm/Tea-Collection-Boys-Swimsuit-Sz-18-24m/383200367011?hash=item59388591a3:g:r4oAAOSwevZdnMon,Tea Collection Boys Swimsuit Sz 18-24m,$4.99,$4.53,Brand: Tea Collection,Size: 18-24 Months,N/A
https://www.ebay.com/itm/Baby-Girl-Hatley-Swimsuit-Size-9-12-Month-Infant-2pc-Swim-Bathing-Suit-Rashguard/113923248505?hash=item1a865ad179:g:tj4AAOSwnSJdeZVh,Baby Girl Hatley Swimsuit Size 9-12 Month Infant 2pc Swim Bathing Suit Rashguard,$3.99,$5.66,Brand: Janie and Jack,Material: Nylon,Size: 9-12 Months
https://www.ebay.com/itm/WIPPETTE-BOYS-SAILBOAT-SEA-COVER-UP-JACKET-SWIM-SHORTS-SET-SIZE-4T/323962567937?hash=item4b6dac7d01:g:ZbEAAOSw5r9dnARN,WIPPETTE BOYS SAILBOAT SEA COVER UP JACKET & SWIM SHORTS SET SIZE 4T,$0.99,$4.39,Brand: Wippette,Color: Multicolor,Gender: Boys
https://www.ebay.com/itm/Lot-of-Boys-Swim-trunks-tea-collection-size-3-4T/193183981980?hash=item2cfaa9a19c:g:fccAAOSwafJdsxJp,"Lot of Boy's Swim trunks, tea collection, size 3 & 4T",$4.25,$3.74,Brand: Tea Collection,Gender: Boys,Size: 4T
https://www.ebay.com/itm/Beaufort-Bonnet-Company-Swim-Suit-Euc-2t-Girls-Bubble-Pink/202800696201?hash=item2f37dd0b89:g:U80AAOSw7iZdphb~,Beaufort Bonnet Company Swim Suit Euc 2t Girls Bubble Pink,$16.00,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/Girl-Gucci-Swimsuit-Size-3-yo/123948115943?hash=item1cdbe227e7:g:MAwAAOSwDkFdkn0M,Girl Gucci Swimsuit Size 3/yo,$40.00,$3.66,N/A,N/A,N/A
https://www.ebay.com/itm/ralph-lauren-Baby-Girl-2-Piece-Pony-Swimsuit-9-Months/113918726817?hash=item1a8615d2a1:g:i8MAAOSwFRpdgoB0,ralph lauren Baby Girl 2 Piece Pony Swimsuit 9 Months,$3.00,$4.06,Size: 9 Months,N/A,N/A
https://www.ebay.com/itm/Girls-One-Piece-Flowered-Bathing-Suit-Size-5T-By-Circo-Pink-Tulle-Ruffled/274066842292?hash=item3fcfa822b4:g:o6UAAOSwjyJdq8ob,Girls One Piece Flowered Bathing Suit Size 5T By Circo Pink Tulle Ruffled,$1.99,$3.89,Brand: Circo,N/A,N/A
https://www.ebay.com/itm/Lazy-One-Peppa-Pig-Size-2t-pajamas/163904129065?hash=item2629728829:g:CQ8AAOSw29Zdmfdr,Lazy One Peppa Pig Size 2t pajamas,$1.90,$3.82,Size: 2T,N/A,N/A
https://www.ebay.com/c/2184139796,Girls Size 14 Rash Guard Swim Suit Set Brand Cabana Life Brand New With Tags,$10.49,$7.59,Brand: Cabana Life,N/A,N/A
https://www.ebay.com/itm/NWT-Toddler-Boys-New-York-Yankee-Bathing-Suit-Swim-Trunks-2t/133202819517?hash=item1f0381b9bd:g:UHYAAOSwpDRdbRBD,NWT Toddler Boys New York Yankee Bathing Suit Swim Trunks 2t,$6.99,$4.39,Size: 2T,N/A,N/A
https://www.ebay.com/itm/Disney-Pixar-Cars-Boys-4T-Puff-Coat-Red-Fleece-Lined-Hooded/163916175161?hash=item262a2a5739:g:2TsAAOSw8o9dsGPP,Disney Pixar Cars Boys 4T Puff Coat Red Fleece Lined Hooded,$4.99,$7.85,Brand: Pixar,Color: Red,Gender: Boys
https://www.ebay.com/itm/Baby-Girls-Rufflebutts-Swimsuit-Blue-Seersucker/372812556374?hash=item56cd5c2856:g:wT8AAOSwGj9drot6,Baby Girls Rufflebutts Swimsuit. Blue Seersucker.,$5.46,$3.82,N/A,N/A,N/A
https://www.ebay.com/itm/Cat-Jack-3T-Girl-Mermaid-Swim-Suit/184013589326?hash=item2ad8108b4e:g:rIAAAOSwJkVdpd16,Cat & Jack 3T Girl Mermaid Swim Suit ,$4.75,$3.50,Brand: Cat & Jack,Gender: Girls,Size: 3T
https://www.ebay.com/itm/Mickey-Mouse-Swimming-Trunks-3T/333371072256?hash=item4d9e76df00:g:uYwAAOSwHLFdrmY6,Mickey Mouse Swimming Trunks 3T,$2.00,$7.50,N/A,N/A,N/A
https://www.ebay.com/itm/RuffleButts-Girls-Long-Sleeve-One-Piece-Swimwear-UPF-50-Size-12months/283657709384?hash=item420b512748:g:By0AAOSwj-5duDLX,RuffleButts Girls Long Sleeve One Piece Swimwear UPF 50+  Size 12months,$6.80,$4.53,Gender: Girls,Material: Nylon,Size: 2T
https://www.ebay.com/itm/Smocked-Sailfish-Swimsuit-Sz-5T/254387863728?hash=item3b3ab2c0b0:g:w~IAAOSwFMtdh3f1,Smocked Sailfish Swimsuit Sz 5T,$12.50,Free,Size: 5T,N/A,N/A
https://www.ebay.com/itm/Vintage-1950s-Little-Girl-Child-Bathing-Suit-Cover-up-Lot-Ruffle-Candy-Pink/113929371877?hash=item1a86b840e5:g:C5wAAOSwvJVdqzI2,Vintage 1950s Little Girl Child Bathing Suit Cover up Lot Ruffle Candy Pink,$29.00,$5.35,N/A,N/A,N/A
https://www.ebay.com/itm/Size-3T-Girls-swimsuit-3-4-Length-Sleeves/184006363983?hash=item2ad7a24b4f:g:O50AAOSwWk1dsL5s,Size 3T Girls swimsuit- 3/4 Length Sleeves,$3.99,$3.99,N/A,N/A,N/A
https://www.ebay.com/itm/4t-Peppa-Pig-Sweater-Skirt-One-Piece/153693364927?hash=item23c8d6a2bf:g:qZcAAOSw9fZdrhiu,4t Peppa Pig Sweater Skirt One Piece,$0.99,$6.50,N/A,N/A,N/A
https://www.ebay.com/itm/Girls-12-18-Month-Swimsuit-Swimshirt-Swimsuit-Cover-Up-Lot/303340654311?hash=item46a0830ee7:g:U8wAAOSwzxldr16z,"Girls 12/18 Month Swimsuit, Swimshirt, Swimsuit Cover Up Lot",$2.99,$4.99,Gender: Girls,N/A,N/A
https://www.ebay.com/itm/carters-baby-girl-24-months-Swim-Suit/223728057497?hash=item34173b3c99:g:UMsAAOSwttJdni8i,carters baby girl 24 months Swim Suit,$6.20,$5.00,Brand: Carter's,Gender: Girls,Size: 24 Months
https://www.ebay.com/itm/Baby-Girl-Swimsuit-Minnow-Size-2T-Red-Striped-One-Piece/153707111591?hash=item23c9a864a7:g:dhcAAOSwZGldvJrC,Baby Girl Swimsuit Minnow Size 2T Red Striped One Piece,$5.00,$4.81,Color: Red,Gender: Girls,Size: 2T
https://www.ebay.com/itm/gymboree-sunscreen-swimwear-UPF-50-UV-Protection-Girls-size-10-12/202802551398?hash=item2f37f95a66:g:OlYAAOSw77NdlhYG,gymboree sunscreen swimwear UPF 50+ UV Protection Girls size 10-12,$4.30,$3.78,Brand: Gymboree,N/A,N/A
https://www.ebay.com/itm/Disney-Boys-3T-Bathing-Suit-Mickey-Donald-Goofey/143416484867?hash=item216449e403:g:hqIAAOSwWaZdkhaX,Disney Boys 3T Bathing Suit- Mickey Donald Goofey,$3.50,$3.66,Brand: Disney,N/A,N/A
https://www.ebay.com/c/1912533189,"Nickelodeon Toddler Boys' Teenage Mutant Ninja Turtles Costume Hoodie, Green, 2T",$5.00,Free,Color: Green,Size: 2T,N/A
https://www.ebay.com/itm/The-Beaufort-Bonnet-Company-Pink-Green-toddler-Swim-Suit-2T/293282128722?hash=item4448fa2352:g:6KoAAOSwHfxdi6HE,The Beaufort Bonnet Company Pink Green toddler Swim Suit 2T,$15.99,$6.85,N/A,N/A,N/A
https://www.ebay.com/itm/Pottery-Barn-Kids-Swinsuit-Cover-Up-12-18-Months/274055126265?hash=item3fcef55cf9:g:rs4AAOSwupVdp4-g,Pottery Barn Kids Swinsuit Cover Up 12-18 Months ,$5.00,$3.09,N/A,N/A,N/A
https://www.ebay.com/itm/Disney-Mickey-Mouse-2T-Swim-Trunks-And-Rash-Guard-Swimwear/184015196057?hash=item2ad8290f99:g:oksAAOSwcK5di6VR,Disney Mickey Mouse 2T Swim Trunks And Rash Guard Swimwear,$5.99,$3.99,Brand: Disney,Size: 2T,N/A
https://www.ebay.com/itm/Disney-Babies-Mickey-Minnie-Mouse-Swimsuit-12M-One-Piece-Purple-Pink-Racer-Back/113918432810?hash=item1a8611562a:g:eKAAAOSwG~ta0en2,Disney Babies Mickey Minnie Mouse Swimsuit 12M One Piece Purple Pink Racer Back,$0.95,$3.78,Brand: Disney,Color: Pink,Material: Nylon
https://www.ebay.com/itm/janie-and-jack-2t-boys-Bathing-Suit/333371618658?hash=item4d9e7f3562:g:aSUAAOSw5uxdNHEY,janie and jack 2t boys Bathing Suit,$7.00,$3.75,Brand: Janie and Jack,N/A,N/A
https://www.ebay.com/itm/Hanna-Andersson-6-12-Month-70-Cm-Baby-Girl-Swim-Suit-Rashguard-Onepiece-Stripes/174070406114?hash=item2887679be2:g:BRgAAOSwAFJdq0vm,Hanna Andersson 6-12 Month 70 Cm Baby Girl Swim Suit Rashguard Onepiece Stripes,$2.00,$3.74,Brand: Hanna Andersson,N/A,N/A
https://www.ebay.com/itm/Vineyard-Vines-Target-3-6-Months/264513835710?hash=item3d9640d2be:g:UZsAAOSwy2Bdtvbw,"Vineyard Vines Target, 3-6 Months",$8.00,$7.50,Brand: Vineyard Vines,Size: 3-6 Months,N/A
https://www.ebay.com/itm/Pink-Whale-swim-shirt-Baby-12M-UPF-50-Blue-White-stripes-VINEYARD-VINES-NWT/254408662276?hash=item3b3bf01d04:g:bGsAAOSw7mldlioL,Pink Whale swim shirt: Baby 12M. UPF 50+ Blue & White stripes.VINEYARD VINES NWT,$8.99,$3.50,Brand: Vineyard Vines,Color: Blue,Material: Polyester
https://www.ebay.com/itm/Rufflebutts-Rash-Guard-Swimsuit-6-12-Month-Teal-Polka-Dots-Stripes/233389865107?hash=item36571eb893:g:Q3sAAOSwxFVdrRTL,Rufflebutts Rash Guard Swimsuit 6-12 Month Teal Polka Dots Stripes,$14.00,$3.78,Color: Blue,N/A,N/A
https://www.ebay.com/itm/Cat-Jack-Swimsuit-Size-4t/283654915204?hash=item420b268484:g:MmMAAOSwlDBdfPFU,Cat & Jack Swimsuit Size 4t,$1.37,$3.66,Brand: Cat & Jack,Size: 4T,N/A
https://www.ebay.com/itm/Smocked-Minnie-Mouse-Two-Piece-Outfit-by-JITTERBUGS-Sz-18-Months-Red-White-Check/174062089869?hash=item2886e8b68d:g:fFYAAOSwP3JdoJjX,Smocked Minnie Mouse Two Piece Outfit by JITTERBUGS Sz 18 Months Red White Check,$14.00,Free,Color: Red,Material: Cotton Blend,Size: 18 Months
https://www.ebay.com/itm/Janie-and-Jack-Toddler-Girl-Pink-Floral-Swim-Cover-Up-Dress-Size-18-24-Months/323964105869?hash=item4b6dc3f48d:g:qLoAAOSwy3BdeQd~,Janie and Jack Toddler Girl Pink Floral Swim Cover Up Dress - Size 18-24 Months,$3.00,$2.66,Brand: Janie and Jack,Color: Pink,Gender: Girls
https://www.ebay.com/itm/Girls-Size-2t-Bathing-Suit/283663786325?hash=item420bade155:g:o~AAAOSw4O5dEXf5,Girls Size 2t Bathing Suit,$3.50,$3.78,Brand: J Khaki,Gender: Girls,Size: 2T
https://www.ebay.com/itm/Vineyard-Vines-Boys-Blue-and-White-Lined-Swimming-Trunks-Travel-Bag-size-2T/174064216289?hash=item28870928e1:g:~tcAAOSwUzJdo5Lv,Vineyard Vines Boys Blue and White Lined Swimming Trunks + Travel Bag size 2T,$4.65,$4.49,Brand: Vineyard Vines,Size: 2T,N/A
https://www.ebay.com/itm/Disney-Girl-Size-3T-Blue-Polka-Dot-Minnie-Mouse-One-Piece-Swimsuit/333381728991?hash=item4d9f197adf:g:jKwAAOSwglRdWyic,Disney Girl Size 3T Blue Polka Dot Minnie Mouse One Piece Swimsuit,$1.80,$4.49,Brand: Disney,Color: Blue,Gender: Girls
https://www.ebay.com/itm/Lot-Of-2t-Boys-Swim-Gear-Free-Shipping/254391352266?hash=item3b3ae7fbca:g:cSkAAOSwPqBdp86A,Lot Of 2t Boys Swim Gear Free Shipping ,$5.51,Free,N/A,N/A,N/A
https://www.ebay.com/c/13022695009,Tuga Baby/Toddler UV 400 Sunglasses with Two Adjustable Straps and Case 0-5 Year,$5.00,$3.78,Color: Black,Gender: Girls,N/A
https://www.ebay.com/itm/NO-ZONE-Full-Body-Infant-Swimsuit-Rash-Guard-Purple-Sun-Protection-6-12-Months/264498574652?hash=item3d9557f53c:g:0hEAAOSwOgdc5Zbo,NO ZONE Full Body Infant Swimsuit Rash Guard Purple Sun Protection 6-12 Months,$0.99,$3.99,Color: Purple,Material: Polyester,Size: 6-12 Months
https://www.ebay.com/itm/Catimini-Toddler-Girls-Swimsuit-Size-2-NWT/254407844071?hash=item3b3be3a0e7:g:J78AAOSwaFJdctwL,Catimini Toddler Girls Swimsuit Size 2 NWT,$19.99,$2.99,Gender: Girls,N/A,N/A
https://www.ebay.com/itm/JUICY-COUTURE-BABY-GIRL-SWIMSUIT-SIZE-6-12-MONTHS-NAVY-COLOR/113929610924?hash=item1a86bbe6ac:g:33kAAOSw699dat1H,"JUICY COUTURE BABY GIRL SWIMSUIT SIZE 6 - 12 MONTHS,NAVY COLOR",$2.30,$4.06,Brand: Juicy Couture,N/A,N/A
https://www.ebay.com/itm/Baby-Janie-Jack-18-24-Month-Shorts-Swim-Trunk-Bottoms-Toddler-Palm-Tree-Print/113923248485?hash=item1a865ad165:g:AwIAAOSwe4FdTM2T,Baby Janie & Jack 18 24 Month Shorts Swim Trunk Bottoms Toddler Palm Tree Print,$0.99,$4.81,Brand: Janie and Jack,Color: Orange,Material: Cotton Blend
https://www.ebay.com/itm/Janie-And-Jack-Baby-Girl-Swim-Suit-New-Without-Tags-Size-6-12-Months/323959463865?hash=item4b6d7d1fb9:g:LnsAAOSwlildhZZK,Janie And Jack Baby Girl Swim Suit New Without Tags Size 6-12 Months,$15.00,$3.86,Brand: Janie and Jack,Gender: Girls,Size: 6-12 Months
https://www.ebay.com/itm/Batman-Toddler-Boy-3T-Rash-Guard-Long-Sleeve-Swim-Yellow/323948699671?hash=item4b6cd8e017:g:qsYAAOSwWtZdl4u6,Batman Toddler Boy 3T Rash Guard Long Sleeve Swim Yellow,$21.50,Free,N/A,N/A,N/A
https://www.ebay.com/itm/Mud-Pie-Baby-Girls-Pink-Ruffled-Summer-Vacation-Beach-Swimsuit-0-6M/293281900942?hash=item4448f6a98e:g:IUwAAOSwdXpdgnQs,Mud Pie Baby Girls Pink Ruffled Summer Vacation Beach Swimsuit 0-6M,$4.00,$4.44,N/A,N/A,N/A
https://www.ebay.com/itm/Boys-Prodoh-Gingham-Swimsuit-Size-3T/113927141403?hash=item1a8696381b:g:6AkAAOSwl2BdqLmy,"Boys Prodoh Gingham Swimsuit, Size 3T",$20.00,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/New-Gymboree-Boy-s-Kid-Toddler-Swim-Shorts-Lined-Swimwear-4T-4-years-4-yrs-New/303341952046?hash=item46a096dc2e:g:hjYAAOSwPjZducrv,New Gymboree Boy’s Kid Toddler Swim Shorts Lined Swimwear 4T 4 years 4 yrs - New,$5.99,$4.99,Brand: Gymboree,Gender: Boys,Size: 4T
https://www.ebay.com/itm/Size-3T-Peppa-Pig-Tankini-2-Piece-Swimsuit-Swim-Bathing-Suit-NWT-UPF-50/163909786928?hash=item2629c8dd30:g:h3UAAOSwNc5dqSxq,Size 3T Peppa Pig Tankini 2 Piece Swimsuit Swim Bathing Suit NWT UPF 50+,$5.50,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/NWT-ROXY-Toddler-Girls-Swimsuit-Size-3-Onepiece/264507918031?hash=item3d95e686cf:g:r4kAAOSwnAJdZauW,NWT ROXY Toddler Girls Swimsuit Size 3 Onepiece,$12.98,$2.00,N/A,N/A,N/A
https://www.ebay.com/itm/Hanna-Andersson-6-12-Month-70-Cm-Baby-Girl-Swim-Suit-Rashguard-Onepiece-Stripes/174070406114?hash=item2887679be2:g:BRgAAOSwAFJdq0vm,Hanna Andersson 6-12 Month 70 Cm Baby Girl Swim Suit Rashguard Onepiece Stripes,$2.00,$3.74,Brand: Hanna Andersson,N/A,N/A
https://www.ebay.com/itm/Baby-Girl-Swimsuit-Size-2T-Mermaid-Rainbow-Tutu-NWT/163909784880?hash=item2629c8d530:g:MWUAAOSwHt9dqSuN,Baby Girl Swimsuit Size 2T Mermaid Rainbow Tutu NWT,$2.80,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/Sol-Swim-Baby-Boy-Swimwear-Green-Blue-Size-3-6-Months-Dino-saur-Print-30-338/401928873215?hash=item5d94d3e4ff:g:z~cAAOSwM6ZdrPND,Sol Swim Baby Boy Swimwear Green Blue Size 3-6 Months Dino-saur Print $30 338,$0.99,$5.99,N/A,N/A,N/A
https://www.ebay.com/itm/jl-Bobo-Choses-Cest-Nest-Pas-Waffle-Boutique-Stripe-Halter-Swimsuit-4-5/133179096738?hash=item1f0217bea2:g:0HEAAOSwDKxdhjip,jl Bobo Choses C'est N'est Pas Waffle Boutique Stripe Halter Swimsuit 4 5,$20.00,$4.49,N/A,N/A,N/A
https://www.ebay.com/itm/Old-Navy-Baby-Boy-Swim-Trunks-Size-12-18-Months-EUC/264515420955?hash=item3d9659031b:g:aLoAAOSwnhldYsIZ,Old Navy Baby Boy Swim Trunks Size 12-18 Months EUC,$1.50,$3.85,Brand: Old Navy,Gender: Boys,Size: 12-18 Months
https://www.ebay.com/itm/Florence-Eiseman-Swimsuit-Coverup-With-Hood-Has-Butterfly-On-Front-12M-SF-Hm/202798818272?hash=item2f37c063e0:g:HpwAAOSwFDhdYdz7,Florence Eiseman Swimsuit Coverup With Hood. Has Butterfly On Front. 12M. SF Hm,$5.00,$4.49,Brand: Florence Eiseman,Color: White,Material: Cotton Blend
https://www.ebay.com/itm/Bailey-Blossoms-2T-Swimsuit/264416974114?hash=item3d907ad522:g:9GMAAOSwlbZdQ0gy,Bailey Blossoms 2T Swimsuit,$10.00,Free,Size: 2T,N/A,N/A
https://www.ebay.com/itm/Boys-Swimming-Trunks-18-24-Months-Lot-Of-3-Oshgosh-Old-Navy-Cat-Jack/323947717828?hash=item4b6cc9e4c4:g:sqUAAOSwIvddpIfS,Boys Swimming Trunks 18 & 24 Months Lot Of 3 Oshgosh Old Navy Cat Jack,$1.40,Free,Color: Blue,Size: 18-24 Months,N/A
https://www.ebay.com/itm/Disney-store-Minnie-Mouse-Baby-Girl-Swimsuit-Coverup-Set-18-24-M-3-piece-NEW/352822695397?hash=item5225df15e5:g:t68AAOSwE9pb0Qf6,Disney store Minnie Mouse Baby Girl Swimsuit & Coverup Set 18-24 M (3-piece)NEW!,$28.00,Free,Brand: Disney,Color: Purple,Size: 18-24 Months
https://www.ebay.com/itm/Baby-Girl-Swimsuit-Size-3T-Mermaid-Rainbow-Tutu-NWOT-Never-Been-Worn/163909785712?hash=item2629c8d870:g:uh8AAOSwzp1dqSvY,Baby Girl Swimsuit Size 3T Mermaid Rainbow Tutu NWOT. Never Been Worn.,$2.80,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/OshKosh-Toddler-Girl-Shark-One-Piece-Swim-Suit-Pink-4t/193157502402?hash=item2cf91595c2:g:ZnAAAOSw3zRdf5mw,"OshKosh Toddler Girl Shark One Piece Swim Suit, Pink, 4t",$1.99,$3.82,Color: Pink,Size: 4T,N/A
https://www.ebay.com/itm/NWT-Ralph-Lauren-Boy-Polo-Pony-Swim-Shorts-Swimsuit-Suit-Sz-3-3T-50/123905181573?hash=item1cd9530785:g:1nkAAOSwMKNdelif,NWT Ralph Lauren Boy Polo Pony Swim Shorts Swimsuit Suit Sz 3/3T $50,$24.99,Free,Size: 3T,N/A,N/A
