URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Kickee-Pants-2T-tiger-print-bamboo-t-shirt/184002728763?hash=item2ad76ad33b:g:aosAAOSwIWBdrL7Z,Kickee Pants 2T tiger print bamboo t-shirt ,$11.00,$3.78,N/A,N/A,N/A
https://www.ebay.com/itm/14-Pairs-Girls-Toddler-Potty-Training-Pants-Underwear-By-Green-Sprouts-2t-3t/143427312784?hash=item2164ef1c90:g:7NcAAOSwSRtdudmN,14 Pairs Girls Toddler Potty Training Pants Underwear By Green Sprouts 2t & 3t,$8.50,$6.99,Color: Pink,Gender: Girls,Size: 2T
https://www.ebay.com/p/849113056?iid=303336331144&rt=nc,Paw Patrol Toddler Boys Size 2T 3T Underwear 12 Cotton Briefs Nickelodeon NIP,$10.01,Free,Brand: Nickelodeon,Color: Multicolor,Gender: Boys
https://www.ebay.com/itm/Lot-Of-10-boys-Underwear-briefs-Size-4T/183990454080?hash=item2ad6af8740:g:d7cAAOSw54Ndn5vG,Lot Of 10 boys Underwear briefs Size 4T ,$6.00,$5.35,Size: 4T,N/A,N/A
https://www.ebay.com/p/1700939648?iid=303327134590&rt=nc,Disney Princess Cotton 7 Panty Pack Underwear Toddler Girls 2T/3T Colorful Print,$5.00,Free,Brand: Disney,Material: 100% Cotton,N/A
https://www.ebay.com/itm/Hanna-Andersson-Organic-Unders-Training-Pants-Small-100-110-4-5-Dinosaurs/333365093469?hash=item4d9e1ba45d:g:kesAAOSwHuxdnyJS,Hanna Andersson Organic Unders Training Pants Small 100/110 (4/5) Dinosaurs,$9.99,Free,N/A,N/A,N/A
https://www.ebay.com/itm/Lot-Of-20-Girls-Panties-Underwear-Size-3T-4T/183999049579?hash=item2ad732af6b:g:n5EAAOSwwlVdn5pE,Lot Of 20 Girls Panties Underwear Size 3T 4T ,$5.50,$5.35,N/A,N/A,N/A
https://www.ebay.com/p/1700042543?iid=312796867574&rt=nc,Toy Story 4 Disney Pixar Underwear Cotton 7 Briefs Toddler Boys Size 4T New NIP,$11.00,Free,Brand: Disney,Material: 100% Cotton,Size: 4T
https://www.ebay.com/itm/7-Toddler-Boys-Training-Underwear-Size-3t/184011442531?hash=item2ad7efc963:g:uP4AAOSw5eNdtkCx,(7) Toddler Boys Training Underwear Size 3t,$4.50,$5.00,Gender: Boys,Size: 3T,N/A
https://www.ebay.com/itm/Farm-Boy-3-Pack-Boys-Underwear-Deer-And-Camo-Camoflauge-Infant-Size-2T-NIP/372816946089?hash=item56cd9f23a9:g:j-UAAOSwgjFZsdXw,Farm Boy 3-Pack Boys Underwear Deer And Camo Camoflauge Infant Size 2T NIP,$0.99,$3.95,N/A,N/A,N/A
https://www.ebay.com/p/1200212398?iid=303314323296&rt=nc,Toy Story 4 Disney Pixar Underwear Cotton 7 Briefs Toddler Boys Size 2T/3T NIP,$9.50,Free,Brand: Disney,Size: 2T,N/A
https://www.ebay.com/itm/Boys-2T-Character-Underwear-Briefs-Lot-Of-25-Sesame-Street-Cars-PJ-Masks/193149868937?hash=item2cf8a11b89:g:SU8AAOSwlFJdfVbG,"Boys 2T Character Underwear Briefs Lot Of 25 Sesame Street, Cars, PJ Masks",$11.00,$8.30,Brand: Sesame Street,Size: 2T,Theme: Superheroes
https://www.ebay.com/itm/NEW-Nickelodeon-PAW-PATROL-BOYS-BRIEFS-UNDERWEAR-2t-3t-6-PIECES-100-COTTON/174067482346?hash=item28873afeea:g:zBgAAOSwL0Ndf9O~,NEW Nickelodeon PAW PATROL BOYS BRIEFS UNDERWEAR 2t-3t 6 PIECES 100% COTTON,$6.99,$4.49,N/A,N/A,N/A
