URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Baby-Excersaucer-Toy-Mirror-Replacement-Part/153720085803?hash=item23ca6e5d2b:g:UioAAOSwMudbjKV6,Baby  Excersaucer  Toy Mirror Replacement Part,$3.99,$5.66,Age: Infant,N/A,N/A
https://www.ebay.com/itm/Evenflo-Exersaucer-Lizard-Replacement-Triple-Fun-Life-in-the-Amazon-Jungle/293313514797?hash=item444ad90d2d:g:YKwAAOSwk5FdwH9n,Evenflo Exersaucer Lizard Replacement Triple Fun Life in the Amazon Jungle,$15.50,$4.49,Brand: Evenflo,Color: Multicolor,Age: Infant
https://www.ebay.com/itm/Evenflo-Life-in-the-Amazon-Exersaucer-Dragonfly-Toy-Replacement-Part/143391401713?hash=item2162cb26f1:g:zIMAAOSw50Bdh-Gr,Evenflo Life in the Amazon Exersaucer Dragonfly Toy Replacement Part,$5.10,$4.44,Brand: Evenflo,Color: Purple,Age: Infant
https://www.ebay.com/itm/Baby-Einstein-Discover-Exersaucer-Animal-Photo-Book-Toy-Replacement-Part/133180404324?hash=item1f022bb264:g:NCYAAOSwmexdh-pE,Baby Einstein Discover Exersaucer  Animal Photo Book Toy Replacement Part,$5.30,$7.70,Brand: Baby Einstein,Color: Multicolor,Age: Infant
https://www.ebay.com/itm/Evenflo-Triple-Fun-Jungle-Exersaucer-Animal-Globe-Toy-Replacement-Part/133180403626?hash=item1f022bafaa:g:7V8AAOSwD95dh-nb,Evenflo Triple Fun Jungle Exersaucer Animal Globe Toy  Replacement Part,$8.99,$7.70,Brand: Evenflo,Color: Yellow,Age: Infant
https://www.ebay.com/p/2254626957?iid=113878424459&rt=nc,"Summer Infant 3-Stage Deluxe SuperSeat, Wild Safari",$31.00,Free,Brand: Summer Infant,Age: Infant,N/A
https://www.ebay.com/itm/Evenflo-Exersaucer-Globe-Replacement-Triple-Fun-Life-in-the-Amazon-Jungle/293313523603?hash=item444ad92f93:g:h74AAOSw6NVdwH~i,Evenflo Exersaucer Globe Replacement Triple Fun Life in the Amazon Jungle,$5.50,$3.74,Brand: Evenflo,Color: Multicolor,Age: Infant
https://www.ebay.com/itm/bright-starts-replacement-parts-balls/333347644441?hash=item4d9d116419:g:JrUAAOSwNtldlDDN,bright starts replacement parts balls,$6.00,$6.00,Brand: Bright Starts,N/A,N/A
https://www.ebay.com/p/22031750717?iid=223695323536&rt=nc,Baby Einstein Neptune's Ocean Discovery Jumper Toy,$61.00,$7.85,Brand: Baby Einstein,Color: Blue,Age: Infant
https://www.ebay.com/itm/Evenflo-Triple-Fun-Jungle-Exersaucer-Spinning-Parrot-Toy-Replacement-Part/133180362045?hash=item1f022b0d3d:g:EDoAAOSwTF9dh93v,Evenflo Triple Fun Jungle Exersaucer Spinning Parrot Toy  Replacement Part,$6.90,$7.70,Brand: Evenflo,Color: Brown,Age: Infant
https://www.ebay.com/itm/Bright-Starts-Exersaucer-EUC/143404821197?hash=item216397eacd:g:a2oAAOSw--hdaalm,Bright Starts Exersaucer  EUC,$10.00,$15.00,Brand: Bright Starts,N/A,N/A
https://www.ebay.com/itm/Evenflo-Life-in-the-Amazon-Exersaucer-Dragonfly-Toy-Replacement-Part/143404332533?hash=item21639075f5:g:zIMAAOSw50Bdh-Gr,Evenflo Life in the Amazon Exersaucer Dragonfly Toy Replacement Part,$6.50,$4.44,Brand: Evenflo,Color: Blue,Age: Infant
https://www.ebay.com/itm/EVENFLO-EXERSAUCER-ACTIVITY-FISH-POND-SPINNING-FISH-TOY-REPLACEMENT/133227997035?hash=item1f0501e76b:g:J~UAAOSwIWBdmh7B,EVENFLO EXERSAUCER ACTIVITY FISH POND SPINNING FISH TOY REPLACEMENT,$4.90,$5.24,Brand: Evenflo,N/A,N/A
https://www.ebay.com/itm/Bright-Starts-Exersaucer-EUC/143369157905?hash=item216177bd11:g:a2oAAOSw--hdaalm,Bright Starts Exersaucer  EUC,$15.50,$15.00,Brand: Bright Starts,N/A,N/A
https://www.ebay.com/itm/Evenflo-Triple-Fun-Jungle-Exersaucer-Seat-Cover-Replacement-Part/143431196802?hash=item21652a6082:g:D~kAAOSwsy5dmiEX,Evenflo Triple Fun Jungle Exersaucer Seat Cover Replacement Part,$8.50,$4.44,Brand: Evenflo,Color: Blue,Age: Infant
https://www.ebay.com/itm/Replacement-Fabric-Seat-for-Evenflo-Triple-Fun-Exersaucer-Jungle-VGUC/193194168796?hash=item2cfb4511dc:g:JbUAAOSwRBFdwXoo,Replacement Fabric Seat for Evenflo Triple Fun Exersaucer Jungle VGUC,$9.99,$4.53,Brand: Evenflo,Color: Blue,Age: Infant
https://www.ebay.com/itm/fisher-price-activity-table-sit-or-stand-used/133187722651?hash=item1f029b5d9b:g:X9EAAOSwoGVdkfnB,fisher price activity table sit or stand used ,$10.00,$7.00,Brand: Fisher-Price,Age: Infant,N/A
https://www.ebay.com/p/21027542833?iid=202816230584&rt=nc,"Evenflo ExerSaucer Activity Center, Mega Splash NEW",$52.91,Free,Brand: Evenflo,Color: Blue,Age: Infant
https://www.ebay.com/itm/Exersaucer-Replacement-6-X-2-5-Blue-Spring/133147308695?hash=item1f0032b297:g:6h4AAOSwUvldGNRN,"Exersaucer Replacement 6"" X 2.5” Blue Spring",$2.30,$3.70,N/A,N/A,N/A
https://www.ebay.com/itm/Evenflo-Life-in-the-Amazon-Exersaucer-Blue-Lizard-Light-Up-Toy-Replacement-Part/143391429880?hash=item2162cb94f8:g:iNUAAOSwRn9dh-wd,Evenflo Life in the Amazon Exersaucer Blue Lizard Light Up Toy Replacement Part,$5.00,$5.78,Brand: Evenflo,Color: Brown,Age: Infant
https://www.ebay.com/itm/6-Spring-Evenflo-Exersaucer-Replacement-Part-Triple-Fun-Jungle/283583972734?hash=item4206ec057e:g:OLIAAOSwUPxc~JVb,"6"" Spring Evenflo Exersaucer Replacement Part Triple Fun Jungle",$4.99,$3.70,Brand: Evenflo,Color: Silver,Age: Infant
https://www.ebay.com/itm/Mickey-Mouse-Helping-Hands-Feeding-And-Activity-Seat/274017951385?hash=item3fccbe1e99:g:-zoAAOSw6CxdaaMn,Mickey Mouse Helping Hands Feeding And Activity Seat,$14.99,$12.30,N/A,N/A,N/A
https://www.ebay.com/p/2199518304?iid=392397695500&rt=nc,Bright Starts Around We Go 3-in-1 Activity Center Accessories,$4.99,$4.95,Brand: Bright Starts,Age: Infant,N/A
https://www.ebay.com/itm/Mamas-Papas-Baby-Snug-Activity-Tray-Infant-Positioning-Seat/123943621384?hash=item1cdb9d9308:m:mGOflGqKw8zfzon1ex0MCPw&var=424731108141,Mamas & Papas Baby Snug & Activity Tray Infant Positioning Seat ,$59.99,Free,Brand: mamas & papas,Color: Blue,Age: Infant
https://www.ebay.com/itm/Nutramigen-12-6oz-7-cans/123964092990?hash=item1cdcd5f23e:g:8CIAAOSww5ZdwMXz,Nutramigen 12.6oz 7 cans,$0.99,$5.00,Color: Multicolor,N/A,N/A
https://www.ebay.com/itm/Evenflo-Life-in-the-Amazon-Exersaucer-Musical-Alligator-Toy-Replacement-Part/173776785950?hash=item2875e7521e:g:N0IAAOSwzSdbzJrp,Evenflo Life in the Amazon Exersaucer Musical Alligator Toy Replacement Part,$18.99,Free,Brand: Evenflo,Color: Green,Age: Infant
https://www.ebay.com/itm/Evenflo-Triple-Fun-Jungle-Exersaucer-Metal-Spring-Replacement-Part/173997198749?hash=item28830a8d9d:g:Z9EAAOSwsW9YzY9V,Evenflo Triple Fun Jungle Exersaucer Metal Spring  Replacement Part,$7.99,Free,Brand: Evenflo,Color: Silver,Age: Infant
https://www.ebay.com/itm/Evenflo-Exersaucer-Replacement-Part-Toy-Triple-Fun-Duck-Pond-123-Mirror-Beads/123909095188?hash=item1cd98ebf14:g:QAMAAOSwFxhdgBGc,Evenflo Exersaucer Replacement Part Toy Triple Fun Duck Pond 123 Mirror Beads,$14.99,$9.85,Brand: Evenflo,Color: Yellow,Age: Infant
https://www.ebay.com/itm/Genio-baby/123911783610?hash=item1cd9b7c4ba:g:5SwAAOSwL8BdTC3t,Genio baby,$0.99,$3.82,Color: Multicolor,N/A,N/A
https://www.ebay.com/p/10026658705?iid=352845318165&rt=nc,Bright Starts Around We Go 3-in-1 Activity Center Zippity Zoo,$87.99,Free,Brand: Bright Starts,Color: Red,Age: Infant
