URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Baby-Delight-Snuggle-Nest-Harmony-Infant-Sleeper-Baby-Bed-with-Incline-Wedge/383215325544?hash=item593969d168:g:P3sAAOSwV51dY8qH,Baby Delight Snuggle Nest Harmony Infant Sleeper/Baby Bed with Incline Wedge ...,$16.50,Free,Brand: Baby Delight,Features: Portable,Color: Silver
https://www.ebay.com/p/24030513800?iid=163916323498&rt=nc,Baby Delight Beside Me Dreamer Bassinet & Bedside Sleeper,$117.50,Free,Brand: Baby Delight,Features: Height Adjustment,Color: Gray
https://www.ebay.com/itm/Baby-Delight-Snuggle-Nest-Harmony-Infant-Sleeper-Incline-Wedge-Garden-Dreams/113956759983?hash=item1a885a29af:g:u3cAAOSwTphdxdn4,Baby Delight Snuggle Nest Harmony Infant Sleeper Incline Wedge Garden Dreams,$11.10,$9.45,Brand: Baby Delight,Features: Portable,Color: Pink
https://www.ebay.com/itm/NEW-Baby-Delight-SNUGGLE-NEST-Surround-XL-Harmony-Infant-Sleeper-Grey-Clouds/264498782483?hash=item3d955b2113:g:VwkAAOSwY7lczIAe,NEW Baby Delight SNUGGLE NEST Surround XL Harmony Infant Sleeper  Grey Clouds!,$12.00,$14.00,Brand: Baby Delight,Features: Portable,Color: Gray
https://www.ebay.com/itm/SwaddleMe-By-Your-Side-Sleeper-White/312812782414?hash=item48d518434e:g:Ig8AAOSww31dm4H2,SwaddleMe By Your Side Sleeper White,$9.00,$27.80,Brand: SwaddleMe,Color: White,N/A
https://www.ebay.com/itm/Arms-reach-co-sleeper-bassinet-mini-Leg-extensions/312798045997?hash=item48d437672d:g:E48AAOSwmexdnjJV,Arm's reach co sleeper bassinet mini + Leg extensions,$59.99,$32.56,Brand: Arm's Reach,Features: Height Adjustment,Color: Brown
https://www.ebay.com/p/737551434?iid=143427338351&rt=nc,Bedside Baby/Infant Sleeper Bassinet SwaddleMe By Your Bed Inclined Adjustable,$67.00,$4.49,Brand: SwaddleMe,Features: Portable,Type: Convertible Bedside Sleeper
https://www.ebay.com/c/5021770993,Baby Delight Snuggle Nest Harmony Portable snuggle  NEW,$37.00,Free,Brand: Baby Delight,Features: Portable,Color: Silver
https://www.ebay.com/itm/SwaddleMe-By-Your-Bed-Sleeper/184022608765?hash=item2ad89a2b7d:g:SokAAOSwo-ldN2jF,SwaddleMe By Your Bed Sleeper,$34.99,$22.07,Brand: SwaddleMe,N/A,N/A
https://www.ebay.com/itm/SwaddleMe-By-Your-Bed-Sleeper/183956131354?hash=item2ad4a3ce1a:g:SokAAOSwo-ldN2jF,SwaddleMe By Your Bed Sleeper,$51.00,$22.07,Brand: SwaddleMe,N/A,N/A
https://www.ebay.com/itm/Summer-Infant-Rest-Assured-Sleeper-Baby-Infant-Travel-Bed-Fun-Toybar/143429422595?hash=item21650f4e03:g:q0sAAOSwhe9dvKO3,Summer Infant Rest Assured Sleeper Baby Infant Travel Bed Fun Toybar,$8.90,$9.50,Brand: Summer Infant,Features: Portable,Color: Beige
https://www.ebay.com/itm/BABY-DELIGHT-SNUGGLE-NEST-GREEN-PORTABLE-INFANT-SLEEPER/254383395042?hash=item3b3a6e90e2:g:7T4AAOSwCX5dk6zn,BABY DELIGHT SNUGGLE NEST -- GREEN -- PORTABLE INFANT SLEEPER,$10.50,$11.10,Brand: Baby Delight,Features: Portable,Color: Green
https://www.ebay.com/p/21027050740?iid=323917938652&rt=nc,SwaddleMe By Your Side Sleeper,$8.80,$27.80,Brand: SwaddleMe,Color: Gray,N/A
https://www.ebay.com/itm/Arms-Reach-Clear-Vue-Co-Sleeper-Bassinet/264507464365?hash=item3d95df9aad:g:r6QAAOSwCHhdpdgC,Arms Reach Clear Vue Co Sleeper Bassinet ,$66.00,$20.17,Brand: Arm's Reach,Color: Clear,N/A
https://www.ebay.com/itm/Doc-A-Tot-Deluxe/183977461836?hash=item2ad5e9484c:g:CYIAAOSwZIVdkmPS,Doc-A-Tot Deluxe,$93.00,$4.39,Brand: DockATot,Color: White,N/A
https://www.ebay.com/itm/The-Mini-Classic-Co-Sleeper-Bedside-Bassinet-by-Arms-Reach/174070629106?hash=item28876b02f2:g:HnEAAOSw5uddmR3S,The Mini Classic Co-Sleeper Bedside Bassinet by Arms Reach,$49.99,$34.09,Brand: Arm's Reach,N/A,N/A
https://www.ebay.com/itm/Baby-Delight-Snuggle-Nest-Surround-XL-Portable-Co-sleeper-New-open-box-Gray/323893583518?epid=0&hash=item4b698fde9e:g:4UAAAOSwAbpdYcS9,Baby Delight Snuggle Nest Surround XL Portable Co-sleeper New (open box) Gray,$20.50,$10.40,Brand: Baby Delight,Features: Portable,Color: Gray
https://www.ebay.com/p/2255705427?iid=303330893531&rt=nc,Arm's Reach Mini Ezee 2 IN 1 Baby Co-Sleeper Bedside Bassinet Natural NEW,$51.00,$9.00,Brand: Arm's Reach,Color: Beige,N/A
https://www.ebay.com/itm/Baby-Delight-Snuggle-Nest-Traveler-Portable-Infant-Sleeper-XL-NIB/312774541887?hash=item48d2d0c23f:g:U5gAAOSwbWhdYqDb,Baby Delight Snuggle Nest Traveler Portable Infant Sleeper XL NIB,$23.70,$11.50,Brand: Baby Delight,Features: Portable,N/A
https://www.ebay.com/itm/Arm-s-Reach-Mini-Co-sleeper-Bassinet-Natural/183995508446?hash=item2ad6fca6de:g:x9QAAOSwE4hdkqM1,Arm’s Reach Mini Co-sleeper Bassinet - Natural,$23.00,N/A,Brand: Arm's Reach,N/A,N/A
https://www.ebay.com/itm/Dockatot-deluxe-cover-Chevron-pattern/323953456557?hash=item4b6d2175ad:g:o1cAAOSwTvNdq~IF,Dockatot deluxe cover Chevron pattern,$38.00,$7.00,Brand: DockATot,Color: White,N/A
https://www.ebay.com/itm/Baby-Delight-Snuggle-Nest-Harmony-Portable-Infant-Sleeper-white-tan-Preowned/352803281324?hash=item5224b6d9ac:g:xYwAAOSwQSJdi~NZ,Baby Delight Snuggle Nest Harmony Portable Infant Sleeper  white & tan Preowned,$9.10,$10.55,Brand: Baby Delight,Features: Portable,Color: Beige
https://www.ebay.com/p/691396635?iid=233336812835&rt=nc,Baby Delight Snuggle Nest Harmony Portable snuggle surround XL EUC,$13.00,$10.55,Brand: Baby Delight,Features: Portable,Color: Silver
https://www.ebay.com/itm/New-Summer-Infant-Bed-Side-Sleeper/153604224569?hash=item23c3867639:g:rPAAAOSwKeldN36w,New Summer Infant Bed Side Sleeper,$30.00,$11.10,Brand: Summer Infant,Features: Height Adjustment,Color: Beige
https://www.ebay.com/p/8024309876?iid=283595898671&rt=nc,Baby Delight Beside Me Dreamer Bassinet & Bedside Sleeper Height Adjustable,$114.21,Free,Brand: Baby Delight,Features: Height Adjustment,Color: Gray
https://www.ebay.com/itm/Portable-Baby-Crib-Bassinet-Folding-Travel-Nursery-Infant-Cradle-Sleeping-Bed/112951196029?hash=item1a4c6a797d:m:mIPOJQk-1Yc_rWmjGsZll-w&var=413331941547,Portable Baby Crib Bassinet Folding Travel Nursery Infant Cradle Sleeping Bed,$14.16,Free,Brand: Unbranded,Features: Portable,Color: Gray
https://www.ebay.com/itm/SwaddleMe-By-Your-Side-Sleeper-White/254410927908?hash=item3b3c12af24:g:ZFwAAOSwGfJdiPxk,SwaddleMe By Your Side Sleeper White,$8.50,$14.95,Brand: SwaddleMe,Color: White,N/A
https://www.ebay.com/itm/SwaddleMe-By-Your-Side-Sleeper-Deluxe-100-Polyester-Soft-Comfortable-Fabrics/163849714594?hash=item2626343ba2:g:NlcAAOSwUGddYctE,"SwaddleMe By Your Side Sleeper, Deluxe, 100% Polyester,Soft, Comfortable Fabrics",$4.99,$14.99,Brand: SwaddleMe,Features: Portable,N/A
https://www.ebay.com/p/2292427204?iid=383089473066&rt=nc,Baby Delight Snuggle Nest Afterglow Infant Sleeper/Baby Bed | Sweet Dream Cat...,$20.50,Free,Brand: Baby Delight,Features: Portable,Type: Travel Bedside Sleeper
https://www.ebay.com/p/2180898148?iid=113886195655&rt=nc,DockATot® Deluxe+ Cover in Pristine White (Dock Sold Separately) Dock A Tot,$51.00,$15.00,Brand: DockATot,Features: Portable,Color: White
https://www.ebay.com/p/13025169868?iid=133184402930&rt=nc,Baby Delight Snuggle Nest Harmony Infant Sleeper Waterproof Mattress Travel,$39.99,Free,Brand: Baby Delight,Features: Portable,Color: Gray
https://www.ebay.com/itm/DockATot-10201-Grand-Dock-White-With-Toy-Arch-And-Toy-Set/372818098109?hash=item56cdb0b7bd:g:jUYAAOSwEgRdtR7c,DockATot 10201 Grand Dock - White With Toy Arch And Toy Set,$95.00,$15.00,Brand: DockATot,Features: Portable,Color: White
https://www.ebay.com/itm/Baby-Delight-Snuggle-Nest-Bed-Sleeper/274000145491?hash=item3fcbae6c53:g:6DAAAOSwYr9dbCI2,Baby Delight Snuggle Nest/Bed Sleeper,$8.00,$12.30,Brand: Baby Delight,Features: Breathable Mesh Side,Color: Gray
https://www.ebay.com/itm/Baby-Delight-Snuggle-Nest-Traveler-Portable-Infant-Sleeper-XL-NIB/113848769173?hash=item1a81ea5a95:g:BEkAAOSwBh9dO2oe,Baby Delight Snuggle Nest Traveler Portable Infant Sleeper XL NIB,$39.99,$12.30,Brand: Baby Delight,Features: Portable,N/A
https://www.ebay.com/itm/Dockatot-Deluxe-Flower-Print/264457054120?hash=item3d92de67a8:g:h0AAAOSwIKddc9Yf,Dockatot Deluxe Flower Print,$75.00,$10.50,Brand: DockATot,N/A,N/A
https://www.ebay.com/p/920237837?iid=153663264469&rt=nc,Summer Infant SwaddleMe By Your Side Comfort Sleeper,$9.80,$27.80,Brand: Summer Infant,Features: Portable,Color: White
https://www.ebay.com/itm/DocATot-Deluxe-with-carrying-case-and-extra-cover/223649563460?hash=item34128d8344:g:~18AAOSw4x5dbo~w,DocATot Deluxe+ with carrying case and extra cover,$102.50,$15.00,Brand: DockATot,N/A,N/A
https://www.ebay.com/itm/Arms-Reach-Clear-Vue-Co-Sleeper-Bassinet-Cocoa-with-Mattress-Pad-and-Sheets/264528995081?hash=item3d97282309:g:5DAAAOSwQG9dvurw,"Arms Reach Clear Vue Co Sleeper Bassinet, Cocoa, with Mattress Pad and Sheets ",$39.99,$20.17,Brand: Arm's Reach,Features: Breathable Mesh Side,Color: Brown
https://www.ebay.com/p/555330697?iid=133110538180&rt=nc,Baby Delight Snuggle Nest Traveler Portable Infant Sleeper Grey Diamond Canopy,$49.99,Free,Brand: Baby Delight,Features: Portable,Color: Gray
https://www.ebay.com/itm/Dockatot-deluxe-cover-Plain-Baby-Pink-Used-Once/264510104842?hash=item3d9607e50a:g:LagAAOSwM0hdshsl,Dockatot deluxe cover Plain Baby Pink Used Once,$36.00,$5.50,Brand: DockATot,Color: Pink,N/A
https://www.ebay.com/itm/NUNA-SENA-AIRE-PLAYARD-Safari-Color/303331998562?hash=item469ffefb62:g:MqgAAOSwiB9doya0,NUNA SENA AIRE PLAYARD -Safari Color,$131.50,$31.02,Features: Portable,Color: Gray,N/A
https://www.ebay.com/itm/Baby-Delight-Beside-Me-Dreamer-2-in-1-Bassinet-Bedside-Sleeper/352820944469?hash=item5225c45e55:g:FCUAAOSwMH9dXdDF,Baby Delight Beside Me Dreamer 2 in 1 Bassinet Bedside Sleeper,$191.99,Free,Brand: Baby Delight,Color: Gray,N/A
https://www.ebay.com/p/15011369255?iid=133198967474&rt=nc,"Baby Delight BD3004 Snuggle Nest Harmony Infant Sleeper with Incline Wedge, Pink",$15.00,$7.85,Brand: Baby Delight,Features: Portable,Color: Pink
https://www.ebay.com/itm/DockATot-Grand-Spare-Cover-in-Strawberry-Cream-Dock-Sold-Separately/283646498234?hash=item420aa615ba:g:KD8AAOSwePpdqL~F,DockATot® Grand Spare Cover in Strawberry Cream (Dock Sold Separately),$23.50,Free,Brand: DockATot,N/A,N/A
https://www.ebay.com/p/20011421768?iid=383064307892&rt=nc,"SwaddleMe by Your Side Sleeper, Deluxe",$34.36,Free,Brand: SwaddleMe,Color: Gray,N/A
https://www.ebay.com/itm/Baby-Delight-SNUGGLE-NEST-Infant-SLEEPER-Light-Beige-Geometric-Print-W-Wedge/323928057421?hash=item4b6b9de64d:g:jIwAAOSwFRtdYttB,Baby Delight SNUGGLE NEST Infant SLEEPER Light Beige Geometric Print W/ Wedge,$7.50,$31.05,Brand: Baby Delight,Features: Portable,Color: Beige
https://www.ebay.com/p/16030743273?iid=254305156439&rt=nc,Baby Delight Snuggle Nest Adventure Portable Infant Sleeper | Travel Bed & Bassi,$104.55,Free,Brand: Baby Delight,Features: Portable,Color: Gray
https://www.ebay.com/itm/Arms-Reach-Co-Sleeper-Bassinet-w-mattress-pad-and-strap/123885702823?hash=item1cd829cea7:g:DZEAAOSwAQhdT11Y,Arm's Reach Co-Sleeper Bassinet w/ mattress pad and strap,$70.00,$12.00,Brand: Arm's Reach,Color: White,N/A
https://www.ebay.com/p/21027050740?iid=293149369265&rt=nc,SwaddleMe By Your Side Sleeper,$30.36,Free,Brand: SwaddleMe,Color: Gray,N/A
https://www.ebay.com/itm/Baby-Delight-Snuggle-Nest-Harmony-Infant-Sleeper-Baby-Bed-with-Incline/401937996413?hash=item5d955f1a7d:g:tz8AAOSwjONdtzH5,Baby Delight Snuggle Nest Harmony Infant Sleeper/Baby Bed with Incline,$33.71,Free,Brand: Baby Delight,Features: Portable,Color: Silver
https://www.ebay.com/p/564797684?iid=293208451835&rt=nc,DockATot Deluxe+ The All in One Baby Lounger - Pristine White,$40.00,$22.70,Brand: DockATot,Features: Portable,Color: White
https://www.ebay.com/itm/Dockatot-deluxe-cover-Chevron-pattern-Used-Once/264510103710?hash=item3d9607e09e:g:nJsAAOSw1Rpdshqk,Dockatot deluxe cover Chevron pattern Used Once,$24.99,$5.50,Brand: DockATot,Color: Multicolor,N/A
https://www.ebay.com/itm/Nuna-Sena-Aire-Mini-Playyard-In-Graphite/113858117323?hash=item1a8278fecb:g:a1kAAOSw~QNdWb1l,Nuna Sena Aire Mini Playyard In Graphite,$119.95,$52.60,Color: Gray,N/A,N/A
https://www.ebay.com/p/15011369255?iid=264468397742&rt=nc,Baby Delight Snuggle Nest Harmony Infant Sleeper Baby Bed w Incline Wedge - Pink,$29.99,Free,Brand: Baby Delight,Features: Portable,Color: Pink
https://www.ebay.com/itm/Baby-Delight-Beside-Me-Dreamer-2-in-1-Bassinet-Bedside-Sleeper-Adjustable-Crib/233395458754?epid=0&hash=item36577412c2:g:Y5cAAOSw7cldMkD-,Baby Delight Beside Me Dreamer 2 in 1 Bassinet Bedside Sleeper Adjustable Crib,$100.00,$38.96,Brand: Baby Delight,Color: Gray,N/A
https://www.ebay.com/p/2255705427?iid=202789371084&rt=nc,Arm's Reach Mini Ezee 2 IN 1 Baby Co-Sleeper Bedside Bassinet Natural NEW,$119.98,Free,Brand: Arm's Reach,Color: Beige,N/A
https://www.ebay.com/itm/SWADDLEME-BY-YOUR-BED-BEDSIDE-SLEEPER-BY-SUMMER-INFANT-GRAY-BLUE/401907560438?hash=item5d938eaff6:g:9ZkAAOSw3~VdgGAN,SWADDLEME® BY YOUR BED™ BEDSIDE SLEEPER BY SUMMER INFANT® - GRAY/BLUE,$70.00,Free,Brand: SwaddleMe,Color: Gray,N/A
https://www.ebay.com/p/22026515131?iid=163891016009&rt=nc,SnuggleNest Harmony/Surround XL Portable Infant Sleeper,$8.10,$25.45,Brand: The First Years,Features: Portable,Color: White
https://www.ebay.com/itm/Baby-Delight-Snuggle-Nest-Traveler-Portable-Infant-Sleeper-XL-NIB/113857377899?hash=item1a826db66b:g:BEkAAOSwBh9dO2oe,Baby Delight Snuggle Nest Traveler Portable Infant Sleeper XL NIB,$39.99,$8.00,Brand: Baby Delight,Features: Portable,N/A
https://www.ebay.com/itm/Milliard-Side-Sleeper-Bedside-Bassinet/303306782341?hash=item469e7e3685:g:PT8AAOSwGrZdcpQO,Milliard Side Sleeper Bedside Bassinet ,$120.00,Free,N/A,N/A,N/A
https://www.ebay.com/itm/Baby-Delight-Snuggle-Nest-Surround-XL/183919318972?hash=item2ad27217bc:g:bVUAAOSwTFRdE~kK,Baby Delight Snuggle Nest Surround XL ,$5.50,$14.80,Brand: Baby Delight,N/A,N/A
