URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/p/15026727155?iid=383164247873&rt=nc,4moms mamaRoo 4 infant seat – Classic Black (New in Retail Box),$157.49,Free,Brand: 4moms,Color: Black,Age: Infant
https://www.ebay.com/itm/FISHER-PRICE-Baby-Seat-SIT-ME-UP-Floor-Seat-Chair/133213205230?hash=item1f042032ee:g:O88AAOSwDKxdqgDN,FISHER-PRICE Baby Seat SIT-ME-UP Floor Seat Chair,$7.50,$15.20,Brand: Fisher-Price,N/A,N/A
https://www.ebay.com/c/3021538560,Fisher-Price Infant-to-Toddler Rocker - Geo Diamonds,$25.49,Free,Brand: Fisher-Price,Age: Infant,N/A
https://www.ebay.com/itm/Baby-Bouncer-Balance-Soft-Rocking-Chair-Automatic-Swing-Bring-Fun-Experience/133155427966?hash=item1f00ae967e:g:mmsAAOSwgCxdaNwr,"Baby Bouncer Balance Soft Rocking Chair,Automatic Swing Bring Fun Experience,",$42.80,Free,Features: Portable,Age: Infant,N/A
https://www.ebay.com/itm/Infant-To-Toddler-Rocker-Bouncer-Seat-Baby-Chair-Sleeper-Swing-Toy-Portable/223657129977?hash=item341300f7f9:g:LxgAAOSwghtddhjI,Infant To Toddler Rocker Bouncer Seat Baby Chair Sleeper Swing Toy Portable,$32.89,Free,Brand: Unbranded,Features: Portable,Age: Infant
https://www.ebay.com/itm/Baby-Bjorn-Googly-Eyes-Toy-Bar-for-Bouncer-Retail-59/193204681864?hash=item2cfbe57c88:g:6WwAAOSwY-NdyhFk,New ListingBaby Bjorn Googly Eyes Toy Bar for Bouncer (Retail $59),$29.99,$10.00,Features: Toy Bar,Color: Multicolor,Age: Infant
https://www.ebay.com/p/12026711014?iid=323969487202&rt=nc,Fisher-Price Sit-me-up Baby Floor Seat Multicolor (BFB07),$27.99,$12.60,Brand: Fisher-Price,Color: Multicolor,Age: Infant
https://www.ebay.com/c/17028907927,Fisher-Price Sit-Me-Up Floor Seat,$33.59,Free,Brand: Fisher-Price,Color: Gray,N/A
https://www.ebay.com/p/2254435151?iid=352731802247&rt=nc,Fisher-Price Infant-to-Toddler Rocker - Geo Diamonds  ,$26.10,Free,Brand: Fisher-Price,Features: Portable,Color: White
https://www.ebay.com/p/836313896?iid=392353227272&rt=nc,Maclaren Baby Rocker - Orchid Smoke / Silver - For Babies up to 20lbs,$27.20,Free,Brand: Maclaren,Features: Portable,Color: Silver
https://www.ebay.com/itm/Fisher-Price-Infant-to-Toddler-Rocker-Floral-Confetti/401919204709?hash=item5d94405d65:g:v3cAAOSwSA5doW0m,Fisher-Price Infant-to-Toddler Rocker - Floral Confetti,$27.49,Free,Brand: Fisher-Price,Age: Infant,N/A
https://www.ebay.com/itm/baby-bjorn-bouncer-googly-eye-attachment-toy/133218582439?hash=item1f04723fa7:g:gJ4AAOSwhY1dtaLy,baby bjorn bouncer googly eye attachment toy ,$20.00,$13.79,Age: Infant,N/A,N/A
https://www.ebay.com/itm/Bright-Starts-Playful-Pinwheels-Bouncer-Red/401916741280?hash=item5d941ac6a0:g:A20AAOSwItddnpOk,"Bright Starts Playful Pinwheels Bouncer, Red",$21.51,Free,Brand: Bright Starts,Color: Red,N/A
