URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/The-First-Years-Car-Seat-Cover-Gray/383236359237?hash=item593aaac445:g:nNQAAOSwjpldaEic,"The First Years Car Seat Cover, Gray",$3.75,$7.65,Brand: The First Years,Color: Gray,Type: Car Seat Cover
https://www.ebay.com/itm/Car-Seat-Protector-Thickest-Padded-Waterproof-Back-Seat-Organizer-Kick-Mat-Cover/173994777494?hash=item2882e59b96:m:m53TGXZJ6CDs0lFuXDn0WTg&var=472788213130,Car Seat Protector Thickest Padded Waterproof Back Seat Organizer Kick Mat Cover,$5.99 to $15.99,Free,Color: Black,Type: Auto Seat Protector,Age: Infant
https://www.ebay.com/itm/KidCo-Huggapod-Infant-Seat-Cushion-Support-Gray/163856509689?hash=item26269beaf9:g:1doAAOSwP-pdd~Un,KidCo Huggapod Infant Seat Cushion Support (Gray),$7.00,$7.85,Color: Gray,Type: Seat Cushion,Age: Infant
https://www.ebay.com/itm/Gold-Bug-Baby-Carrier-Cover/293294188118?hash=item4449b22656:g:9MkAAOSws~pb9zJ6,Gold Bug Baby Carrier Cover,$4.99,$5.66,Brand: Goldbug,Color: Gold,N/A
https://www.ebay.com/itm/4Pcs-Auto-Sun-Shade-Front-Rear-Window-Screen-Cover-Sunshade-Protector-For-Car/293154145296?hash=item4441594410:g:wJ8AAOSwqlBdLZu4,4Pcs Auto Sun Shade Front Rear Window Screen Cover Sunshade Protector For Car,$10.99,Free,Brand: Unbranded,Color: Black,Type: Sun Shade
https://www.ebay.com/itm/Car-Mirror-Back-Seat-Rear-View-Mirror-for-Baby-Infant-Shatterproof-Acrylic-Large/283588224878?hash=item42072ce76e:g:CvAAAOSwPbldXfcw,"Car Mirror Back Seat Rear View Mirror for Baby Infant Shatterproof Acrylic,Large",$7.50,Free,Color: Black,Type: Baby Mirror,Age: Infant
https://www.ebay.com/itm/Carseat-Canopy-Cover-Girl-Pink-Black-And-White/333327227110?hash=item4d9bd9d8e6:g:ioQAAOSw0zBdeXh4,Carseat Canopy Cover Girl Pink Black And White,$8.00,$8.95,Brand: Carseat Canopy,Color: Multicolor,Type: Car Seat Cover
https://www.ebay.com/itm/Zohzo-Double-Baby-Car-Bundle-Car-Seat-Protector-Cover/123927379291?hash=item1cdaa5bd5b:g:pH4AAOSwxEldlhWD,Zohzo Double Baby Car Bundle - Car Seat Protector Cover,$15.28,Free,Type: Seat Protector,N/A,N/A
https://www.ebay.com/p/505276659?iid=122424349685&rt=nc,NEW Car Seat Back Protector Child Kick Mat by Drive Auto Products™ (2-Pack),$17.97,Free,N/A,N/A,N/A
https://www.ebay.com/p/2255477104?iid=323956827418&rt=nc,Britax S840500 Car Seat Travel Cart - Black,$22.10,$18.00,Color: Black,Age: Infant,N/A
