URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Fisher-Price-Woodland-Friends-SpaceSaver-Jumperoo-with-Lights-Sounds/392521019345?hash=item5b64136fd1:g:wvEAAOSwjZFdwo~6,Fisher-Price Woodland Friends SpaceSaver Jumperoo with Lights & Sounds,$44.89,Free,Brand: Unbranded,N/A,N/A
https://www.ebay.com/p/26012069916?iid=392464350405&rt=nc,Baby Jumper 10 Activity Sensory Play Toy Seat Bouncer Infant Exerciser Center,$65.24,Free,Brand: Creative Baby,Color: Green,Type: Activity Center Jumper
https://www.ebay.com/itm/Evenflo-Exersaucer-Door-Jumper/153700672791?hash=item23c9462517:g:6skAAOSwC99drLI6,Evenflo Exersaucer Door Jumper,$11.50,$5.00,Brand: Evenflo,N/A,N/A
https://www.ebay.com/p/2292738373?iid=392506381378&rt=nc,Fisher Price Roarin' Rainforest Colorful Spinning Jumperoo Entertainer | CBV63 ,$70.00,Free,Brand: Fisher-Price,Color: Multicolor,Age: Infant
https://www.ebay.com/itm/Baby-Door-Jumper-Doorway-Bouncer-Swing-Jump-Babies-Infant-Exercise-Jumping-Seat/143360869895?hash=item2160f94607:g:vQsAAOSw3VpdXEzI,Baby Door Jumper Doorway Bouncer Swing Jump Babies Infant Exercise Jumping Seat,$5.00,$8.99,Brand: Evenflo,Type: Doorway Jumper,Age: Infant
https://www.ebay.com/p/2254419243?iid=233382176753&rt=nc,Fisher-Price Laugh Learn Jumperoo Baby Bouncer ,$25.00,$29.00,Brand: Fisher-Price,Type: Activity Center Jumper,Age: Infant
https://www.ebay.com/itm/Fisher-Price-Jumperoo-Animal-Activity-Blue-New-In-Box/163919543649?hash=item262a5dbd61:g:nfEAAOSwHVhdtHXm,"Fisher-Price Jumperoo: Animal Activity, Blue - New In Box",$57.00,$4.49,Brand: Fisher-Price,Color: Blue,N/A
https://www.ebay.com/p/16011373014?iid=283630695455&rt=nc,Skip Hop Explore & More Jumpscape Foldaway Activity Center Baby Jumper White NEW,$50.00,$13.24,Brand: Skip Hop,Color: White,Type: Activity Center Jumper
https://www.ebay.com/itm/baby-toy-FISHER-PRICE-activity-jumper-Safari-animals/254366609292?hash=item3b396e6f8c:g:wWAAAOSw99ddbYC0,baby toy FISHER PRICE activity jumper Safari animals,$33.00,$15.00,Brand: Fisher-Price,N/A,N/A
https://www.ebay.com/itm/Jumper-Bumper-Jungle-Graco-Little-Baby-Bouncer-Doorway-Toy-Door-Jump-Play/333375926260?hash=item4d9ec0eff4:g:PSwAAOSwOxJdqyv2,Jumper Bumper Jungle Graco Little Baby Bouncer Doorway Toy Door Jump Play,$14.60,$9.80,Brand: Graco Baby,Type: Doorway Jumper,N/A
https://www.ebay.com/p/8009622434?iid=392334036849&rt=nc,Baby Bouncer Activity Center Jumper with 360 Degree Rotating Seat Play Toy Bar,$62.33,Free,Brand: Creative Baby,Color: Multicolor,Type: Activity Center Jumper
https://www.ebay.com/p/1385727981?iid=312800532053&rt=nc,"Baby Einstein Activity Jumper Special Edition, Neighborhood Friends",$65.00,Free,Brand: Baby Einstein,Type: Activity Center Jumper,Age: Infant
https://www.ebay.com/p/1524539063?iid=383158997092&rt=nc,"Jolly Jumper Exerciser with Door Clamp, Black",$39.00,$10.40,Brand: Jolly Jumper,Color: Black,Type: Doorway Jumper
https://www.ebay.com/itm/Merry-Muscles-Baby-Exerciser-Red/202778162167?hash=item2f368533f7:g:EBsAAOSwU4xde-~i,Merry Muscles Baby Exerciser - Red,$19.99,Free,Color: Red,N/A,N/A
https://www.ebay.com/itm/Jolly-Jumper-harness-and-Stand-for-Baby-exerciser/113939082485?hash=item1a874c6cf5:g:8T8AAOSwCEFdteJG,Jolly Jumper harness and Stand for Baby exerciser ,$25.40,$31.05,Brand: Jolly Jumper,N/A,N/A
https://www.ebay.com/itm/Baby-Exersaucer-REPLACEMENT-Spinning-Ball-Toy/153618131053?hash=item23c45aa86d:g:wSYAAOSwPeNdO6U6,Baby Exersaucer REPLACEMENT Spinning Ball Toy,$4.99,$4.81,N/A,N/A,N/A
https://www.ebay.com/p/8020022944?iid=312794278965&rt=nc,Bright Starts 2-In-1 Lights N Learn Activity Gym And Saucer,$20.00,$25.00,Brand: Bright Starts,Color: Multicolor,Type: Activity Center Jumper
https://www.ebay.com/itm/Johnny-Jump-Up/113940252400?hash=item1a875e46f0:g:T4YAAOSw9gxdrg5~,Johnny Jump Up,$3.20,$12.60,N/A,N/A,N/A
https://www.ebay.com/itm/Fisher-Price-Rainforest-Jumperoo-Replacement-Part-FROG-PARROT-Leaf-Plush-Toys/143409675193?hash=item2163e1fbb9:g:1ksAAOSwWQVdj6Uk,Fisher Price Rainforest Jumperoo Replacement Part FROG & PARROT Leaf Plush Toys,$15.50,$5.24,Brand: Fisher-Price,Color: Blue,N/A
https://www.ebay.com/itm/Fisher-Price-Rainforest-Jumperoo-Replacement-Part-FROG-PARROT-Leaf-Plush-Toys/143397053365?hash=item21632163b5:g:1ksAAOSwWQVdj6Uk,Fisher Price Rainforest Jumperoo Replacement Part FROG & PARROT Leaf Plush Toys,$19.27,$5.24,Brand: Fisher-Price,Color: Blue,N/A
https://www.ebay.com/itm/BRAND-NEW-IN-BOX-Disney-Baby-Finding-Nemo-Sea-of-Activities-Jumper/264520578988?hash=item3d96a7b7ac:g:A6IAAOSws65dt4z9,**BRAND NEW IN BOX** Disney Baby Finding Nemo Sea of Activities Jumper,$71.00,$19.60,Brand: Disney,Color: Multicolor,Age: Infant
https://www.ebay.com/itm/Exersaucer-Fisherprice/153710431419?hash=item23c9db0cbb:g:-IQAAOSwxIldoJ4f,Exersaucer Fisherprice,$25.00,$10.00,Brand: Fisher-Price,N/A,N/A
https://www.ebay.com/p/18003300871?iid=401792252785&rt=nc,Fisher-Price Rainforest Jumperoo Activity Toy for Toddlers,$91.49,Free,Brand: Fisher-Price,Type: Jumper Walker,Age: Toddler
https://www.ebay.com/itm/Fisher-Price-Rainforest-Jumperoo-Red-Frog-Seat-Cover-Replacement-Part/133159017577?hash=item1f00e55c69:g:qIYAAOSwpWddbW2V,Fisher Price Rainforest Jumperoo Red Frog Seat Cover Replacement Part,$11.00,$4.44,Brand: Fisher-Price,Color: Yellow,Age: Infant
https://www.ebay.com/itm/Baby-Einstein-Musical-Motion-Activiy-Jumper-Blue/303285421220?hash=item469d3844a4:g:FJsAAOSwy2pdazu5,"Baby Einstein Musical Motion Activiy Jumper,Blue",$26.00,$10.50,Brand: Baby Einstein,Color: Blue,N/A
