URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/p/16025029943?iid=254388437463&rt=nc,Baby Safety Gate White Stair Security Door Infant Toddler Pet Fence Mental,$27.00,Free,Type: Stairway Gate,Features: Easy Installation,Material: Steel
https://www.ebay.com/p/20025038676?iid=264508055865&rt=nc,Baby Gate Metal White Stair Security Infant Fence w/Door Protection installation,$16.50,Free,Features: Triple Locking,Material: Steel,Color: White
https://www.ebay.com/itm/Evenflo-Position-and-Lock-Wood-Gate/401918494695?hash=item5d943587e7:g:kzoAAOSwr3BdoKh3,Evenflo Position and Lock Wood Gate,$12.39,Free,Brand: Evenflo,Material: Wood,N/A
https://www.ebay.com/itm/Walk-Through-Baby-Gate-Stair-Security-Infant-Toddler-W-Door-Pet-Fence-Extension/264515444320?hash=item3d96595e60:g:VjYAAOSw8MtdrrIW,Walk Through Baby Gate Stair Security Infant Toddler W/Door Pet Fence Extension,$31.00,Free,Type: Doorway Gate,Features: Double Locking,Material: Steel
https://www.ebay.com/itm/Regalo-Home-Accents-Extra-Tall-and-Wide-Baby-Gate-Bonus-Kit-Includes-Decor-Har/352823799740?hash=item5225efefbc:g:S5sAAOSwjG5dpXZM,"Regalo Home Accents Extra Tall and Wide Baby Gate, Bonus Kit, Includes Décor Har",$31.49,Free,Brand: Regalo,N/A,N/A
https://www.ebay.com/c/19028528612,"North States 47.85"" Easy Swing & Lock Baby Gate: Ideal for Standard ",$12.50,$8.00,Brand: North States,Type: Doorway Gate,Features: Hardware Mounted
https://www.ebay.com/itm/Regalo-Easy-Step-Extra-Tall-Walk-Thru-Baby-Gate/153626120723?hash=item23c4d49213:g:IHkAAOSwul9da4vb,Regalo Easy Step Extra Tall Walk Thru Baby Gate,$38.99,Free,Brand: Regalo,N/A,N/A
https://www.ebay.com/c/20034034253,"Regalo Easy Open 47-Inch Super Wide Walk Thru Baby Gate, Bonus Kit",$39.99,Free,Brand: Regalo,N/A,N/A
https://www.ebay.com/itm/Walk-Through-Baby-Gate-Stair-Security-Infant-Toddler-W-Door-Pet-Fence-Extension/264004391599?hash=item3d77e352af:g:VjYAAOSw8MtdrrIW,Walk Through Baby Gate Stair Security Infant Toddler W/Door Pet Fence Extension,$35.99,Free,Type: Doorway Gate,Features: Double Locking,Material: Steel
https://www.ebay.com/itm/Summer-Infant-Extra-Tall-Extra-Wide-Safety-Gate-29-5-53-Inch-Wide/264520073654?hash=item3d96a001b6:g:LwUAAOSw6S5dvjAY,"Summer Infant Extra Tall & Extra Wide Safety Gate, 29.5 - 53 Inch Wide",$18.50,$19.95,Brand: Summer Infant,Color: Gray,N/A
https://www.ebay.com/p/165327307?iid=283671083622&rt=nc,"Regalo Easy Step 38.5-Inch Extra Wide Walk Thru Baby Gate, Includes 6-Inch...",$27.99,Free,Brand: Regalo,N/A,N/A
https://www.ebay.com/itm/White-Baby-Safety-Gate-Fence-Extra-Wide-Walk-Through-Bay-Security-Door-Infant/153693625347?hash=item23c8da9c03:g:dc4AAOSwQIFb8hQ9,White Baby Safety Gate Fence Extra Wide Walk Through Bay Security Door Infant,$33.00,Free,Type: Doorway Gate,Features: Easy Installation,Material: Steel
https://www.ebay.com/p/4032781251?iid=202778735282&rt=nc,Regalo Easy Step Extra Tall Walk Thru Steel Baby Gate - Black,$10.50,$17.80,Brand: Regalo,Type: Doorway Gate,Features: Easy Installation
https://www.ebay.com/p/20024879285?iid=333382222182&rt=nc,"Regalo 2-in-1 Extra Tall Easy Swing Stairway and Hallway Walk Through Baby Gate,",$37.99,Free,Brand: Regalo,Type: Stairway Gate,Color: Black
https://www.ebay.com/itm/Baby-Child-Safety-Gate-Fire-Gate-Fireplace-Pet-Dog-Cat-Fence-Steel-Plastic/382528965680?hash=item591080cc30:g:a3wAAOSwjLBdfuiA,Baby Child Safety Gate Fire Gate Fireplace Pet Dog Cat Fence Steel & Plastic,$60.90,Free,Type: Fireplace Gate,Material: Steel,Color: Black
https://www.ebay.com/itm/Baby-Safety-Gate-Door-Stair-Dog-Child-Barrier-Toddler-Fence-Pet-Gate-Walk/123874792781?hash=item1cd783554d:g:CTAAAOSwxL1dVEpo,Baby Safety Gate Door Stair Dog Child Barrier Toddler Fence Pet Gate Walk ,$18.85,Free,Brand: Safety Baby,Type: Doorway Gate,Features: Easy Installation
https://www.ebay.com/itm/Baby-Safety-Gate-Extra-Wide-Walk-Thru-Door-Metal-Child-Toddler-Fence-Pet-Cat-Dog/323965995291?epid=0&hash=item4b6de0c91b:g:BMcAAOSwWI1du8gT,Baby Safety Gate Extra Wide Walk Thru Door Metal Child Toddler Fence Pet Cat Dog,$30.00,Free,Brand: Unbranded,Type: Doorway Gate,Features: Double Locking
https://www.ebay.com/itm/Fence-Portable-Pet-Outdoors-6-Panel-Play-Pen-Safety-Gate-Children-Yard-Baby-Kids/254410272108?hash=item3b3c08ad6c:g:73kAAOSwsnVdtT6j,Fence Portable Pet Outdoors 6 Panel Play Pen Safety Gate Children Yard Baby Kids,$22.00,Free,Material: Wood,N/A,N/A
https://www.ebay.com/itm/Regalo-Easy-Step-38-5-Inch-Extra-Wide-Walk-Thru-Baby-Gate-Includes-6-Inch-Exten/264521720044?hash=item3d96b920ec:g:OB4AAOSwBTldvu34,"Regalo Easy Step 38.5-Inch Extra Wide Walk Thru Baby Gate, Includes 6-Inch Exten",$28.99,Free,Brand: Regalo,Color: White,N/A
https://www.ebay.com/itm/Retractable-Baby-Gate-Pet-Gate-Gate-for-Stairs/323942899333?hash=item4b6c805e85:g:HRIAAOSw2Xddkmgn,Retractable Baby Gate - Pet Gate - Gate for Stairs,$20.00,Free,Type: Retractable Gate,Features: Easy Installation,Material: Plastic
https://www.ebay.com/itm/EasyBaby-Products-Retractable-Baby-Gate-33-Tall-Extends-to-55-Wide-Black/303325892150?hash=item469fa1ce36:g:NvoAAOSw8o9dqHBy,"EasyBaby Products Retractable Baby Gate 33"" Tall Extends to 55"" Wide, Black",$31.95,Free,Type: Retractable Gate,Color: Black,N/A
https://www.ebay.com/p/17010923785?iid=254413537476&rt=nc,Fence Portable Pet Outdoors 8 Panel Play Pen Safety Gate Children Yard Baby Kids,$26.00,Free,Features: Free Standing,Material: Wood,Color: Brown
https://www.ebay.com/itm/Kidkusion-25ft-Retractable-Driveway-Safety-Net-Orange/303301830175?hash=item469e32a61f:g:LlEAAOSwSfJdisuU,Kidkusion 25ft. Retractable Driveway Safety Net Orange,$15.00,$38.95,Brand: KidKusion,Color: Orange,N/A
https://www.ebay.com/itm/Retractable-Baby-Gate-Pet-Gate-Gate-for-Stairs/323955304489?hash=item4b6d3da829:g:HRIAAOSw2Xddkmgn,Retractable Baby Gate - Pet Gate - Gate for Stairs,$21.99,Free,Type: Retractable Gate,Features: Easy Installation,Material: Plastic
https://www.ebay.com/itm/Pets-Dog-Cat-Baby-Safety-Gate-Mesh-Fence-Portable-Guard-Indoor-Home-Kitchen-Net/312739331347?hash=item48d0b77d13:g:hWwAAOSwwQ5dXheR,Pets Dog Cat Baby Safety Gate Mesh Fence Portable Guard Indoor Home Kitchen Net,$9.92,Free,Brand: Unbranded,N/A,N/A
https://www.ebay.com/p/1850441974?iid=362780407958&rt=nc,Regalo 0320DS Home Accents Extra Tall Walk Thru Gate,$14.25,$15.75,Brand: Regalo,Features: Expandable,Color: Black
https://www.ebay.com/c/2115780645,Baby Child Safety Hearth Gate BBQ Metal Fire Gate Fireplace Pet Dog Cat Fence,$60.95,Free,Brand: Unbranded,Type: Fireplace Gate,Material: Steel
https://www.ebay.com/p/26010925154?iid=254410272102&rt=nc,Baby Kids Portable Pet Outdoors 8 Panel Play Pen Safety Gate Children Yard Fence,$41.00,Free,Features: Free Standing,Material: Wood,Color: Blue
https://www.ebay.com/p/4032720014?iid=113859359132&rt=nc,Adjustable Baby Pet Dog Cat Play Yard Fireplace Fence Freestanding w/ Door White,$31.00,Free,Type: Fireplace Gate,Features: Adjustable,Material: Plastic
https://www.ebay.com/p/9015840390?iid=383177668055&rt=nc,"Summer Infant Multi-Use Deco Extra Tall Walk-Thru Gate, Bronze",$52.29,Free,Brand: Summer Infant,Features: Adjustable,Color: Brown
https://www.ebay.com/p/11032739732?iid=123910240513&rt=nc,Black Baby Safety Gate Fence Extra Wide Walk Through Bay Security Door Infant,$39.00,Free,Type: Fireplace Gate,Features: Foldable,Material: Plastic
https://www.ebay.com/itm/Baby-Gates-Safety-For-Stairs-Child-Extendable-Wide-Indoor-Tall-Infant-Toddler/223598492668?hash=item340f823bfc:g:9wgAAOSwLwtdp2Rw,Baby Gates Safety For Stairs Child Extendable Wide Indoor Tall Infant Toddler,$21.99,Free,Material: Wood,"Height: 15 - 23""",Color: Brown
https://www.ebay.com/p/1319436757?iid=174038752447&rt=nc,Summer Infant 6' Wide Extra Tall Walk-Thru Metal Expansion Gate,$19.00,$16.59,Features: Expandable,"Height: 32 - 39""",Color: Brown
https://www.ebay.com/itm/Regalo-Easy-Step-Extra-Tall-Walk-Thru-Baby-Gate-Bonus-Kit/312636669658?hash=item48ca98feda:g:NkAAAOSwZRZc8e72,"Regalo Easy Step Extra Tall Walk Thru Baby Gate, Bonus Kit",$46.99,Free,Brand: Regalo,N/A,N/A
https://www.ebay.com/itm/Perma-Outdoor-Retractable-Baby-Gate-Extra-Wide-up-to-71-Gray-Shelf-110-J/123944734369?hash=item1cdbae8ea1:g:68EAAOSwFqZdd8rK,"Perma Outdoor Retractable Baby Gate, Extra Wide up to 71”, Gray (Shelf 110)(J)",$19.99,$10.00,Type: Retractable Gate,Color: Gray,N/A
https://www.ebay.com/itm/North-States-47-85-Easy-Swing-Lock-Baby-Gate-Ideal-for-Standard/123938004799?hash=item1cdb47df3f:g:72cAAOSwURhdosqB,"North States 47.85"" Easy Swing & Lock Baby Gate: Ideal for Standard",$33.99,Free,Brand: North States,N/A,N/A
https://www.ebay.com/itm/Black-Baby-Safety-Gate-Fence-Extra-Wide-Walk-Through-Bay-Security-Door-Infant/123933471622?hash=item1cdb02b386:g:XDQAAOSwSQFdNvno,Black Baby Safety Gate Fence Extra Wide Walk Through Bay Security Door Infant,$62.25,Free,Features: Foldable,Material: Steel,Color: Black
https://www.ebay.com/p/1900112969?iid=383091168987&rt=nc,Evenflo® Top-of-Stair Extra Tall Wood Gate,$9.50,Free,Brand: Evenflo,Features: Adjustable,Material: Wood
https://www.ebay.com/itm/The-Stair-Barrier-Banister-to-Banister-32-Tall-42-Wide-Khaki/183923615696?hash=item2ad2b3a7d0:g:WfgAAOSwz4ZdOjNf,"The Stair Barrier, Banister to Banister 32"" Tall 42"" Wide Khaki",$29.99,$17.92,Features: Foldable,Color: Beige,N/A
https://www.ebay.com/itm/Pet-Safety-Gate-Door-Walk-Through-Child-Toddler-Pet-Metal-Easy-Locking-System-US/163900753423?hash=item26293f060f:m:mttcWFPZufbAofsDU4dfVPQ&var=463501259181,Pet Safety Gate Door Walk Through Child Toddler Pet Metal Easy Locking System US,$9.78 to $35.89,Free,Brand: Unbranded,Type: Doorway Gate,Features: Double Locking
https://www.ebay.com/itm/Baby-Safety-Fence-Hearth-Gate-BBQ-Fire-Gate-Fireplace-Metal-Plastic/223625212570?hash=item341119f29a:g:93QAAOSwiBJaSZvD,Baby Safety Fence Hearth Gate BBQ Fire Gate Fireplace Metal Plastic,$31.00,Free,Type: Fireplace Gate,Material: Plastic,N/A
