URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Infantino-Cart-Cover/274077915030?hash=item3fd0511796:g:wB8AAOSwbcBdvGtq,Infantino Cart Cover,$5.00,$3.90,Brand: Infantino,N/A,N/A
https://www.ebay.com/itm/Eddie-Bauer-Shopping-Cart-High-Chair-Cover/153709012364?hash=item23c9c5658c:g:fisAAOSwY9pdni0U,Eddie Bauer Shopping Cart High Chair Cover,$6.00,$5.35,Brand: Eddie Bauer,N/A,N/A
https://www.ebay.com/p/25017771964?iid=113900314964&rt=nc,"Boppy Shopping Cart & Restaurant High Chair Cover, Park Gate Pink",$10.99,$3.50,Brand: Boppy,Color: Gray,N/A
https://www.ebay.com/itm/Boppy-Shopping-Cart-and-High-Chair-Cover-Yellow-and-gray/113939006478?hash=item1a874b440e:g:u8MAAOSwVTpdtdCG,Boppy Shopping Cart and High Chair Cover - Yellow and gray. ,$5.50,$5.71,Brand: Boppy,Color: Gray,N/A
https://www.ebay.com/itm/Eddie-Bauer-Owl-Baby-Unisex-Shopping-Cart-High-Chair-Cover/303252587182?hash=item469b4342ae:g:~RoAAOSwvwhdUZyP,Eddie Bauer Owl Baby Unisex Shopping Cart High Chair Cover,$0.99,$5.93,Brand: Eddie Bauer,N/A,N/A
https://www.ebay.com/itm/shopping-cart-cover-baby-girl-Comfort-And-Harmony/123962902479?hash=item1cdcc3c7cf:g:i-UAAOSw2k5dv4FE,shopping cart cover baby girl Comfort And Harmony ,$3.20,$9.30,N/A,N/A,N/A
https://www.ebay.com/itm/eddie-bauer-Shopping-Cart-Highchair-Cover/264424956874?hash=item3d90f4a3ca:g:zgkAAOSwpUVdJn0j,eddie bauer Shopping Cart & Highchair Cover,$3.25,$5.24,Brand: Eddie Bauer,N/A,N/A
https://www.ebay.com/itm/Infant-Toddler-Baby-Eddie-Bauer-Shopping-Cart-Restaurant-High-Chair-Cover-blue/193179208206?hash=item2cfa60ca0e:g:UYEAAOSwF4ddo5oO,Infant Toddler Baby Eddie Bauer Shopping Cart Restaurant High Chair Cover blue ,$2.50,$4.50,Brand: Eddie Bauer,Color: Blue,N/A
https://www.ebay.com/c/1524604600,Baby Shopping Cart Cover,$6.00,$10.40,Brand: Infantino,N/A,N/A
https://www.ebay.com/itm/Binxy-Baby-Shopping-Cart-Hammock-Brand-New-Never-Used-No-Package/184002641795?hash=item2ad7697f83:g:oaQAAOSwKKZdrKzl,Binxy Baby Shopping Cart Hammock Brand New Never Used No Package,$20.50,$6.00,Brand: Binxy Baby,N/A,N/A
