URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Snuggle-Me-Original-Cotton-Infant-and-Baby-Lounger-White-Customer-Return/153394596162?hash=item23b707c942:m:m83_huJ9MKB_ek5gTXkQlWg&var=453316335584,Snuggle Me Original Cotton Infant and Baby Lounger - White - Customer Return,$79.00,Free,Brand: Snuggle Me,Color: White,N/A
https://www.ebay.com/itm/Portable-Baby-Bed-Side-Sleeper-Infant-Travel-Bassinet-Crib-W-Carrying-Bag-Grey/183964414592?hash=item2ad5223280:g:WpMAAOSw96ldhX3f,Portable Baby Bed Side Sleeper Infant Travel Bassinet Crib W/Carrying Bag Grey,$137.99,Free,Color: Gray,Features: Portable,Type: Bassinet
https://www.ebay.com/itm/SNUGGLE-ME-ORIGINAL-Bare-Infant-Lounger-Sky-Blue/303306780331?hash=item469e7e2eab:g:SeAAAOSwDkFdlNll,SNUGGLE ME ORIGINAL Bare Infant Lounger Sky Blue,$58.00,$14.20,Brand: Snuggle Me,Color: Blue,N/A
https://www.ebay.com/itm/New-UPPAbaby-Bassinet-Stand-White/223734511559?hash=item34179db7c7:g:S94AAOSwkyRdv5CJ,"New UPPAbaby Bassinet Stand, White",$115.00,Free,Brand: UPPAbaby,Color: White,Type: Bassinet
https://www.ebay.com/itm/Snuggle-Me-Organic-Original-Infant-Lounger-with-Natural-Cover-and-Carrying-Case/323927285100?hash=item4b6b921d6c:g:HyEAAOSwqh9diuF2,Snuggle Me Organic Original Infant Lounger with Natural Cover and Carrying Case,$105.00,Free,Brand: Snuggle Me,Color: Beige,Shape: Oval
https://www.ebay.com/itm/Arms-Reach-Co-Sleeper-Bassinet-4111-N-plus-leg-extension-kit/303334706948?hash=item46a0284f04:g:dukAAOSwmXtdslp4,Arm's Reach Co-Sleeper Bassinet 4111-N plus leg extension kit,$26.00,$28.82,Brand: Arm's Reach,Shape: Rectangle,Features: Portable
https://www.ebay.com/itm/Organic-Snuggle-Me-Baby-Pillow-Lounger-Patterned/352760025406?hash=item522222d13e:g:BW0AAOSwkXVdWp7M,Organic Snuggle Me Baby Pillow Lounger - Patterned,$75.00,$9.80,Brand: Snuggle Me,Color: White,N/A
https://www.ebay.com/p/26030527300?iid=264467045086&rt=nc,Chicco LullaGo Portable Bassinet Travel Crib,$28.00,$23.89,Brand: Chicco,Color: Beige,Features: Portable
https://www.ebay.com/itm/Snuggle-Me-Baby-Lounger-Original/153670781230?hash=item23c77e092e:g:Q6AAAOSwC2ldllla,Snuggle Me Baby Lounger - Original,$70.00,Free,Brand: Snuggle Me,N/A,N/A
https://www.ebay.com/p/13020313666?iid=352832131800&rt=nc,"HALO Bassinest Swivel Sleeper Bassinet - Essentia Series, white , Blue ikat NEW ",$150.00,Free,Brand: Halo,Color: White,Type: Bassinet
https://www.ebay.com/itm/Snuggle-Me-Organic/254382662664?hash=item3b3a636408:g:M10AAOSwwrxdkBer,Snuggle Me Organic,$50.00,$15.00,Brand: Snuggle Me,Color: Beige,Shape: Oval
https://www.ebay.com/p/2254563076?iid=312715695673&rt=nc,Portable Baby Bassinet Newborn Cradle White Moses Basket Infant Nursery,$46.55,Free,Brand: Delta Children,Color: White,Shape: Round
https://www.ebay.com/itm/snuggle-me-organic-lounger/223719851011?hash=item3416be0403:g:UuMAAOSwuOZdslUU,snuggle me organic lounger,$53.00,$19.95,Brand: Snuggle Me,N/A,N/A
https://www.ebay.com/p/5025000409?iid=383133822666&rt=nc,Chicco LullaGo Portable Bassinet Travel Crib,$51.00,$23.89,Brand: Chicco,Color: Blue,Features: Portable
