URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/p/1778335318?iid=401942795902&rt=nc,Graco Nautilus 65 3_in_1 Harness Booster Car Seat - Sully,$99.99,Free,Brand: Graco,Features: Forward or Rear Facing,Color: Black
https://www.ebay.com/p/11034756896?iid=113608744329&rt=nc,"Safety 1st TrioFit 3-in-1 Convertible Car Seat, Cool Grey",$109.99,Free,Brand: Safety 1st,Features: Forward Facing,Color: Gray
https://www.ebay.com/p/9031081674?iid=113152746639&var=413456962610&rt=nc,Safety 1st Complete Air 65 Convertible Car Seat,$79.99,Free,Brand: Safety 1st,Features: Forward Facing,Color: Blue
https://www.ebay.com/itm/Chicco-NextFit-Zip-Convertible-Car-Seat-Color-Nebulous/163921856957?hash=item262a8109bd:g:hdYAAOSwi~Fdt2cC,Chicco NextFit Zip Convertible Car Seat. Color: Nebulous,$176.50,$22.82,Brand: Chicco,Color: Green,N/A
https://www.ebay.com/c/224737157,Graco Extend2Fit Convertible Car Seat - Kenzie,$139.99,Free,Brand: Graco,N/A,N/A
https://www.ebay.com/p/23025005484?iid=123939887442&rt=nc,Chicco NextFit Sport Convertible Car Seat.Color: Shadow,$84.00,$34.77,Brand: Chicco,Theme: Sports,N/A
https://www.ebay.com/itm/Graco-Extend2Fit-Convertible-Car-Seat-Davis/401942799664?hash=item5d95a86530:g:EG0AAOSwmgVdGkss,Graco Extend2Fit Convertible Car Seat - Davis,$132.99,Free,Brand: Graco,Features: Forward or Rear Facing,Color: Black
https://www.ebay.com/itm/Chicco-NextFit-Zip-convertible-car-seat-Color-Geo/233383325688?hash=item3656baeff8:g:~cEAAOSwGrBdolZU,Chicco NextFit Zip convertible car seat.Color: Geo,$177.00,$14.95,Brand: Chicco,N/A,N/A
https://www.ebay.com/c/224721715,Safety 1st Go and Grow 3-in-1 Convertible Car Seat,$134.99 to $199.99,Free,Brand: Safety 1st,Color: Blue,Type: Rear Facing (29 lbs)
https://www.ebay.com/c/224722035,Graco Extend 2 Fit Convetible Car Seat - Gotham Fashion ,$139.99,Free,Brand: Graco,N/A,N/A
https://www.ebay.com/itm/3-in-1-Convertible-Car-Seat-Rear-Facing-Forward-Booster-Newborn-to-100-Lb-Safety/303167831031?hash=item469635fbf7:m:mNy8Lnh9lKiIR3NN47ib-uA&var=602123095590,3-in-1 Convertible Car Seat Rear Facing Forward Booster Newborn to 100 Lb Safety,$123.79,Free,Brand: Unbranded,Features: Forward or Rear Facing,N/A
https://www.ebay.com/p/2303211285?iid=333385877721&rt=nc,"Safety 1st Grow and Go 3-in-1 Convertible Car Seat, Harvest Moon",$123.00,Free,Brand: Safety 1st,Features: Forward or Rear Facing,Isofix: Without Isofix
https://www.ebay.com/p/12027034810?iid=383198732303&rt=nc,Safety 1st Grow and Go 3-in-1 Convertible Car Seat - Everest Pink,$112.50,Free,Brand: Safety 1st,Features: Forward Facing,Color: Pink
https://www.ebay.com/p/17017273051?iid=362737091847&rt=nc,"Cybex Sirona M SensorSafe 2 Convertible Car Seat In Pepper Black, 518002153",$102.50,$112.82,Brand: Cybex,Features: Forward Facing,Color: Black
https://www.ebay.com/p/22034033453?iid=153663429024&rt=nc,All in One Sport Convertible Toddler Baby Infant Booster Car Seat Travel Safe,$76.50,Free,Brand: Safety 1st,Features: Forward or Rear Facing,Color: Purple
https://www.ebay.com/p/219487405?iid=362798086695&rt=nc,"Evenflo Tribute LX Convertible Car Seat, Saturn",$42.27,$100.57,Brand: Evenflo,Color: Black,Type: Forward Facing (20-79 lbs)
https://www.ebay.com/p/8030648623?iid=163927325485&rt=nc,"Graco SlimFit 3 in 1 Convertible Infant to Toddler Car Seat, Darcie",$142.49,Free,Brand: Graco,Features: Forward or Rear Facing,Color: Gray
https://www.ebay.com/p/2254273663?iid=383217282227&rt=nc,Chicco NextFit Zip Convertible Car Seat  exp 2022,$122.50,$34.62,Brand: Chicco,Features: Removable Washable Cover,Color: Blue
https://www.ebay.com/c/224721925,Graco Extend2Fit Convertible Car Seat,$122.50,$20.00,Brand: Graco,N/A,N/A
https://www.ebay.com/p/13014218488?iid=383192733230&rt=nc,Cybex Sirona M Sensorsafe 2.0 Convertible Car Seat,$158.50,Free,Brand: Cybex,Features: Forward or Rear Facing,Color: Black
https://www.ebay.com/p/2111403484?iid=153635287090&rt=nc,"Graco Extend2Fit Convertible Car Seat, Gotham",$135.99,Free,Brand: Graco,N/A,N/A
https://www.ebay.com/itm/Chicco-NextFit-Zip-Air-Convertible-Car-Seat-Color-Rosso/233343564245?hash=item36545c39d5:g:VtIAAOSw1NNdQLYC,Chicco NextFit Zip Air Convertible Car Seat.Color: Rosso,$222.50,$16.41,Brand: Chicco,N/A,N/A
https://www.ebay.com/p/19031091824?iid=362794853310&rt=nc,"Graco 4Ever All-In-One Convertible Car Seat In Dunwoody, 1932393",$101.50,$98.99,Brand: Graco,Features: Rear Facing,Color: Black
https://www.ebay.com/c/15031091020,Chicco NextFit iX Convertible Car Seat Rear & Forward Facing ,$34.00,$74.73,Brand: Chicco,Features: Removable Washable Cover,Color: Gray
https://www.ebay.com/p/4032107747?iid=283653558912&rt=nc,"Graco Tranzitions 3-in-1 Harness Booster Convertible Car Seat, Basin",$66.00,$15.00,Brand: Graco,N/A,N/A
https://www.ebay.com/p/2118419472?iid=383152685079&rt=nc,"Safety 1st Grow and Go 3-in-1 Convertible Car Seat, Carbon Ink",$112.50,Free,Brand: Safety 1st,Features: Forward Facing,Color: Green
https://www.ebay.com/p/1300206419?iid=174056824310&rt=nc,"Thule Yepp Mini Bicycle Child Seat, Black",$91.00,$9.99,Color: Black,N/A,N/A
https://www.ebay.com/p/8020331945?iid=113442595467&rt=nc,"Safety 1st MultiFit EX Air 4-in-1 Convertible Car Seat, Amaro",$169.99,Free,Brand: Safety 1st,Features: Forward Facing,Color: Beige
https://www.ebay.com/p/24023209419?iid=352666933658&rt=nc,"Evenflo Tribute LX Convertible Travel Baby Toddler Airplane & Car Seat, Jupiter",$68.59,Free,Brand: Evenflo,Features: Forward Facing,Color: Red
https://www.ebay.com/p/1152205492?iid=153629183517&rt=nc,"Evenflo Tribute LX Convertible Car Seat, Saturn",$56.23,Free,Brand: Evenflo,N/A,N/A
