URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Boppy-gray-infant-neck-support-insert-for-car-seat-NEW/223649500945?hash=item34128c8f11:g:vbAAAOSwNCRdREwL,Boppy gray infant neck support insert for car seat - NEW,$4.25,$5.95,Brand: Boppy,Color: Gray,Gender: Unisex
https://www.ebay.com/itm/Boppy-Way-to-Go-Head-Support-Grey-Minky-Neck-Ring-infant/183987529203?hash=item2ad682e5f3:g:r5QAAOSw5wVdnOhs,Boppy Way to Go Head Support Grey/ Minky Neck Ring infant,$5.00,$5.30,Brand: Boppy,Color: Gray,N/A
https://www.ebay.com/itm/Original-Baby-Elephant-Ears-Head-Support-Pillow-Free-Shipping/254357235173?hash=item3b38df65e5:g:mUgAAOSwHWtcwMnu,Original Baby Elephant Ears Head Support Pillow Free Shipping,$10.50,Free,Color: Blue,Gender: Unisex,N/A
https://www.ebay.com/itm/Diono-Radian-RXT-Infant-Head-Pillow-and-Body-Support-Gray/174087296985?hash=item28886957d9:g:rDAAAOSwPW9dwdq8,"Diono Radian RXT Infant Head Pillow and Body Support, Gray",$3.90,$14.20,Brand: diono,Color: Gray,N/A
https://www.ebay.com/itm/Boppy-Noggin-Nest-Head-Support-for-Infants-Brown-Wheels/113858125620?hash=item1a82791f34:g:iMEAAOSw-mtdWcJz,Boppy Noggin Nest Head Support for Infants Brown Wheels,$6.00,Free,Brand: Boppy,Color: Brown,Gender: Unisex
https://www.ebay.com/itm/Boppy-Head-and-Neck-Support-Black-and-White-Multi-use/333333756417?hash=item4d9c3d7a01:g:KUEAAOSwrXVdb~gB,Boppy Head and Neck Support Black and White Multi use ,$1.30,$4.57,Brand: Boppy,Color: White,N/A
https://www.ebay.com/itm/NIP-Boppy-Noggin-Nest-Head-Support-Pillow-Elephant-Gray/183943106910?hash=item2ad3dd115e:g:COUAAOSwb1ldcp81,NIP Boppy Noggin Nest Head Support Pillow Elephant Gray,$3.40,$5.19,Brand: Boppy,Color: Gray,N/A
https://www.ebay.com/p/2254305604?iid=254356024888&rt=nc,Summer Infant Snuzzler Head Support for Car Seats and Strollers,$0.99,$6.27,Brand: Summer Infant,Color: Pink,Theme: Sports
https://www.ebay.com/itm/Boppy-Infant-Toddler-Carseat-Head-Neck-Support-Reversible-Fabric-gray-EUC/303249627216?hash=item469b161850:g:f5UAAOSw4DJdMkD3,Boppy Infant & Toddler Carseat Head Neck Support Reversible Fabric gray EUC,$4.99,$6.99,Brand: Boppy,Color: Gray,N/A
https://www.ebay.com/itm/Boppy-Noggin-Nest-Head-Support-Baby-Pillow/153667185383?hash=item23c7472ae7:g:NMIAAOSwdjtdd8fr,Boppy Noggin Nest Head Support Baby Pillow ,$6.00,$3.20,Brand: Boppy,Color: Gray,Gender: Unisex
https://www.ebay.com/c/1636531054,Boppy noggin nest head support,$10.00,$4.39,Brand: Boppy,Color: Gray,Gender: Unisex
https://www.ebay.com/itm/Summer-Infant-Snuzzler-Head-Support-for-Car-Seats-Strollers-White-Black-Unisex/333329167175?hash=item4d9bf77347:g:6kwAAOSwk-pdYEcQ,Summer Infant Snuzzler Head Support for Car Seats Strollers White/Black. Unisex,$4.50,$5.78,Brand: Summer Infant,Color: White,Gender: Unisex
https://www.ebay.com/itm/Boppy-Infant-Head-Support-Grey-Reversible/163824229223?hash=item2624af5b67:g:MeMAAOSwH2ldRy-s,Boppy Infant Head Support Grey Reversible,$1.75,$5.35,Brand: Boppy,Color: Gray,N/A
https://www.ebay.com/itm/Goldbug-Head-Support-for-Baby-for-strollers-bouncers-carseats-B1532-Used/174033031105?hash=item28852d4fc1:g:7kEAAOSwTy1c~XUV,Goldbug Head Support for Baby for strollers bouncers carseats (B1532) Used,$0.99,$5.93,Brand: Goldbug,Color: White,Gender: Unisex
https://www.ebay.com/itm/Eddie-Bauer-Baby-Duo-Head-Support-For-Car-seat-Carrier-Stroller/283613822901?hash=item4208b37fb5:g:VHIAAOSwqUddcvRg,"Eddie Bauer Baby Duo Head Support For Car seat, Carrier, Stroller",$4.00,$4.57,Brand: Eddie Bauer,Color: Gray,Gender: Unisex
https://www.ebay.com/p/2131922493?iid=133205584430&rt=nc,"NEW Summer Infant Snuzzler Support for Car Seats and Strollers, Ivory ",$13.50,Free,Brand: Summer Infant,Gender: Unisex,N/A
https://www.ebay.com/itm/giant-elephant-Ears-Pillow/113853401072?hash=item1a823107f0:g:rdUAAOSw2MBdStxX,giant elephant Ears Pillow,$0.99,$8.00,N/A,N/A,N/A
https://www.ebay.com/itm/Boppy-Head-Neck-Support-Reversible-Unisex-New-In-Package-Infant-to-Toddler/293313484675?hash=item444ad89783:g:nPAAAOSwlFFdwHoe,Boppy Head & Neck Support Reversible Unisex New In Package Infant to Toddler,$8.80,$4.53,Brand: Boppy,Color: Pink,Gender: Unisex
https://www.ebay.com/itm/Baby-Infant-Hugger-Head-Support-Car-Seat-Stroller-Pillow-Neck-newborn-Safety-new/113923139132?hash=item1a8659263c:g:1rsAAOSw4wZdo7xc,Baby Infant Hugger Head Support Car Seat Stroller Pillow Neck newborn Safety new,$22.95,Free,Gender: Girls,N/A,N/A
https://www.ebay.com/itm/Summer-Infant-Snuzzler-Infant-Support-for-Car-Seats-and-Strollers-Yellow/193156540023?hash=item2cf906e677:g:ZSsAAOSwDLhdV3mf,"Summer Infant Snuzzler Infant Support for Car Seats and Strollers, Yellow",$3.14,$5.30,Brand: Summer Infant,Color: Yellow,Gender: Unisex
https://www.ebay.com/itm/Hudson-Baby-Girl-Travel-Neck-Support-Pillow-Miss-Fox/163901492124?hash=item26294a4b9c:g:oBQAAOSwKAFdoBzM,"Hudson Baby Girl Travel Neck Support Pillow, Miss Fox",$10.99,Free,Gender: Girls,N/A,N/A
https://www.ebay.com/itm/Baby-Head-Support-Car-Seat-Stroller-Infant-Pillow-Neck-Travel-Safety-Body-Colors/392245395593?hash=item5b53a5c089:m:mvq6sX9sktQbckaKIEHwxHQ&var=661198579747,Baby Head Support Car Seat Stroller Infant Pillow Neck Travel Safety Body Colors,$15.95 to $17.01,Free,Brand: Summer Infant,Color: Pink,Gender: Unisex
https://www.ebay.com/itm/Grey-Eddie-Bauer-Baby-Duo-Head-Support-For-Car-seat-Carrier-Stroller-Used/223720708345?hash=item3416cb18f9:g:qBMAAOSwetBde7rb,"Grey Eddie Bauer Baby Duo Head Support For Car seat, Carrier, Stroller - Used",$5.50,$4.00,Brand: Eddie Bauer,Color: Gray,Gender: Unisex
https://www.ebay.com/itm/Chicco-Baby-Universal-3-in-1-Full-Body-Support-New-in-package/183928044209?hash=item2ad2f73ab1:g:YyQAAOSw~6Fco-1D,Chicco Baby Universal 3 in 1 Full Body Support New in package,$9.00,$10.00,Brand: Chicco,Color: Gray,N/A
https://www.ebay.com/itm/Infant-and-Toddler-Head-Support-Pram/383134871908?hash=item59349e3164:m:mwBDjbnYW4XrREq17-iB2Pw&var=651695475105,Infant and Toddler Head Support Pram,$10.00,Free,Brand: Handmade,Gender: Unisex,N/A
https://www.ebay.com/itm/Hudson-Baby-Baby-neck-support-Pillow/163665045085?hash=item261b32665d:g:26QAAOSwNSdcbddh,Hudson Baby  Baby neck support Pillow,$8.99,Free,Color: Brown,Gender: Unisex,N/A
https://www.ebay.com/p/691361747?iid=223673653189&rt=nc,PINK JJ Cole Duel Layers Cotton Car Seat Head Support Newborn Infant - Used,$2.99,$4.00,Color: Pink,Theme: Garden,Gender: Girls
