URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/p/14026509834?iid=401948870354&rt=nc,Graco Extend2Fit Convertible Car Seat - Gotham,$130.99,Free,Brand: Graco,Color: Black,Features: Adjustable Headrest
https://www.ebay.com/p/2255491488?iid=113152754963&var=413456966308&rt=nc,Disney Baby Light 'n Comfy Luxe Infant Car Seat,$79.99,Free,Brand: Disney,Color: Pink,Features: Adjustable Headrest
https://www.ebay.com/p/4032706112?iid=312707722345&rt=nc,"Evenflo LiteMax 35 Infant Car Seat, Easy to Install, Versatile & Convenient, Mee",$80.99,Free,Brand: Evenflo,Color: Black,N/A
https://www.ebay.com/c/13027548990,"Baby Trend Ally 35 Infant Car Seat, Optic Pink",$75.99,Free,Brand: Baby Trend,Color: Pink,N/A
https://www.ebay.com/itm/Baby-Trend-Infant-Car-Seat-With-2-Car-Base-Up-To-35-lbs-Child-Weight-Baby-Sale/123962452837?hash=item1cdcbceb65:g:-7QAAOSwZb9dvxGH,Baby Trend Infant Car Seat With 2 Car Base Up To 35 lbs Child Weight.Baby Sale!,$42.50,$8.30,Brand: Baby Trend,N/A,N/A
https://www.ebay.com/p/2111403484?iid=392429775400&rt=nc,Graco Extend2fit Convertible Car Seat Gotham New in box ,$139.99,Free,Brand: Graco,Color: Black,N/A
https://www.ebay.com/itm/Baby-Trend-Flex-Loc-Infant-Car-Seat-With-Base-with-reversible-canopy/223734586497?hash=item34179edc81:g:OZ4AAOSw30FdhlZK,"Baby Trend Flex Loc Infant Car Seat With Base, with reversible canopy!",$31.00,$34.90,Brand: Baby Trend,Color: Multicolor,Features: Rear Facing
https://www.ebay.com/itm/BRAND-NEW-UPPAbaby-Mesa-Infant-Car-Seat-Base-Black/133232580094?hash=item1f0547d5fe:g:q1sAAOSwADVdxF4l,BRAND NEW UPPAbaby Mesa Infant Car Seat Base - Black,$59.96,$55.70,Brand: UPPAbaby,Color: Black,N/A
https://www.ebay.com/p/14031086526?iid=401930963237&rt=nc,Doona Convertible Infant Car Seat Stroller With Latch Base In Nitro Black,$217.50,$110.91,Color: Black,N/A,N/A
https://www.ebay.com/p/23018322195?iid=113744967426&rt=nc,"Safety 1st onBoard 35 LT Infant Car Seat, Plum Reign",$99.99,Free,Brand: Safety 1st,Features: Forward Facing,N/A
