URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Baby-Jogger-City-Mini-GT-Double-Twin-All-Terrain-Stroller-Charcoal-NEW/223696533686?hash=item34155a38b6:g:XkoAAOSwUBJdN5FP,Baby Jogger City Mini GT Double Twin All Terrain Stroller Charcoal NEW ,$375.00,Free,Brand: Baby Jogger,Color: Gray,N/A
https://www.ebay.com/p/833713137?iid=233359324577&rt=nc,Chicco Bravo Trio 3-in-1 Baby Travel System Stroller w KeyFit 30 Car Seat Indego,$278.00,$20.00,Brand: Chicco,Type: Travel System,N/A
https://www.ebay.com/p/835586111?iid=333350290898&rt=nc,Baby Jogger City Select Stroller -SLATE-NEW-SALE!!,$319.00,Free,Brand: Baby Jogger,Type: Standard,Color: Gray
https://www.ebay.com/itm/Milkbe-Lullaby-Auto-Stopping-Stroller-in-Grey/264498792579?hash=item3d955b4883:g:oeAAAOSwZqJdllaz,Milkbe Lullaby Auto Stopping Stroller in Grey,$200.00,$30.00,Color: Gray,N/A,N/A
https://www.ebay.com/p/15034416221?iid=143432194727&rt=nc,Baby Jogger City Select Lux Compact Fold All Terrain Stroller Granite NEW,$429.99,Free,Brand: Baby Jogger,Type: Standard,Age: Infant
https://www.ebay.com/itm/Milkbe-Lullaby-Auto-Stopping-Stroller-in-Grey/264506541492?hash=item3d95d185b4:g:oeAAAOSwZqJdllaz,Milkbe Lullaby Auto Stopping Stroller in Grey,$350.00,$30.00,Color: Gray,N/A,N/A
https://www.ebay.com/itm/Diono-Quantum-Multi-Mode-Stroller-Navy/123867299263?hash=item1cd710fdbf:g:HvkAAOSwL81dSwdd,Diono Quantum Multi Mode Stroller - Navy,$56.00,Free,Brand: diono,N/A,N/A
https://www.ebay.com/itm/Petunia-Pickle-Bottom-Disney-Mickey-Mouse-Stroller-Hook-Black/163808664331?hash=item2623c1db0b:g:jtcAAOSwTW1dMMHB,Petunia Pickle Bottom Disney Mickey Mouse Stroller Hook Black ,$15.50,Free,Brand: Disney,Color: Black,N/A
https://www.ebay.com/p/2254579996?iid=303284277042&rt=nc,Baby Jogger Summit X3 Twin Double All Terrain Jogging Stroller Black / Gray NEW,$269.00,$74.73,Brand: Baby Jogger,Type: Jogger,Color: Black
https://www.ebay.com/p/26034169962?iid=352728119221&rt=nc,Wonderfold Wagon W4 Push Multi-Function 4 Passenger Quad Folding Stroller Orange,$499.00,Free,Color: Orange,Age: Toddler,N/A
https://www.ebay.com/p/16034360302?iid=163924805402&rt=nc,Baby Jogger City Select Lux Twin Tandem Double Stroller w/ Second Seat granite,$642.00,Free,Brand: Baby Jogger,Type: Travel System,N/A
https://www.ebay.com/p/2287206067?iid=352769915225&rt=nc,Baby Jogger City Select All Terrain Double Stroller Silver Frame Anniversary NEW,$499.99,Free,Brand: Baby Jogger,Type: Standard,Color: Silver
https://www.ebay.com/itm/Baby-Jogger-City-Select-Lux-Compact-Fold-All-Terrain-Stroller-Granite-NEW/362122059436?hash=item5450281eac:g:1tEAAOSwxu5ZETFe,Baby Jogger City Select Lux Compact Fold All Terrain Stroller Granite NEW,Tap item to see current priceSee Price,Free,Brand: Baby Jogger,Type: Standard,N/A
https://www.ebay.com/itm/Doona-Infant-Car-Seat-Insect-Net/333383888713?hash=item4d9f3a6f49:g:wt4AAOSwXKddvZBW,Doona Infant Car Seat Insect Net,$13.00,$5.00,Age: Infant,N/A,N/A
https://www.ebay.com/p/3023373114?iid=352452837040&rt=nc,Chicco Cortina Together Twin Baby Double Stroller Minerale NEW ,$299.99,Free,Brand: Chicco,Color: Gray,Age: Infant
https://www.ebay.com/itm/Silver-Cross-Wave-Single-to-Double-Pram-System-Baby-Stroller-w-Bassinet-Slate/163875461089?hash=item2627bd17e1:g:IBcAAOSw8~JdiBCD,Silver Cross Wave Single to Double Pram System Baby Stroller w Bassinet Slate ,"$1,050.00",Free,Brand: Silver Cross,Color: Gray,N/A
https://www.ebay.com/p/12025804770?iid=392391500838&rt=nc,"Chicco Viaro Travel System Stroller, Techna",$279.99,Free,Brand: Chicco,Type: Travel System,Age: Infant
https://www.ebay.com/p/26033852583?iid=352493228986&rt=nc,Chicco Mini Bravo Sport Baby Travel System Stroller w/ KeyFit Car Seat Carbon,$299.99,Free,Brand: Chicco,Type: Travel System,Color: Black
https://www.ebay.com/p/9027533010?iid=362122045832&rt=nc,Baby Jogger City Mini GT Double Twin All Terrain Stroller Black NEW,$579.99,Free,Brand: Baby Jogger,Color: Black,N/A
https://www.ebay.com/p/691290222?iid=352148064870&rt=nc,Baby Jogger City Select Twin Tandem Double Stroller Ruby w Second Seat NEW ,$489.96,Free,Brand: Baby Jogger,Type: Standard,Color: Red
https://www.ebay.com/itm/Joolz-Geo-Earth-Complete-Stroller-in-Parrot-Blue/163911839550?hash=item2629e82f3e:g:8iwAAOSwrrldq13P,Joolz Geo² Earth Complete Stroller in Parrot Blue,$750.00,Free,Type: Travel System,Color: Blue,N/A
https://www.ebay.com/itm/Baby-Jogger-City-Select-Lux-Compact-Fold-All-Terrain-Stroller-Port-NEW/352052167531?hash=item51f7f1c36b:g:eU0AAOSwjqVZETJB,Baby Jogger City Select Lux Compact Fold All Terrain Stroller Port NEW ,$629.99,Free,Brand: Baby Jogger,Type: Standard,Color: Red
https://www.ebay.com/itm/Baby-Jogger-City-Tour-2-Twin-Double-Lightweight-Compact-Fold-Travel-Stroller-Jet/401845667167?hash=item5d8fde455f:g:~2UAAOSwt9FdUcv-,Baby Jogger City Tour 2 Twin Double Lightweight Compact Fold Travel Stroller Jet,$260.00,$43.76,Brand: Baby Jogger,N/A,N/A
https://www.ebay.com/itm/Maclaren-Major-Elite-special-needs-stroller-compact-lightweight-red-charcoal/133188103375?hash=item1f02a12ccf:g:mHUAAOSwkW5dkmtC,"Maclaren Major Elite special needs stroller, compact lightweight, red/charcoal ",$300.00,Free,Brand: Maclaren,Color: Red,N/A
