URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/p/22021392822?iid=383124274875&rt=nc,Buggy Rain Cover Universal Raincover For Baby Pushchair Stroller Pram Waterproof,$11.27,Free,Brand: Unbranded,Color: Clear,N/A
https://www.ebay.com/p/2100675571?iid=274082589934&rt=nc,"Oxo Tot Stroller Hooks, Set Of 2, New With Packaging",$7.00,$4.49,Color: Gray,N/A,N/A
https://www.ebay.com/itm/Manito-Elegance-Beta-Stroller-Weather-Shield-Used-Blue/333385936966?hash=item4d9f59b046:g:rZ4AAOSwAfhdv2pt,Manito Elegance Beta - Stroller Weather Shield - Used - Blue,$14.30,$7.85,Brand: Manito,Color: Blue,Age: Infant
https://www.ebay.com/itm/BOB-Stroller-Weather-Shield-Rain-Guard/283639603853?hash=item420a3ce28d:g:nCAAAOSwXI1dn5YB,BOB Stroller Weather Shield Rain Guard,$8.40,$7.99,Brand: BOB,N/A,N/A
https://www.ebay.com/itm/Baby-Plus-Stroller-footmuff-baby-bunting-sleeping-bag-foot-muff-winter/143360126736?hash=item2160edef10:g:dJ4AAOSwvA5dWurP,Baby Plus Stroller footmuff baby bunting sleeping bag foot muff winter,$5.15,$8.20,Color: Red,Age: Infant,N/A
https://www.ebay.com/itm/sootheTIME-Klipz-Blanket/254402534288?hash=item3b3b929b90:g:HVcAAOSwkLJdiEZo,sootheTIME Klipz Blanket,$6.00,$10.56,Color: Pink,N/A,N/A
https://www.ebay.com/p/25016301665?iid=163904352237&rt=nc,UPPAbaby Toddler Seat Rain Shield Santa Cruz Alta Free Shipping,$10.30,$4.49,Brand: UPPAbaby,Color: Clear,Age: Infant
https://www.ebay.com/itm/UPPAbaby-G-Series-Rain-Shield-pre-2018-models/193114348033?hash=item2cf6831a01:g:OjgAAOSwJHZdhbod,UPPAbaby G-Series Rain Shield (pre 2018 models),$8.00,Free,Brand: UPPAbaby,N/A,N/A
https://www.ebay.com/itm/UPPAbaby-Cup-Holder-in-Dark-Grey-For-Vista-Cruz-Alta-Stroller/323975587719?hash=item4b6e732787:g:~8IAAOSwMoZdyCTj,"UPPAbaby Cup Holder in Dark Grey For Vista, Cruz, Alta Stroller",$4.99,$5.12,Brand: UPPAbaby,Color: Gray,Age: Infant
https://www.ebay.com/itm/BNIP-Cups-n-Cargo-Stroller-Organizer-NEW-Safe-To-Go-Childress/293246989296?hash=item4446e1f3f0:g:Ll0AAOSwqMtdisy7,BNIP Cups ‘n Cargo Stroller Organizer NEW Safe To Go Childress,$7.70,$4.57,N/A,N/A,N/A
https://www.ebay.com/p/4011031320?iid=133117005066&rt=nc,Englacha 01012016-a 2-in-1 Cozy X Rider,$49.99,Free,Brand: Englacha,Color: Black,N/A
https://www.ebay.com/itm/UPPAbaby-Cup-Holder-for-Vista-2015-Cruz-and-Minu-MSRP-24-99/254381443090?hash=item3b3a50c812:g:~mAAAOSwvvJdmmsW,UPPAbaby Cup Holder for Vista 2015 + Cruz and Minu MSRP $24.99,$9.99,$4.81,Brand: UPPAbaby,Color: Gray,Age: Infant
https://www.ebay.com/p/13031385605?iid=254351212086&rt=nc,"Target 20 % off Baby Car Seat, Stroller, Target Online",$5.00,Free,Brand: Graco,Age: Infant,N/A
https://www.ebay.com/p/19031296559?iid=352633773768&rt=nc,Waterproof Portable Travel Baby Umbrella Stroller Pram Gate Check Storage Holdal,$9.99,Free,N/A,N/A,N/A
https://www.ebay.com/c/27018535434,The Mommy Hook Stroller Accessory - Black - New With Original Packaging,$2.50,$3.28,Color: Black,N/A,N/A
https://www.ebay.com/itm/Uppababy-Parent-Organizer-NWOT/163850737158?hash=item262643d606:g:guoAAOSwBHddcq76,Uppababy Parent Organizer NWOT,$11.00,$4.57,Brand: UPPAbaby,N/A,N/A
https://www.ebay.com/itm/Waterproof-Rain-Cover-Wind-Dust-Shield-For-Baby-Strollers-Pushchairs-Universal/123876332657?hash=item1cd79ad471:g:ijQAAOSwXNddVluA,Waterproof Rain Cover Wind Dust Shield For Baby Strollers Pushchairs Universal,$7.59,$0.59,Brand: Unbranded,N/A,N/A
https://www.ebay.com/itm/Waterproof-Baby-Universal-Stroller-Rain-Cover-Wind-Dust-Shield-Pushchair-Cover/254164335027?hash=item3b2d5ff9b3:g:ZPcAAOSwFZhci3Cj,Waterproof Baby Universal Stroller Rain Cover Wind Dust Shield Pushchair Cover,$8.49,Free,Brand: Unbranded,N/A,N/A
https://www.ebay.com/itm/gb-stroller-Cupholder-Black/133160736887?hash=item1f00ff9877:g:NUIAAOSw1jNcpgFp,"gb stroller Cupholder, Black",$9.99,$7.85,Brand: GB,Color: Black,N/A
https://www.ebay.com/itm/Britax-B-Safe-Car-Seat-Adapter-for-Baby-Jogger-City-Select-City-Versa-Stroller/264517458672?hash=item3d96781af0:g:tdIAAOSwZc1du0-B,Britax B-Safe Car Seat Adapter for Baby Jogger City Select City Versa Stroller,$15.00,Free,Color: Black,N/A,N/A
https://www.ebay.com/p/2254637470?iid=372810371732&rt=nc,Baby Jogger Car Seat Adapter For Baby Jogger / City Mini Single Stroller 1967207,$9.80,$9.06,Brand: Baby Jogger,Color: Black,Age: Infant
https://www.ebay.com/p/13031749046?iid=233340080883&rt=nc,Excellent Condition UPPAbaby Infant SnugSeat Snug Seat Insert,$9.99,$9.00,Brand: UPPAbaby,Age: Infant,N/A
https://www.ebay.com/p/746773620?iid=143370904165&rt=nc,"Milk Snob Nursing, Car Seat, Shopping Cart Cover ~ Black ~ New",$9.99,$7.35,Color: Black,Theme: Garden,Age: Infant
https://www.ebay.com/p/4024247336?iid=323885868664&rt=nc,"BOB Weather Shield for Single Fixed Wheel Jogging Strollers, Grey",$7.16,$6.25,Brand: BOB,Color: Gray,N/A
https://www.ebay.com/itm/2Pcs-Baby-Stroller-Pram-Handlebar-Single-Bar-Grip-Sleeve-Cover-Accessories-6T/383257104574?hash=item593be750be:g:P4wAAOSwCjpcUeGw,2Pcs Baby Stroller Pram Handlebar Single Bar Grip Sleeve Cover Accessories 6T,$4.74,Free,Brand: Unbranded,Color: Black,N/A
https://www.ebay.com/itm/3-in-1-Luxury-Foldable-Baby-Stroller-High-View-Pram-Pushchair-Bassinet-Car/142338811438?hash=item21240de62e:g:X1wAAOSwok9cuZZS,3 in 1 Luxury Foldable Baby Stroller High View Pram Pushchair Bassinet Car,$119.89,Free,Color: Brown,Theme: Sports,N/A
https://www.ebay.com/itm/Mima-Xari-Sport-Adapter-Kit/333374123250?hash=item4d9ea56cf2:g:ZnUAAOSwYVpdoL6N,Mima Xari Sport Adapter Kit,$15.00,$5.00,Color: Black,Theme: Sports,N/A
https://www.ebay.com/itm/Bugaboo-Turtle-by-Nuna-Car-Seat-Color-Black/163782345438?hash=item26223042de:g:bxgAAOSwYd1dC75l,"Bugaboo Turtle by Nuna Car Seat, Color: Black",$229.95,Free,Brand: Bugaboo,Color: Black,N/A
https://www.ebay.com/itm/Englacha-2-in-1-Cozy-Rider-4-Wheel-Child-Universal-Stroller-Seat/133117023812?hash=item1efe649644:g:ArEAAOSwf71dMdqY,Englacha 2-in-1 Cozy Rider 4 Wheel Child Universal Stroller Seat,$49.99,Free,Brand: Englacha,Color: Black,N/A
https://www.ebay.com/itm/2pcs-Lot-Baby-Hanger-Bag-Stroller-Hooks-Pram-Rotate-360-Cart-Hook-Accessories/143347530664?hash=item21602dbba8:m:muonrKl98DHGOUKKiNX9vzw&var=442258966386,2pcs/Lot Baby Hanger Bag Stroller Hooks Pram Rotate 360 Cart Hook Accessories,$2.79,Free,Brand: Unbranded,Color: Black,Age: Infant
https://www.ebay.com/p/833823594?iid=401928450549&rt=nc,Kids Baby Stroller safe console tray pram hanging black bag/bottle cup holder,$1.25,Free,Brand: Unbranded,Color: Black,Age: Infant
https://www.ebay.com/itm/On-The-Go-Stroller-Organizer-Caddy-Universal-Fit-Ethan-Emma-NEW/323968856494?hash=item4b6e0c71ae:g:uEIAAOSwnSJdv1g5,On The Go Stroller Organizer Caddy Universal Fit - Ethan & Emma NEW,$10.50,$3.78,Color: Black,N/A,N/A
https://www.ebay.com/itm/New-With-Tags-Doona-All-Day-Bag-Nitro-Black/283671377918?hash=item420c21b7fe:g:LvAAAOSwmxVdyIxl,New With Tags-Doona All Day Bag Nitro Black,$50.00,Free,Color: Black,N/A,N/A
https://www.ebay.com/itm/UPPAbaby-Cup-Holder-for-Vista-2015-Cruz-and-Minu-MSRP-24-99/254382462581?hash=item3b3a605675:g:~mAAAOSwvvJdmmsW,UPPAbaby Cup Holder for Vista 2015 + Cruz and Minu MSRP $24.99,$12.99,$4.81,Brand: UPPAbaby,Color: Gray,Age: Infant
https://www.ebay.com/p/28023261418?iid=254405787969&rt=nc,UPPAbaby VISTA Lower Adapter For Models 2015-later 0917-LRA-WW New In Open Box,$7.99,$8.50,Brand: UPPAbaby,Color: Black,Age: Infant
https://www.ebay.com/itm/J-L-Childress-gate-check-air-travel-airplane-bag-for-stroller-Car-Seat/383206218918?hash=item5938dedca6:g:lu0AAOSwY75doNiI,J.L. Childress gate check air travel airplane bag for stroller/Car Seat,$10.00,$4.53,Color: Blue,N/A,N/A
https://www.ebay.com/p/27018535434?iid=273963406512&rt=nc,The Original Mommy Hook Stroller Accessory black BRAND NEW!!!,$7.00,Free,Color: Black,N/A,N/A
https://www.ebay.com/itm/Infant-Carseat-Rain-Wind-Snow-Cover-Mountain-Buggy-Brand-Universal-Fit-Chicco/133229342544?hash=item1f05166f50:g:l50AAOSwGLddpM-G,Infant Carseat Rain Wind Snow Cover — Mountain Buggy Brand Universal Fit Chicco,$8.00,Free,Brand: Mountain Buggy,Age: Infant,N/A
https://www.ebay.com/itm/gb-Pockit-and-Pockit-Plus-raincover/133200684409?hash=item1f03612579:g:XpYAAOSwHoBcpgwU,gb Pockit and Pockit Plus raincover ,$16.99,$7.85,Brand: GB,N/A,N/A
