URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Bugaboo-Bee-Front-Wheels-Pair/274039750163?hash=item3fce0abe13:g:MBUAAOSwN4FdmPhR,Bugaboo Bee Front Wheels (Pair),$6.50,$14.35,Brand: Bugaboo,N/A,N/A
https://www.ebay.com/itm/Uppababy-Vista-Front-Wheels-Pair/143424638960?hash=item2164c64ff0:g:TtEAAOSwvchdthdj,Uppababy Vista Front Wheels (Pair),$34.00,Free,Brand: UPPAbaby,N/A,N/A
https://www.ebay.com/itm/Bugaboo-Bee-Rear-Wheels-pair/274039742778?hash=item3fce0aa13a:g:Ar4AAOSwNw1dmPWp,Bugaboo Bee Rear Wheels (pair),$10.50,$14.35,Brand: Bugaboo,N/A,N/A
https://www.ebay.com/p/19034811460?iid=383255380767&rt=nc,Babyzen YOYO Stroller Canopy And Seat Pad In Ginger BZ10104-09,$19.99,$19.45,N/A,N/A,N/A
https://www.ebay.com/p/855425001?iid=222916887761&rt=nc,Baby Trend Expedition / Navigator Stroller Replacement Bearings X2 Front Wheel,$8.99,Free,Brand: Baby Trend,N/A,N/A
https://www.ebay.com/itm/Britax-Infant-Car-Seat-Adapter-For-chicco-and-graco/303335294288?hash=item46a0314550:g:o0YAAOSwlXddsvd0,Britax Infant Car Seat Adapter For chicco and graco,$9.99,$19.05,Age: Infant,N/A,N/A
https://www.ebay.com/itm/Britax-B-Agile-Stroller-Attachments/123930973319?hash=item1cdadc9487:g:jZ0AAOSwCgldmkxj,Britax B Agile Stroller Attachments ,$13.30,$7.35,N/A,N/A,N/A
https://www.ebay.com/itm/Bugaboo-Cameleon-1st-generation-Chassis-Stroller-Frame/223700176224?hash=item341591cd60:g:-igAAOSw9qFdnz8t,Bugaboo Cameleon 1st generation Chassis Stroller Frame,$40.00,$7.35,Brand: Bugaboo,Color: Black,N/A
https://www.ebay.com/itm/CHILD-TRAY-for-older-Graco-SINGLE-Stroller-REPLACEMENT-PART-CUP-HOLDER/323953788966?hash=item4b6d268826:g:hXkAAOSw-v5drGpE,CHILD TRAY for older Graco SINGLE Stroller REPLACEMENT PART CUP HOLDER,$17.00,$10.00,Brand: Graco,Type: Cup Holder/Snack Tray,Color: Black
https://www.ebay.com/itm/Replacement-Wheel-For-Older-Baby-Jogger-City-Mini-Double-Stroller/383116581771?hash=item5933871b8b:g:0GwAAOSwR5FdOw1N,Replacement Wheel For Older Baby Jogger City Mini Double Stroller,$9.00,$7.85,Brand: Baby Jogger,N/A,N/A
https://www.ebay.com/p/1111693509?iid=123946177275&rt=nc,"Stokke Multi Car Seat Adaptor, Compatible With maxi Cosi, Nuna Pipa, Cybex",$29.99,$7.85,Brand: Stokke,Color: Gray,N/A
https://www.ebay.com/itm/NEW-bugaboo-cameleon-tailored-fabric-set-Carrycot-Sun-Canopy-Seat-Cover-BLACK/401890019926?hash=item5d92830a56:g:l4sAAOSwYnVdeRZV,NEW bugaboo cameleon tailored fabric set Carrycot Sun Canopy Seat Cover BLACK,$45.00,$7.35,Brand: Bugaboo,Type: Seat Fabric,Color: Black
https://www.ebay.com/itm/Uppababy-Vista-Canopy-Fabric-Used/153574258486?hash=item23c1bd3736:g:SGwAAOSwJytc-xue,Uppababy Vista Canopy Fabric ( Used) ,$15.00,$9.30,Brand: UPPAbaby,N/A,N/A
https://www.ebay.com/itm/Baby-Jogger-Stroller-City-Select-Rear-2-Wheels-Black-USED-Pair-Replacement-Part/283611817382?hash=item420894e5a6:g:UlQAAOSwPwhdaKho,Baby Jogger Stroller City Select Rear 2 Wheels Black USED Pair Replacement Part.,$35.00,Free,Brand: Baby Jogger,Color: Black,N/A
https://www.ebay.com/itm/Bugaboo-Bee-under-Carriage-Basket/143383175574?hash=item21624da196:g:5G0AAOSwihldVaG0,Bugaboo Bee under Carriage Basket,$12.99,Free,Brand: Bugaboo,Color: Black,N/A
https://www.ebay.com/itm/Genuine-Baby-Jogger-City-Mini-Replacement-4-Way-Harness-Clip-Buckle-Shoulder/192952422435?hash=item2cecdc5023:g:nIUAAOSwpfNdBXyu,Genuine Baby Jogger City Mini Replacement 4 Way Harness Clip Buckle + Shoulder ,$29.99,Free,Brand: Baby Jogger,N/A,N/A
https://www.ebay.com/itm/Bugaboo-Cameleon-Frog-handle-Bar-Bumper-Stroller/113849634040?hash=item1a81f78cf8:g:k~0AAOSw7L1dTxkK,Bugaboo Cameleon Frog handle Bar Bumper Stroller,$17.80,$3.66,Brand: Bugaboo,Type: Bumper Bar,Color: Black
https://www.ebay.com/p/884773529?iid=113849646916&rt=nc,Bugaboo Runner And Stand Adapter For Buffalo,$12.50,$4.81,Brand: Bugaboo,N/A,N/A
https://www.ebay.com/itm/City-Select-by-Baby-Jogger-Brake-Assembly-Replacement-EZ-To-Replace/283608342434?hash=item42085fdfa2:g:hEEAAOSwQ8tddVxI,City Select by Baby Jogger Brake Assembly Replacement EZ To Replace,$19.00,$7.90,Brand: Baby Jogger,N/A,N/A
https://www.ebay.com/itm/Baby-Trend-Expedition-travel-system-jogger-Parent-Tray-Cup-Holder/223638531832?hash=item3411e52ef8:g:OJEAAOSwXt5dZA9E,Baby Trend Expedition travel system jogger Parent Tray Cup Holder,$15.00,$7.50,Brand: Baby Trend,Color: Black,N/A
https://www.ebay.com/itm/Bob-Stroller-Hand-Wrist-Safety-Strap-Black-Yellow-Cord-Revolution-Duallie-OEM/133197739054?hash=item1f0334342e:g:0hcAAOSwadtddtXi,Bob Stroller - Hand Wrist Safety Strap Black/Yellow Cord Revolution Duallie OEM,$10.99,Free,Brand: BOB,Color: Black,Age: Infant
https://www.ebay.com/itm/2010-Bugaboo-Cameleon-Special-Collection-Metallic-Silver-3Pc-Tailor-Fabric-Set/133218274696?hash=item1f046d8d88:g:3jsAAOSwCSJdpuPw,2010 Bugaboo Cameleon Special Collection Metallic Silver 3Pc Tailor Fabric Set,$70.00,$20.05,Brand: Bugaboo,Type: Hood/Canopy,Color: Silver
https://www.ebay.com/itm/Baby-Trend-Expedition-travel-system-TJ94402-rear-wheel-w-lx-16-x-1-75/223652452124?hash=item3412b9971c:g:jYwAAOSwOzpdYu22,"Baby Trend Expedition travel system,(TJ94402) rear wheel w/ lx,16 x 1.75""",$10.50,$12.38,Brand: Baby Trend,Theme: Sports,N/A
https://www.ebay.com/p/9031250278?iid=263757721245&rt=nc,- NEW - Englacha Cozy Stroll Handle Extension Bar - Black - ,$23.99,Free,Brand: Englacha,Type: Handles,Color: Black
https://www.ebay.com/itm/BUGABOO-Cameleon-Frog-1st-2nd-Stroller-Large-Rear-Tire-Wheel-Air-Filled-Back/264522369899?hash=item3d96c30b6b:g:OHcAAOSwRs1dwN3h,BUGABOO Cameleon / Frog 1st 2nd Stroller Large Rear Tire Wheel Air Filled Back,$19.99,$10.99,Brand: Bugaboo,Type: Wheels/Tires,Color: Black
https://www.ebay.com/itm/UPPAbaby-Vista-RumbleSeat-2009-2014-Pre-Owned-Excellent-Condition/274013614806?hash=item3fcc7bf2d6:g:u3IAAOSweRpdgUtm,UPPAbaby Vista RumbleSeat 2009-2014 Pre-Owned Excellent Condition,$54.00,$8.00,Brand: UPPAbaby,N/A,N/A
https://www.ebay.com/itm/Front-12-5-x-1-75-2-15-Rear-16-x-1-75-1-90-Inner-Tube-for-Bob-Stroller-Tires/223730155980?hash=item34175b41cc:m:mVS9ZmAu7gZXOYCkZsYrG8Q&var=522444656913,"Front 12.5""x 1.75/2.15 & Rear 16'' x 1.75/1.90 Inner Tube for Bob Stroller Tires",$9.99 to $18.99,Free,Color: Black,Theme: Holiday,Age: Infant
https://www.ebay.com/itm/Replacement-Tray-for-Peg-Perego-Pliko-Switch-stroller/283596270773?hash=item4207a7acb5:g:AG4AAOSwiW5dXQMS,Replacement Tray for Peg Perego Pliko Switch stroller,$8.99,$9.45,Brand: Peg Perego,N/A,N/A
https://www.ebay.com/itm/Bugaboo-frog-chameleon-Rear-Wheel-Air-Filled/113857022131?hash=item1a826848b3:g:c2AAAOSw4x5dTxP8,"Bugaboo frog, chameleon, Rear Wheel, Air Filled",$9.50,$7.85,Brand: Bugaboo,N/A,N/A
https://www.ebay.com/itm/Nuna-Car-Seat-Adapters-Replacement-parts-to-attach-Mixx-and-Peppa/223658877317?hash=item34131ba185:g:CV4AAOSwyvtdNwbe,Nuna Car Seat Adapters (Replacement parts to attach Mixx and Peppa),$23.20,$10.29,Brand: Nuna,N/A,N/A
https://www.ebay.com/itm/Britax-B-Ready-Replacement-Front-Wheels/163913818104?hash=item262a065ff8:g:VEYAAOSwHt9drbBW,Britax B Ready Replacement Front Wheels,$29.99,$14.00,Type: Wheels/Tires,N/A,N/A
https://www.ebay.com/itm/Child-Tray-Cup-Holder-for-Baby-Trend-Expedition-Jogging-Stroller-Model-9109CT/163838263438?hash=item262585808e:g:ym8AAOSwFRtdKN4G,Child Tray Cup Holder for Baby Trend Expedition Jogging Stroller Model 9109CT,$15.00,$13.00,Brand: Baby Trend,N/A,N/A
https://www.ebay.com/itm/Baby-Trend-Expedition-travel-system-TJ94402-front-wheel-12-5-x-1-75/223637271197?hash=item3411d1f29d:g:2EoAAOSw3PtdYvK-,"Baby Trend Expedition travel system,(TJ94402) front wheel 12.5"" x 1.75"" ",$25.00,$9.83,Brand: Baby Trend,Theme: Sports,N/A
https://www.ebay.com/itm/Front-Fork-for-Baby-Trend-Expedition-travel-system-Model-TJ94402/223653811104?hash=item3412ce53a0:g:edMAAOSwPuhdZAzv,Front Fork for Baby Trend Expedition travel system Model TJ94402,$10.00,$8.35,Brand: Baby Trend,Color: Gray,Theme: Sports
https://www.ebay.com/p/19016185448?iid=254388555134&rt=nc,BABY JOGGER CHILD TRAY For City Select Stroller Cup Food Holder,$5.00,$6.85,Brand: Baby Jogger,Type: Cup Holder/Snack Tray,Color: Black
https://www.ebay.com/itm/2-Bugaboo-Cameleon-Frog-Baby-Stroller-Front-Swivel-Wheels/323883585390?hash=item4b68f74f6e:g:CDQAAOSwwmNc6Zf6,(2) Bugaboo Cameleon Frog Baby Stroller Front Swivel Wheels,$34.99,$7.35,Brand: Bugaboo,Color: Black,Age: Infant
https://www.ebay.com/itm/BOB-Single-Baby-Jogger-Summit-x-or-Double-Stroller-Black-Center-Strap-Buckle/303114103399?hash=item4693022a67:g:kDkAAOSwy5Ja7yux,"BOB Single, Baby Jogger Summit x or Double Stroller Black Center Strap Buckle",$5.49,$3.09,Brand: BOB,Color: Black,N/A
https://www.ebay.com/p/925156882?iid=222371741496&rt=nc,Quinny Moodd Adapters For Maxi Cosi Car Seat,$25.74,$9.01,Brand: Quinny,N/A,N/A
https://www.ebay.com/itm/REAR-16-WHEEL-for-Baby-Trend-Jogging-Stroller-QUICK-RELEASE/303296769115?hash=item469de56c5b:g:S08AAOSwxH1din3j,"REAR 16"" WHEEL for Baby Trend Jogging Stroller - QUICK RELEASE",$18.50,$20.68,Brand: Baby Trend,N/A,N/A
https://www.ebay.com/itm/BOB-Single-Double-Duallie-Revolution-Ironman-Stroller-Black-Center-Strap-Parts/323874763172?hash=item4b6870b1a4:g:MWMAAOSwm79ckNky,BOB Single Double Duallie Revolution Ironman Stroller Black Center Strap Parts,$12.66,Free,Brand: BOB,Color: Black,N/A
https://www.ebay.com/itm/Baby-Jogger-City-Select-Replacement-Front-2-Wheels-Parts-Set-Perfect-Condition/283625240096?hash=item420961b620:g:tCQAAOSwvotdjDqS,Baby Jogger City Select Replacement Front 2 Wheels Parts Set Perfect Condition,$55.00,$9.90,Brand: Baby Jogger,N/A,N/A
https://www.ebay.com/itm/City-Select-by-Baby-Jogger-Brake-Assembly-Replacement-EZ-To-Replace/283632632732?hash=item4209d2839c:g:hEEAAOSwQ8tddVxI,City Select by Baby Jogger Brake Assembly Replacement EZ To Replace,$26.00,$7.51,Brand: Baby Jogger,N/A,N/A
https://www.ebay.com/itm/Chicco-Urban-Stroller-Color-Pack-Magia-BRAND-NEW/323773582944?hash=item4b6268ce60:g:yJ8AAOSw5gZcrlr~,Chicco Urban Stroller Color Pack - Magia BRAND NEW,$35.00,Free,Brand: Chicco,N/A,N/A
https://www.ebay.com/itm/UppaBaby-Vista-Lower-Adaptors/153623731800?hash=item23c4b01e58:g:GL4AAOSwIexdaTkv,UppaBaby Vista Lower Adaptors,$5.00,$3.00,Brand: UPPAbaby,Color: Black,N/A
https://www.ebay.com/itm/Graco-Fastaction-Jogger-Stroller-complete-Back-Rear-Wheel-Tire-Replacement-Part/323903884366?hash=item4b6a2d0c4e:g:WpsAAOSwc81dQGaq,Graco Fastaction Jogger Stroller complete Back Rear Wheel Tire Replacement Part,$39.00,$22.05,Brand: Graco,Type: Wheels/Tires,Age: Infant
https://www.ebay.com/itm/Replacement-Wheels-Full-Set-for-Graco-Single-Seat-Stroller-Includes-Rear-Axel/254348125609?hash=item3b385465a9:g:Zz0AAOSw-09dbQ0U,Replacement Wheels Full Set for Graco Single Seat Stroller Includes Rear Axel,$24.99,Free,Brand: Graco,Type: Wheels/Tires,Color: Black
https://www.ebay.com/p/2255546486?iid=223647160273&rt=nc,New Quinny Buzz Pushchair Adaptors for Maxi Cosi Car Seat,$25.74,$9.01,Brand: Quinny,N/A,N/A
https://www.ebay.com/itm/Uppababy-2019-Vista-RumbleSeat-Add-on-Seat-In-Bryce/401907444853?hash=item5d938cec75:g:ge4AAOSwi3Zdk4v~,Uppababy 2019 Vista RumbleSeat Add-on Seat In Bryce,$60.00,$62.88,Brand: UPPAbaby,N/A,N/A
https://www.ebay.com/itm/BOB-Stroller-AFOD-Anti-Flyout-Device-Retention-Strap-Duallie-Used/133200112919?hash=item1f03586d17:g:xNQAAOSwx7JdoOML,BOB Stroller - AFOD - Anti Flyout Device Retention Strap Duallie - Used,$9.99,Free,Brand: BOB,Color: Black,Age: Infant
https://www.ebay.com/itm/Harness-5-Point-Buckle-Bottom-Strap-Replacement-FOR-BOB-REVOLUTION-Stroller-New/223628810406?hash=item341150d8a6:g:oB4AAOSwAnxctfYz, Harness 5 Point Buckle Bottom Strap Replacement FOR BOB REVOLUTION Stroller New,$19.99,Free,Brand: Unbranded,Color: Black,Theme: Sports
https://www.ebay.com/itm/Bugaboo-Stroller-Seat-Liner-Ice-Blue-Donkey-Buffalo-Chameleon-Bee-Frog-Gecko-NEW/202804057895?hash=item2f38105727:g:BPEAAOSwwlVdmSho,Bugaboo Stroller Seat Liner Ice Blue Donkey/Buffalo/Chameleon/Bee/Frog/Gecko NEW,$39.99,Free,Brand: Bugaboo,Color: Blue,N/A
https://www.ebay.com/itm/Black-1-25mm-Clip-Buckle-for-Ergobaby-Baby-Carriers-Mesh-Omni-360-Baby-Toddler/223549728178?hash=item340c9a25b2:g:X2IAAOSw-49c-tgO,"Black 1"" 25mm Clip Buckle for Ergobaby Baby Carriers Mesh Omni 360 Baby Toddler ",$9.99,Free,Brand: Unbranded,Color: Black,Age: Infant
https://www.ebay.com/itm/BOB-Revolution-Stroller-Jogger-Rear-Wheel-Kenda-Tire-16-X-1-75-Ships-FREE/283651362619?hash=item420af04f3b:g:gigAAOSweVtdr03U,BOB Revolution Stroller Jogger Rear Wheel & Kenda Tire 16 X 1.75 Ships FREE!,$44.00,Free,Brand: BOB,N/A,N/A
https://www.ebay.com/itm/BOB-Revolution-Jogger-Stroller-FABRIC-SEAT-Cover-Replacement-Blue-Gray/133179437760?hash=item1f021cf2c0:g:jAMAAOSwOFFdhqr8,BOB Revolution Jogger Stroller FABRIC SEAT  Cover - Replacement Blue / Gray,$39.99,Free,Brand: BOB,Type: Seat Fabric,Color: Gray
https://www.ebay.com/p/1319474332?iid=173919428521&rt=nc,"Bugaboo Cameleon Black Fleece Fabric Set | Canopy, Seat Liner, Apron Cover",$16.89,$9.25,Brand: Bugaboo,Type: Seat Fabric,Color: Black
https://www.ebay.com/itm/FRONT-WHEEL-for-Urbini-Stroller/303247329307?hash=item469af3081b:g:OSIAAOSw1chc514r,FRONT WHEEL for Urbini Stroller ,$16.99,$9.85,Brand: Urbini,N/A,N/A
