URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/p/23027460577?iid=254320507943&rt=nc,   Keenz Wagon 7s Stroller Used  Color Black  ,$250.00,Free,Color: Black,Model: Keenz 7S,N/A
https://www.ebay.com/itm/Babyzen-YOYO-Frame-Black/362770822747?hash=item5476d3765b:g:pTQAAOSwR9Ndk2YG,"Babyzen YOYO  Frame, Black",$305.00,$62.88,Brand: BABYZEN,Color: Black,N/A
https://www.ebay.com/itm/Keenz-Wagon-7s-Stroller-Used-Color-Black/254350410343?epid=0&hash=item3b38774267:g:X5kAAOSwqKFdQzwn,   Keenz Wagon 7s Stroller Used  Color Black  ,$250.00,Free,Color: Black,Model: Keenz 7S,N/A
https://www.ebay.com/c/2069829416,NEW GB Pockit Baby Stroller Lightweight Foldable Compact Monument Black,$112.00,$22.16,Brand: GB,"Type: Lightweight, Umbrella",Features: Carry Handle
https://www.ebay.com/p/622803147?iid=362788146326&rt=nc,"Graco FastAction Fold Sport Click Connect Travel System In Pierce, 1934807",$76.00,$112.76,Brand: Graco,Type: Travel System,Features: Folding
https://www.ebay.com/p/2298504403?iid=254363507787&rt=nc,   Keenz Wagon 7s Stroller Used  Color Grey,$250.00,Free,Color: Gray,Model: Keenz 7S,N/A
https://www.ebay.com/itm/Bugaboo-Footmuff-NEW-Pink/283662475907?hash=item420b99e283:g:dQoAAOSw~X1dvdWO,Bugaboo Footmuff NEW Pink,$45.00,$10.00,Brand: Bugaboo,Features: Footmuff,Color: Pink
https://www.ebay.com/itm/Orbit-Baby-G3-Stroller-Brand-New-In-Boxes-2-Boxes-for-Base-Seat-Black/392279198163?hash=item5b55a989d3:g:XS4AAOSwqT9ch2Cd,Orbit Baby G3 Stroller Brand New In Boxes *2 Boxes for Base & Seat* Black,$205.00,Free,Brand: Orbit Baby,Type: Stroller Seat,Color: Black
https://www.ebay.com/itm/3-in-1-Luxury-Foldable-Baby-Stroller-High-View-Pram-Pushchair-Bassinet-Car/142338811438?hash=item21240de62e:g:X1wAAOSwok9cuZZS,3 in 1 Luxury Foldable Baby Stroller High View Pram Pushchair Bassinet Car,$119.89,Free,Brand: VEVOR,Type: Pushchair,Features: 3 in 1
https://www.ebay.com/p/583624084?iid=152129720395&rt=nc,Foldable Baby Kids Travel Stroller Newborn Infant Buggy Pushchair Child Gray,$52.99,Free,Type: Pushchair,Color: Gray,Age: Infant
https://www.ebay.com/p/8015347653?iid=233212383800&rt=nc,GB Pockit + Plus Compact Folding Traveling Single Baby Stroller in Satin Black,$149.99,Free,Brand: GB,Features: Adjustable Back Rest,Color: Black
https://www.ebay.com/p/8026728899?iid=293244942476&rt=nc,GB Pockit Stroller Monument Black ,$122.99,$22.60,Brand: GB,Type: Travel System,Features: Travel System Compatible
https://www.ebay.com/p/177561846?iid=362783803705&rt=nc,Baby Trend Sit N Stand Double Stroller Green and Grey,$53.00,$97.69,Brand: Baby Trend,Type: Travel System,Color: Gray
https://www.ebay.com/p/2255631926?iid=293276101805&rt=nc,Baby Trend Navigator Twin Double Jogging Stroller Tropic Padded Front NEW,$189.30,Free,Brand: Baby Trend,Type: Jogger,Features: Cup Holder
https://www.ebay.com/p/17025566531?iid=264026157918&rt=nc,3 in 1 Luxury Baby Stroller Newborn Pram Foldable Infant Pushchair Bassinet Car,$129.82,Free,Brand: VEVOR,Type: Buggy,Features: 3 in 1
https://www.ebay.com/itm/2018-UPPAbaby-MINU-Stroller-Jordan-Charcoal-Melange-Silver-Black-Leather/113956505436?hash=item1a8856475c:g:tmUAAOSwZL5dxaZu,2018 UPPAbaby MINU Stroller - Jordan (Charcoal Melange/Silver/Black Leather),$275.00,Free,Brand: UPPAbaby,Color: Multicolor,N/A
https://www.ebay.com/itm/Barely-Used-800-Bugaboo-Bee5-Classic-Complete-Stroller-Botanical-Sun-Hood/254377983483?hash=item3b3a1bfdfb:g:k0EAAOSwQXZdjmoT,Barely Used $800 Bugaboo Bee5 Classic Complete Stroller Botanical Sun Hood,$385.00,Free,Brand: Bugaboo,Type: Pushchair,Features: Folding
https://www.ebay.com/itm/BabyZen-YoYo-Black-Baby-Stroller-Pre-owned-FREE-SHIPPING/254364503227?hash=item3b394e4cbb:g:HS8AAOSwAxtdg8cu,BabyZen YoYo+ Black Baby Stroller * Pre-owned*  FREE SHIPPING,$299.99,Free,Brand: BABYZEN,Color: Black,Model: BABYZEN YOYO+
https://www.ebay.com/itm/500-Maxi-Cosi-Zelia-Max-5-in-1-Modular-Travel-System-Nomad-Grey-One-Size/254416121847?hash=item3b3c61eff7:g:ObQAAOSw3F5dxwYN,"$500 Maxi-Cosi Zelia Max 5-in-1 Modular Travel System, Nomad Grey, One Size",$295.00,Free,Brand: Maxi-Cosi,Type: Travel System,Color: Gray
https://www.ebay.com/itm/Graco-Pace-Click-Connect-Travel-System-Spice-Red-Black-Car-Seat-Stroller-NEW/303267367087?hash=item469c24c8af:g:PSUAAOSwFBVdZn5r,Graco Pace Click Connect Travel System Spice Red Black Car Seat Stroller NEW,$99.70,Free,Brand: Graco,Type: Travel System,Color: Red
https://www.ebay.com/itm/DOONA-Baby-Black-Car-Seat-Stroller-Carriage-Compact-Travel-EUC/362789492020?hash=item5477f05534:g:IY0AAOSw7spdsQMQ,DOONA Baby Black Car Seat Stroller Carriage Compact Travel EUC,$385.00,Free,Brand: Doona,Type: Carriage,Color: Black
https://www.ebay.com/itm/gb-Pockit-compact-stroller-Monument-Black-BRAND-NEW-FREE-SHIPPING/193065358660?hash=item2cf3979544:g:JqAAAOSwG65dKj~b,gb Pockit compact stroller - Monument Black   BRAND NEW - FREE SHIPPING,$150.00,Free,Brand: GB,Color: Black,Model: gb Pockit
https://www.ebay.com/p/13019855807?iid=143206907406&rt=nc,Luxury Baby Stroller 3 In 1 Pushchair Foldable Buggy Infant Travel With Car Seat,$214.61,Free,Brand: VEVOR,Type: Buggy,Features: 3 in 1
https://www.ebay.com/itm/Thule-Urban-Glide-2-Stroller-Black-Black/123889248710?hash=item1cd85fe9c6:g:h2MAAOSwOjxdZfCn,Thule Urban Glide 2 Stroller - Black / Black ,$315.00,$33.80,Brand: Thule,Type: Pushchair,Features: All Terrain
https://www.ebay.com/p/2256172551?iid=362787993788&rt=nc,Graco Modes Duo Stroller Basin 1991922,$72.00,$109.57,Brand: Graco,Features: Cup Holder,Age: Infant
https://www.ebay.com/itm/Foldable-Baby-Kids-Travel-Stroller-Newborn-Infant-Buggy-Pushchair-Child-Blue/182171382893?hash=item2a6a42b46d:g:smAAAOSwBz1ckISF,Foldable Baby Kids Travel Stroller Newborn Infant Buggy Pushchair Child Blue,$52.99,Free,Type: Pushchair,Color: Blue,Age: Infant
https://www.ebay.com/itm/Doona-Infant-Car-Seat-Stroller-Nitro-Black/401911007635?hash=item5d93c34993:g:8AgAAOSwqkVddpwv,Doona Infant Car Seat Stroller Nitro Black,$351.00,Free,Brand: Doona,Type: Stroller Seat,Color: Black
