URL,Title,Price,Shipping,Dynamic Attribute 1,Dynamic Attribute 2,Dynamic Attribute 3
https://www.ebay.com/itm/Polarn-O-Pyret-PoP-kid-s-boy-s-gloves/323961158162?hash=item4b6d96fa12:g:GXMAAOSw9-ldrMyE,Polarn O Pyret PoP kid’s boy’s gloves ,$12.50,$4.50,Brand: Polarn O. Pyret,Gender: Boys,N/A
https://www.ebay.com/itm/girls-2t-24-months-toddler-Nike-dri-fit-black-legging-leggings-bottoms-lot/223715913389?hash=item341681eead:g:RDwAAOSwQApdqfFq,girls 2t 24 months toddler Nike dri fit black legging leggings bottoms lot ,$13.50,$3.43,N/A,N/A,N/A
https://www.ebay.com/itm/Jordache-Toddler-Girls-2T-Denim-Overalls/163907039505?hash=item26299ef111:g:xEoAAOSwOFZdplZv,Jordache Toddler Girls 2T Denim Overalls,$1.00,$4.44,N/A,N/A,N/A
https://www.ebay.com/itm/Toddler-Boys-NIKE-Sweatpants-Size-4t/223706306222?hash=item3415ef56ae:g:99gAAOSwAaBdpSjx,Toddler Boys NIKE Sweatpants Size 4t,$8.50,$4.00,Size: 3T,Style: Sweatpants,N/A
https://www.ebay.com/itm/OLD-NAVY-Green-Corduroy-Classic-Overalls-Boys-Size-5T/193161828950?hash=item2cf9579a56:g:WsMAAOSwzeddp6qz,OLD NAVY Green Corduroy Classic Overalls Boys Size 5T,$10.00,$4.50,N/A,N/A,N/A
https://www.ebay.com/itm/3-Pair-Lot-Toddler-Girls-Denim-Jeans-3T/293280364631?hash=item4448df3857:g:5IkAAOSw-dldpgiP,3 Pair Lot Toddler Girls Denim Jeans 3T,$4.27,$9.30,N/A,N/A,N/A
https://www.ebay.com/itm/BABY-GAP-Boys-1969-Lined-Straight-Jeans-Size-2T/133202388460?hash=item1f037b25ec:g:-W8AAOSwfwRdoUOE,BABY GAP Boys 1969 Lined Straight Jeans Size 2T,$7.95,Free,Brand: Gap,Color: Blue,Material: Denim
https://www.ebay.com/itm/Zara-Baby-Boy-Pants-Joggers-2-3-2T/323958432125?hash=item4b6d6d617d:g:GZ8AAOSwuuVdslgx,Zara Baby Boy Pants Joggers 2-3 2T,$4.65,$3.25,Brand: Zara,N/A,N/A
https://www.ebay.com/itm/lot-boys-toddler-pants-2-2T-All-Ralph-Lauren-bottoms-jogger-adjustable-waist/223706214382?hash=item3415edefee:g:x4AAAOSwbE1dg6pS,lot boys toddler pants 2 2T All Ralph Lauren bottoms jogger adjustable waist,$14.50,$7.15,N/A,N/A,N/A
https://www.ebay.com/itm/Lot-Of-3-Infants-Boys-Sweatpants-Size-24-Months/123937774351?hash=item1cdb445b0f:g:GfEAAOSwzvhdmSa3,Lot Of 3 Infants Boys Sweatpants Size 24 Months,$1.49,$4.81,Brand: Circo,Size: 24 Months,Style: Sweatpants
https://www.ebay.com/itm/Nike-Dri-Fit-Boys-Size-2T-Gray-Sweat-Pants-Worn-Once/153681750273?hash=item23c8256901:g:2LMAAOSwwFNdoRdC,Nike Dri-Fit Boy's Size 2T Gray Sweat Pants. Worn Once!,$7.25,$3.25,Color: Gray,Size: 2T,N/A
https://www.ebay.com/itm/EUC-Baby-Toddler-Boy-babyGap-Skinny-Jeans-3T/233369406416?hash=item3655e68bd0:g:YlgAAOSwHaddpQJz,"EUC Baby Toddler Boy babyGap Skinny Jeans, 3T",$10.50,$3.99,Size: 3T,N/A,N/A
https://www.ebay.com/itm/BUHO-OFF-WHITE-RIBBED-KNIT-COTTON-ELASTIC-WAIST-CUFFED-LEGGS-SZ-9M/383208132589?hash=item5938fc0fed:g:dxgAAOSwGYZdojiL,BUHO OFF WHITE RIBBED KNIT COTTON ELASTIC WAIST CUFFED LEGGS SZ. 9M,$10.00,$4.00,Color: White,N/A,N/A
https://www.ebay.com/itm/girls-4t-leggings-lot/283642372790?hash=item420a6722b6:g:1Y4AAOSwxPddo2R6,girls 4t leggings lot,$5.50,$4.99,Size: 4T,N/A,N/A
https://www.ebay.com/itm/girls-4t-leggings-Lot/283642385480?hash=item420a675448:g:ccwAAOSw~QVdo2e8,girls 4t leggings Lot,$3.25,$3.99,Size: 4T,N/A,N/A
https://www.ebay.com/itm/girls-4t-leggings-lot/283642368952?hash=item420a6713b8:g:DI8AAOSwDMtdo2Mq,girls 4t leggings lot,$5.62,$5.99,Size: 4T,N/A,N/A
https://www.ebay.com/itm/girls-leggings-Size-18-24-Months-Gap-old-Navy/113924213549?hash=item1a86698b2d:g:aeUAAOSwoaNdpTTv,"girls leggings Size 18-24 Months Gap, old Navy",$6.00,$4.50,Brand: Old Navy,Color: Blue,Size: 18-24 Months
